config,target,split,bin,observations,mean_probability,event_rate
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,development_cpcv,4,29,0.3136313818619574,0.2413793103448276
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,development_cpcv,5,29,0.4057989016839549,0.3103448275862069
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,development_cpcv,6,28,0.48309330429400354,0.42857142857142855
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,development_cpcv,7,29,0.5667962810919188,0.3448275862068966
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,development_cpcv,8,28,0.654660654324105,0.4642857142857143
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,development_cpcv,9,29,0.7405171814930372,0.3103448275862069
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,development_cpcv,10,29,0.8687775165908319,0.5517241379310345
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,holdout,1,8,0.15495141096294468,0.375
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,holdout,2,7,0.21643498276477016,0.2857142857142857
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,holdout,3,7,0.24826280015215696,0.0
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,holdout,4,7,0.3215258532442105,0.0
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,holdout,5,8,0.3989987235093605,0.125
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,holdout,6,7,0.45755842256471635,0.2857142857142857
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,holdout,7,7,0.4952297016766794,0.14285714285714285
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,holdout,8,7,0.5643818397737751,0.14285714285714285
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,holdout,9,7,0.6130095593392977,0.14285714285714285
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,holdout,10,8,0.7003162560499292,0.625
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,development_cpcv,1,29,0.04667851290708813,0.1724137931034483
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,development_cpcv,2,29,0.11443223682623403,0.1724137931034483
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,development_cpcv,3,28,0.1957686562617464,0.21428571428571427
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,development_cpcv,4,29,0.29262240238863535,0.20689655172413793
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,development_cpcv,5,29,0.37902076042630933,0.1724137931034483
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,development_cpcv,6,28,0.47236133701492644,0.4642857142857143
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,development_cpcv,7,29,0.5572125358131765,0.4482758620689655
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,development_cpcv,8,28,0.6445582867350043,0.35714285714285715
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,development_cpcv,9,29,0.7292711759804907,0.41379310344827586
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,development_cpcv,10,29,0.8500970337311066,0.5517241379310345
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,holdout,1,8,0.18016690712124744,0.375
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,holdout,2,7,0.24217543888546422,0.2857142857142857
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,holdout,3,7,0.2738518444634139,0.0
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,holdout,4,7,0.34039873113905567,0.0
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,holdout,5,8,0.4080596373722123,0.125
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,holdout,6,7,0.4606289863957481,0.2857142857142857
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,holdout,7,7,0.5024246283302384,0.14285714285714285
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,holdout,8,7,0.5659747381486943,0.14285714285714285
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,holdout,9,7,0.6069725898688718,0.14285714285714285
target_b_eth_leadership__elastic_net_logistic,target_b_eth_leadership,holdout,10,8,0.6746873571651284,0.625
target_b_eth_leadership__random_forest,target_b_eth_leadership,development_cpcv,1,29,0.25516250574171956,0.13793103448275862
target_b_eth_leadership__random_forest,target_b_eth_leadership,development_cpcv,2,29,0.3157104660025464,0.2413793103448276
target_b_eth_leadership__random_forest,target_b_eth_leadership,development_cpcv,3,28,0.3586524610948779,0.32142857142857145
target_b_eth_leadership__random_forest,target_b_eth_leadership,development_cpcv,4,29,0.3983343049388849,0.20689655172413793
target_b_eth_leadership__random_forest,target_b_eth_leadership,development_cpcv,5,29,0.45168472795343045,0.20689655172413793
target_b_eth_leadership__random_forest,target_b_eth_leadership,development_cpcv,6,28,0.48784305357431673,0.42857142857142855
target_b_eth_leadership__random_forest,target_b_eth_leadership,development_cpcv,7,29,0.5164950120141628,0.3793103448275862
target_b_eth_leadership__random_forest,target_b_eth_leadership,development_cpcv,8,28,0.5533660053477741,0.42857142857142855
target_b_eth_leadership__random_forest,target_b_eth_leadership,development_cpcv,9,29,0.5889869299093821,0.3793103448275862
target_b_eth_leadership__random_forest,target_b_eth_leadership,development_cpcv,10,29,0.648238207899839,0.4482758620689655
target_b_eth_leadership__random_forest,target_b_eth_leadership,holdout,1,8,0.34920179529718787,0.0
target_b_eth_leadership__random_forest,target_b_eth_leadership,holdout,2,7,0.3880618388863168,0.14285714285714285
target_b_eth_leadership__random_forest,target_b_eth_leadership,holdout,3,7,0.4020568549590241,0.14285714285714285
target_b_eth_leadership__random_forest,target_b_eth_leadership,holdout,4,7,0.41715135651457697,0.2857142857142857
target_b_eth_leadership__random_forest,target_b_eth_leadership,holdout,5,8,0.4344831149558835,0.375
target_b_eth_leadership__random_forest,target_b_eth_leadership,holdout,6,7,0.45211554863402886,0.14285714285714285
target_b_eth_leadership__random_forest,target_b_eth_leadership,holdout,7,7,0.4719406845259285,0.14285714285714285
target_b_eth_leadership__random_forest,target_b_eth_leadership,holdout,8,7,0.4841444112032772,0.2857142857142857
target_b_eth_leadership__random_forest,target_b_eth_leadership,holdout,9,7,0.5207891239784768,0.14285714285714285
target_b_eth_leadership__random_forest,target_b_eth_leadership,holdout,10,8,0.56473910263977,0.5
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,development_cpcv,1,29,0.08506370303015712,0.1724137931034483
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,development_cpcv,2,29,0.12458428702757468,0.2413793103448276
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,development_cpcv,3,28,0.16653796937885454,0.25
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,development_cpcv,4,29,0.19636163643492258,0.1724137931034483
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,development_cpcv,5,29,0.2308559913342773,0.41379310344827586
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,development_cpcv,6,28,0.27706594169640025,0.4642857142857143
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,development_cpcv,7,29,0.33745326506008044,0.3103448275862069
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,development_cpcv,8,28,0.4078211521046856,0.35714285714285715
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,development_cpcv,9,29,0.493885477829456,0.4827586206896552
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,development_cpcv,10,29,0.6822486641066201,0.3103448275862069
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,holdout,1,8,0.13478130561505675,0.125
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,holdout,2,7,0.1525226095161781,0.42857142857142855
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,holdout,3,7,0.17301732903653702,0.2857142857142857
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,holdout,4,7,0.20011366759439217,0.0
target_b_eth_leadership__gradient_boosting,target_b_eth_leadership,holdout,5,8,0.2244114438326478,0.125
