candidate,allocation_type,fold,test_groups,fold_sharpe
dynamic_tilt_elastic_net_logistic_m1_5,dynamic_btc_eth_tilt,10,"2,4",0.42896890791783476
dynamic_tilt_elastic_net_logistic_m1_5,dynamic_btc_eth_tilt,11,"2,5",0.29654352364872466
dynamic_tilt_elastic_net_logistic_m1_5,dynamic_btc_eth_tilt,12,"3,4",-0.33264821762926755
dynamic_tilt_elastic_net_logistic_m1_5,dynamic_btc_eth_tilt,13,"3,5",-0.48009405077893086
dynamic_tilt_elastic_net_logistic_m1_5,dynamic_btc_eth_tilt,14,"4,5",0.9222228467088366
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,0,"0,1",1.623797184525042
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,1,"0,2",0.22898245722640045
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,2,"0,3",-0.2735559544094529
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,3,"0,4",0.5163029588019304
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,4,"0,5",0.44435759018957127
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,5,"1,2",1.7914640262159633
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,6,"1,3",1.045046257505695
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,7,"1,4",2.2545263852861592
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,8,"1,5",2.229697308975445
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,9,"2,3",-0.6286168381722502
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,10,"2,4",0.4085635886848677
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,11,"2,5",0.3000218569114242
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,12,"3,4",-0.35658996597602394
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,13,"3,5",-0.4755260493063587
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,14,"4,5",0.9216622109920862
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,0,"0,1",1.7135662580469055
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,1,"0,2",0.3439701997180008
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,2,"0,3",-0.15924308555102656
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,3,"0,4",0.6436005440332782
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,4,"0,5",0.5586953843018184
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,5,"1,2",1.7672578869485875
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,6,"1,3",1.0934429196089066
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,7,"1,4",2.2118907742303016
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,8,"1,5",2.1671520716190718
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,9,"2,3",-0.6218536651387554
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,10,"2,4",0.42896890791783476
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,11,"2,5",0.29654352364872466
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,12,"3,4",-0.33264821762926755
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,13,"3,5",-0.48009405077893086
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,14,"4,5",0.9222228467088366
balanced_random_forest_m0_5,balanced_btc_eth,0,"0,1",1.9465674097190093
balanced_random_forest_m0_5,balanced_btc_eth,1,"0,2",0.36819610099082367
balanced_random_forest_m0_5,balanced_btc_eth,2,"0,3",-0.11508028214246899
balanced_random_forest_m0_5,balanced_btc_eth,3,"0,4",0.7257885748214569
balanced_random_forest_m0_5,balanced_btc_eth,4,"0,5",0.6771952746882404
balanced_random_forest_m0_5,balanced_btc_eth,5,"1,2",1.6390379163918674
balanced_random_forest_m0_5,balanced_btc_eth,6,"1,3",1.0914294756951615
balanced_random_forest_m0_5,balanced_btc_eth,7,"1,4",1.9938473615754375
balanced_random_forest_m0_5,balanced_btc_eth,8,"1,5",1.989525900144076
balanced_random_forest_m0_5,balanced_btc_eth,9,"2,3",-0.49226739256043267
balanced_random_forest_m0_5,balanced_btc_eth,10,"2,4",0.2615223798977077
balanced_random_forest_m0_5,balanced_btc_eth,11,"2,5",0.18003877708551552
balanced_random_forest_m0_5,balanced_btc_eth,12,"3,4",-0.2613043049989912
balanced_random_forest_m0_5,balanced_btc_eth,13,"3,5",-0.35003532126871334
balanced_random_forest_m0_5,balanced_btc_eth,14,"4,5",0.6388077679056371
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,0,"0,1",1.819080487369171
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,1,"0,2",0.2756613396634394
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,2,"0,3",-0.21444280176476227
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,3,"0,4",0.6136552596000695
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,4,"0,5",0.530119596730916
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,5,"1,2",1.5956309028392266
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,6,"1,3",1.0724792936528798
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,7,"1,4",1.9346784769802325
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,8,"1,5",1.9063280867774517
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,9,"2,3",-0.518020692206146
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,10,"2,4",0.26192088596778595
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,11,"2,5",0.15061686222307763
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,12,"3,4",-0.2897687222450606
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,13,"3,5",-0.4091057598967569
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,14,"4,5",0.5920796143189138
balanced_random_forest_m1_0,balanced_btc_eth,0,"0,1",1.6692620218456795
balanced_random_forest_m1_0,balanced_btc_eth,1,"0,2",0.1824540178482631
balanced_random_forest_m1_0,balanced_btc_eth,2,"0,3",-0.08950388025024894
balanced_random_forest_m1_0,balanced_btc_eth,3,"0,4",0.5628732536293626
balanced_random_forest_m1_0,balanced_btc_eth,4,"0,5",0.4357409504985622
balanced_random_forest_m1_0,balanced_btc_eth,5,"1,2",1.5911959012341084
balanced_random_forest_m1_0,balanced_btc_eth,6,"1,3",1.1844268653924999
balanced_random_forest_m1_0,balanced_btc_eth,7,"1,4",2.076236851531272
balanced_random_forest_m1_0,balanced_btc_eth,8,"1,5",1.974233520459747
balanced_random_forest_m1_0,balanced_btc_eth,9,"2,3",-0.4924339730605858
balanced_random_forest_m1_0,balanced_btc_eth,10,"2,4",0.23591745424966223
balanced_random_forest_m1_0,balanced_btc_eth,11,"2,5",0.04934452310981597
balanced_random_forest_m1_0,balanced_btc_eth,12,"3,4",-0.15488416847979655
balanced_random_forest_m1_0,balanced_btc_eth,13,"3,5",-0.30804879553918696
balanced_random_forest_m1_0,balanced_btc_eth,14,"4,5",0.764738685890744
dynamic_tilt_random_forest_m1_0,dynamic_btc_eth_tilt,0,"0,1",1.517423890407365
dynamic_tilt_random_forest_m1_0,dynamic_btc_eth_tilt,1,"0,2",0.1099657289596578
dynamic_tilt_random_forest_m1_0,dynamic_btc_eth_tilt,2,"0,3",-0.18457931658656823
dynamic_tilt_random_forest_m1_0,dynamic_btc_eth_tilt,3,"0,4",0.46636864915613757
dynamic_tilt_random_forest_m1_0,dynamic_btc_eth_tilt,4,"0,5",0.3091344212756602
