config,model,feature,importance,method,target
target_b_eth_leadership__logistic_regression,logistic_regression,falling_vix_after_high_vix,-0.4763330237316156,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,volume_confirmation_of_price_trend,-0.3807215121480426,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,downside_to_upside_volatility_ratio,-0.35255831759342526,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,risk_appetite_recovery_score,0.29725099991611637,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,dispersion_acceleration,-0.24018041999591017,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,market_dollar_volume_growth_30d,0.23784255228483744,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,upside_semivariance,0.17126201683776732,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,stablecoin_supply_percentile,0.16259459928133277,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,tvl_acceleration,0.1556746700372763,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,eth_btc_relative_strength_14d,0.13818400321432517,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,top20_30d_high_pct,0.1358987510820734,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,volatility_of_volatility,0.09998824032893017,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,stablecoin_supply_acceleration,-0.05733581892205983,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,top20_above_30dma_pct,-0.0324426053481728,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,combined_crypto_liquidity_impulse,0.02987766172889587,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,tvl_percentile,0.024464182197032645,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,jump_intensity,-0.7091851743526896,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,eth_btc_relative_strength_30d,-0.6511575012673665,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,distance_from_90d_lows,0.4901912756021067,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,recovery_from_drawdown,0.45650389796271973,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,falling_vix_after_high_vix,-0.4120895791989998,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,downside_to_upside_volatility_ratio,-0.2842590314352155,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,volume_confirmation_of_price_trend,-0.2502850178629486,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,risk_appetite_recovery_score,0.226932074904061,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,dispersion_acceleration,-0.19375520517533504,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_percentile,0.1840042914748925,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,upside_semivariance,0.17432690461615638,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,market_dollar_volume_growth_30d,0.16562310509988895,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,tvl_acceleration,0.15134638629543096,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,top20_30d_high_pct,0.08386804506214714,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,volatility_of_volatility,0.08147501804272121,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,eth_btc_relative_strength_14d,0.06833236697592575,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_acceleration,-0.018529908512003625,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,tvl_percentile,0.0,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,top20_above_30dma_pct,0.0,coefficient,target_b_eth_leadership
target_b_eth_leadership__elastic_net_logistic,elastic_net_logistic,combined_crypto_liquidity_impulse,0.0,coefficient,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,recovery_from_drawdown,0.11914348645314252,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,stablecoin_supply_percentile,0.10167673500382986,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,eth_btc_relative_strength_30d,0.09567726854982102,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,jump_intensity,0.08001381099692402,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,tvl_percentile,0.0769056937859232,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,upside_semivariance,0.07290103509889798,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,downside_to_upside_volatility_ratio,0.04986572973892477,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,distance_from_90d_lows,0.044748888975394197,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,risk_appetite_recovery_score,0.04392888100558715,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,volatility_of_volatility,0.03814053282249434,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,tvl_acceleration,0.03731400528774799,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,volume_confirmation_of_price_trend,0.03612679236873351,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,top20_30d_high_pct,0.03496249737272409,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,dispersion_acceleration,0.03350330604009726,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,eth_btc_relative_strength_14d,0.0316649769083975,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,top20_above_30dma_pct,0.02820848232898985,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,combined_crypto_liquidity_impulse,0.02562369945944564,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,stablecoin_supply_acceleration,0.025288692740293512,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,market_dollar_volume_growth_30d,0.020597787927270815,model_importance,target_b_eth_leadership
target_b_eth_leadership__random_forest,random_forest,falling_vix_after_high_vix,0.003707697135360861,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,recovery_from_drawdown,0.20420650258716416,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,eth_btc_relative_strength_30d,0.20174280371223438,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,upside_semivariance,0.09858084961342282,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,distance_from_90d_lows,0.09064218572910741,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,jump_intensity,0.08924171115781444,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,volatility_of_volatility,0.0741213195303953,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,stablecoin_supply_percentile,0.04844674197944042,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,risk_appetite_recovery_score,0.03133754373531978,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,dispersion_acceleration,0.028706865107709922,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,downside_to_upside_volatility_ratio,0.026547160280786332,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,tvl_acceleration,0.024185316663147938,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,tvl_percentile,0.023814996760591924,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,top20_30d_high_pct,0.019609616293513894,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,eth_btc_relative_strength_14d,0.011753664701989294,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,combined_crypto_liquidity_impulse,0.007200018986164563,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,volume_confirmation_of_price_trend,0.006884654653703459,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,falling_vix_after_high_vix,0.004963188801461477,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,top20_above_30dma_pct,0.00451877869641952,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,market_dollar_volume_growth_30d,0.0034960810096128507,model_importance,target_b_eth_leadership
target_b_eth_leadership__gradient_boosting,gradient_boosting,stablecoin_supply_acceleration,0.0,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,recovery_from_drawdown,0.08067722618579865,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,eth_btc_relative_strength_30d,0.06528426706790924,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,stablecoin_supply_percentile,0.060846541076898575,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,top20_30d_high_pct,0.06056865677237511,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,jump_intensity,0.059262312948703766,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,tvl_percentile,0.057239387184381485,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,distance_from_90d_lows,0.057136572897434235,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,upside_semivariance,0.056745436042547226,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,downside_to_upside_volatility_ratio,0.05150403454899788,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,tvl_acceleration,0.05030934885144234,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,falling_vix_after_high_vix,0.04805881157517433,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,top20_above_30dma_pct,0.04630742222070694,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,dispersion_acceleration,0.044374603778123856,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,volatility_of_volatility,0.04403185099363327,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,risk_appetite_recovery_score,0.04095844551920891,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,market_dollar_volume_growth_30d,0.03964861482381821,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,volume_confirmation_of_price_trend,0.038509465754032135,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,combined_crypto_liquidity_impulse,0.036938171833753586,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,eth_btc_relative_strength_14d,0.035639308393001556,model_importance,target_b_eth_leadership
target_b_eth_leadership__xgboost,xgboost,stablecoin_supply_acceleration,0.025959575548768044,model_importance,target_b_eth_leadership
target_c_top20_leadership__logistic_regression,logistic_regression,stablecoin_supply_percentile,0.846495629572534,coefficient,target_c_top20_leadership
