family,candidate,fold,test_groups,fold_sharpe
relative,relative_winner_e50_b60_7d,8,"1,5",1.5193827304096281
relative,relative_winner_e50_b60_7d,9,"2,3",-0.2641420142158656
relative,relative_winner_e50_b60_7d,10,"2,4",-1.0948044925416291
relative,relative_winner_e50_b60_7d,11,"2,5",-1.1029260042107156
relative,relative_winner_e50_b60_7d,12,"3,4",0.9102924521244168
relative,relative_winner_e50_b60_7d,13,"3,5",0.8270879791957757
relative,relative_winner_e50_b60_7d,14,"4,5",0.47870215010085887
relative,relative_winner_e60_b40_7d,0,"0,1",1.739764831340525
relative,relative_winner_e60_b40_7d,1,"0,2",-0.060099720725826006
relative,relative_winner_e60_b40_7d,2,"0,3",1.2028454954710244
relative,relative_winner_e60_b40_7d,3,"0,4",1.0229989798649868
relative,relative_winner_e60_b40_7d,4,"0,5",0.9968766647065206
relative,relative_winner_e60_b40_7d,5,"1,2",0.3042539544151541
relative,relative_winner_e60_b40_7d,6,"1,3",1.6821820852283134
relative,relative_winner_e60_b40_7d,7,"1,4",1.6689582707581403
relative,relative_winner_e60_b40_7d,8,"1,5",1.6097435961211344
relative,relative_winner_e60_b40_7d,9,"2,3",-0.33839286420763054
relative,relative_winner_e60_b40_7d,10,"2,4",-1.0984318486733196
relative,relative_winner_e60_b40_7d,11,"2,5",-1.041505959432106
relative,relative_winner_e60_b40_7d,12,"3,4",0.8897973831082299
relative,relative_winner_e60_b40_7d,13,"3,5",0.854844256624304
relative,relative_winner_e60_b40_7d,14,"4,5",0.6916081022241258
relative,relative_winner_e60_b50_7d,0,"0,1",1.7327443882887643
relative,relative_winner_e60_b50_7d,1,"0,2",-0.04662625923194486
relative,relative_winner_e60_b50_7d,2,"0,3",1.2044923577433786
relative,relative_winner_e60_b50_7d,3,"0,4",1.032527435329439
relative,relative_winner_e60_b50_7d,4,"0,5",0.9706864563739777
relative,relative_winner_e60_b50_7d,5,"1,2",0.3113474091603552
relative,relative_winner_e60_b50_7d,6,"1,3",1.6702622802620488
relative,relative_winner_e60_b50_7d,7,"1,4",1.6665314580016588
relative,relative_winner_e60_b50_7d,8,"1,5",1.5655787869988185
relative,relative_winner_e60_b50_7d,9,"2,3",-0.30351866761001567
relative,relative_winner_e60_b50_7d,10,"2,4",-1.043286240288003
relative,relative_winner_e60_b50_7d,11,"2,5",-1.0282647377941871
relative,relative_winner_e60_b50_7d,12,"3,4",0.9010192276440295
relative,relative_winner_e60_b50_7d,13,"3,5",0.8247610501860277
relative,relative_winner_e60_b50_7d,14,"4,5",0.622208847152183
relative,relative_winner_e60_b60_7d,0,"0,1",1.7094860788537138
relative,relative_winner_e60_b60_7d,1,"0,2",-0.0650444110278935
relative,relative_winner_e60_b60_7d,2,"0,3",1.2109572584591803
relative,relative_winner_e60_b60_7d,3,"0,4",0.9913036259029891
relative,relative_winner_e60_b60_7d,4,"0,5",0.9272659900763792
relative,relative_winner_e60_b60_7d,5,"1,2",0.3016667452290267
relative,relative_winner_e60_b60_7d,6,"1,3",1.6713189643839883
relative,relative_winner_e60_b60_7d,7,"1,4",1.612446494767757
relative,relative_winner_e60_b60_7d,8,"1,5",1.5153987498453312
relative,relative_winner_e60_b60_7d,9,"2,3",-0.276054311439161
relative,relative_winner_e60_b60_7d,10,"2,4",-1.0841717363136114
relative,relative_winner_e60_b60_7d,11,"2,5",-1.0827428977830198
relative,relative_winner_e60_b60_7d,12,"3,4",0.8949722309120883
relative,relative_winner_e60_b60_7d,13,"3,5",0.8173153388744026
relative,relative_winner_e60_b60_7d,14,"4,5",0.458484430554369
relative,relative_winner_e40_b40_14d,0,"0,1",2.433828478420961
relative,relative_winner_e40_b40_14d,1,"0,2",0.4133279956965979
relative,relative_winner_e40_b40_14d,2,"0,3",1.5807217243520093
relative,relative_winner_e40_b40_14d,3,"0,4",1.9266599309545842
relative,relative_winner_e40_b40_14d,4,"0,5",1.7501055640697623
relative,relative_winner_e40_b40_14d,5,"1,2",0.30879957981304396
relative,relative_winner_e40_b40_14d,6,"1,3",1.444272831690329
relative,relative_winner_e40_b40_14d,7,"1,4",1.6824605122181204
relative,relative_winner_e40_b40_14d,8,"1,5",1.5255647271887975
relative,relative_winner_e40_b40_14d,9,"2,3",-0.4334562112073958
relative,relative_winner_e40_b40_14d,10,"2,4",-1.0547225424675133
relative,relative_winner_e40_b40_14d,11,"2,5",-1.1562801837820618
relative,relative_winner_e40_b40_14d,12,"3,4",0.6182151137541919
relative,relative_winner_e40_b40_14d,13,"3,5",0.4951064820288716
relative,relative_winner_e40_b40_14d,14,"4,5",0.455339646785018
relative,relative_winner_e40_b50_14d,0,"0,1",2.4472250138043288
relative,relative_winner_e40_b50_14d,1,"0,2",0.44270202665267105
relative,relative_winner_e40_b50_14d,2,"0,3",1.5522248776972503
relative,relative_winner_e40_b50_14d,3,"0,4",1.9410796375181265
relative,relative_winner_e40_b50_14d,4,"0,5",1.733470741599111
relative,relative_winner_e40_b50_14d,5,"1,2",0.3692567031009781
relative,relative_winner_e40_b50_14d,6,"1,3",1.4378752341804635
relative,relative_winner_e40_b50_14d,7,"1,4",1.7139667669327696
relative,relative_winner_e40_b50_14d,8,"1,5",1.531916932263309
relative,relative_winner_e40_b50_14d,9,"2,3",-0.4375481612853256
relative,relative_winner_e40_b50_14d,10,"2,4",-0.9909159000739799
relative,relative_winner_e40_b50_14d,11,"2,5",-1.118542727023668
relative,relative_winner_e40_b50_14d,12,"3,4",0.5911986609219535
relative,relative_winner_e40_b50_14d,13,"3,5",0.44339931055970405
relative,relative_winner_e40_b50_14d,14,"4,5",0.450264211617879
relative,relative_winner_e40_b60_14d,0,"0,1",2.4700238437829456
relative,relative_winner_e40_b60_14d,1,"0,2",0.41592086610975804
relative,relative_winner_e40_b60_14d,2,"0,3",1.5844913925436859
relative,relative_winner_e40_b60_14d,3,"0,4",1.9437280977186209
relative,relative_winner_e40_b60_14d,4,"0,5",1.7110552291135206
relative,relative_winner_e40_b60_14d,5,"1,2",0.38241201925638835
relative,relative_winner_e40_b60_14d,6,"1,3",1.5091640716164672
relative,relative_winner_e40_b60_14d,7,"1,4",1.7736143059874236
relative,relative_winner_e40_b60_14d,8,"1,5",1.5659399107977852
relative,relative_winner_e40_b60_14d,9,"2,3",-0.3955367058064169
relative,relative_winner_e40_b60_14d,10,"2,4",-0.9880474818960502
