config,model,feature,importance,method
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,dow_vol_level,0.3579370661531142,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,vix_change_5d,-0.2800606158657863,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,cross_sectional_dispersion,-0.26075807432950604,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,tvl_growth_30d,0.25004424901777694,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,equity_realized_vol_21d,-0.23595860370992375,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_change_7d,0.06683953492336435,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,volatility_expansion_probability,0.06506665494414851,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,vix_change_21d,0.06210647458269282,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,equity_momentum_21d,-0.0520081311544764,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,vix_level,0.0,coefficient
eth_leads_btc_30d_gt_5__random_forest,random_forest,volatility_4h_7d,0.20909308818729988,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,tvl_growth_30d,0.11523597459244286,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,volatility_expansion_probability,0.11466707873529672,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,dow_vol_level,0.1103696571944793,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,vix_level,0.08558881475560996,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,stablecoin_supply_change_7d,0.07293198771217176,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,equity_realized_vol_21d,0.07185997563903043,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,vix_change_5d,0.06580430268895318,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,cross_sectional_dispersion,0.057293544042844015,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,equity_momentum_21d,0.0531318164275069,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,vix_change_21d,0.044023760024364936,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,volatility_4h_7d,0.19882958956715513,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,dow_vol_level,0.18809126429040637,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,vix_change_21d,0.10149489580478799,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,vix_change_5d,0.09301880069854199,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,vix_level,0.08536301584965361,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,tvl_growth_30d,0.08087369469416951,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,equity_realized_vol_21d,0.0740882494492056,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,stablecoin_supply_change_7d,0.07133416243606823,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,cross_sectional_dispersion,0.05968746421109574,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,volatility_expansion_probability,0.03760686063811133,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,equity_momentum_21d,0.009612002360804334,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,volatility_4h_7d,0.11600878089666367,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,dow_vol_level,0.1130874827504158,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,vix_level,0.11096091568470001,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,tvl_growth_30d,0.09386855363845825,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,volatility_expansion_probability,0.08544597029685974,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,cross_sectional_dispersion,0.08334705233573914,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,vix_change_21d,0.08291307836771011,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,equity_realized_vol_21d,0.08217381685972214,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,stablecoin_supply_change_7d,0.07967730611562729,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,equity_momentum_21d,0.07640882581472397,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,vix_change_5d,0.0761081874370575,model_importance
btc_leads_eth_30d_gt_5__logistic_regression,logistic_regression,vix_level,-0.48543227108756903,coefficient
btc_leads_eth_30d_gt_5__logistic_regression,logistic_regression,volatility_4h_7d,-0.41738931191231343,coefficient
btc_leads_eth_30d_gt_5__logistic_regression,logistic_regression,equity_momentum_21d,-0.3533838039213317,coefficient
btc_leads_eth_30d_gt_5__logistic_regression,logistic_regression,equity_realized_vol_21d,0.2592111021945237,coefficient
btc_leads_eth_30d_gt_5__logistic_regression,logistic_regression,cross_sectional_dispersion,0.24897086686151315,coefficient
btc_leads_eth_30d_gt_5__logistic_regression,logistic_regression,volatility_expansion_probability,-0.21063156961527896,coefficient
btc_leads_eth_30d_gt_5__logistic_regression,logistic_regression,vix_change_5d,0.20127794229418833,coefficient
btc_leads_eth_30d_gt_5__logistic_regression,logistic_regression,dow_vol_level,0.16146215356120522,coefficient
btc_leads_eth_30d_gt_5__logistic_regression,logistic_regression,stablecoin_supply_change_7d,0.13359729351924607,coefficient
btc_leads_eth_30d_gt_5__logistic_regression,logistic_regression,vix_change_21d,-0.06885641235583624,coefficient
btc_leads_eth_30d_gt_5__logistic_regression,logistic_regression,tvl_growth_30d,0.05115140335064547,coefficient
btc_leads_eth_30d_gt_5__elastic_net_logistic,elastic_net_logistic,volatility_4h_7d,-0.36704801928508407,coefficient
btc_leads_eth_30d_gt_5__elastic_net_logistic,elastic_net_logistic,equity_momentum_21d,-0.24529070505873446,coefficient
btc_leads_eth_30d_gt_5__elastic_net_logistic,elastic_net_logistic,cross_sectional_dispersion,0.21706973983162525,coefficient
btc_leads_eth_30d_gt_5__elastic_net_logistic,elastic_net_logistic,vix_level,-0.18976856621681332,coefficient
btc_leads_eth_30d_gt_5__elastic_net_logistic,elastic_net_logistic,volatility_expansion_probability,-0.1788408551885582,coefficient
btc_leads_eth_30d_gt_5__elastic_net_logistic,elastic_net_logistic,vix_change_5d,0.13332984805206724,coefficient
btc_leads_eth_30d_gt_5__elastic_net_logistic,elastic_net_logistic,equity_realized_vol_21d,0.128808457349769,coefficient
btc_leads_eth_30d_gt_5__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_change_7d,0.12566112289205728,coefficient
btc_leads_eth_30d_gt_5__elastic_net_logistic,elastic_net_logistic,tvl_growth_30d,0.006404550276967242,coefficient
btc_leads_eth_30d_gt_5__elastic_net_logistic,elastic_net_logistic,vix_change_21d,-0.001378317343413942,coefficient
btc_leads_eth_30d_gt_5__elastic_net_logistic,elastic_net_logistic,dow_vol_level,0.0,coefficient
btc_leads_eth_30d_gt_5__random_forest,random_forest,vix_change_21d,0.14512436828557315,model_importance
btc_leads_eth_30d_gt_5__random_forest,random_forest,equity_momentum_21d,0.11463844242528035,model_importance
btc_leads_eth_30d_gt_5__random_forest,random_forest,equity_realized_vol_21d,0.10376254742251781,model_importance
btc_leads_eth_30d_gt_5__random_forest,random_forest,tvl_growth_30d,0.08982259426453408,model_importance
btc_leads_eth_30d_gt_5__random_forest,random_forest,vix_change_5d,0.08604565849811253,model_importance
btc_leads_eth_30d_gt_5__random_forest,random_forest,cross_sectional_dispersion,0.08566680865606721,model_importance
btc_leads_eth_30d_gt_5__random_forest,random_forest,stablecoin_supply_change_7d,0.08510383861504375,model_importance
btc_leads_eth_30d_gt_5__random_forest,random_forest,volatility_4h_7d,0.08489568955275048,model_importance
