name,family,benchmark_group,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,overlay_type,rebalance_days,threshold,secondary_threshold,top_k
regime_transition_t60_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,development,10,False,0.3100266293415961,0.8318603903891317,0.8686580272319155,0.416480097597751,0.44505792590238324,-0.7443972260134963,0.3333333333333333,0.018883415435139574,0.4885057471264368,0.0345,0.5114942528735632,6.892446633825944,-0.40293548727121553,0.5171626168136121,1.2873563218390804,regime_transition,14,0.6,,5
regime_transition_t60_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,holdout,10,False,0.2989585583312031,1.108508987537166,1.381551676292732,1.3193029908691352,0.2674386219529421,-0.2266034113469675,0.24535315985130113,0.02137546468401487,0.30576208178438663,0.0115,0.6942379182156133,7.802044609665428,-0.09895791942392862,0.25572006773133826,0.9368029739776952,regime_transition,14,0.6,,5
regime_transition_t60_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,development,25,False,0.29648058848525105,0.8083804899781151,0.845123891532337,0.39635020134100174,0.4451955415771327,-0.748026839603325,0.3333333333333333,0.018883415435139574,0.4885057471264368,0.08625,0.5114942528735632,6.892446633825944,-0.403378947187807,0.5171626168136121,1.2873563218390804,regime_transition,14,0.6,,5
regime_transition_t60_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,holdout,25,False,0.2837962210593734,1.064064195269486,1.3320877949280883,1.2334231676244476,0.26761077987665516,-0.23008828479033694,0.24349442379182157,0.02137546468401487,0.30576208178438663,0.028750000000000005,0.6942379182156133,7.802044609665428,-0.09998328175657689,0.2538200387098206,0.9368029739776952,regime_transition,14,0.6,,5
regime_transition_t60_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,development,50,False,0.2741893879607302,0.7692071789948058,0.8058676855484075,0.36366158032782986,0.4454668167546364,-0.7539685322644114,0.33278598795840175,0.018883415435139574,0.4885057471264368,0.1725,0.5114942528735632,6.892446633825944,-0.4041180470487925,0.5171626168136121,1.2873563218390804,regime_transition,14,0.6,,5
regime_transition_t60_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,holdout,50,False,0.2588904416699471,0.989830145107275,1.247171813735528,1.0976082323582388,0.2679752065764596,-0.23586780240679728,0.241635687732342,0.02137546468401487,0.30576208178438663,0.05750000000000001,0.6942379182156133,7.802044609665428,-0.10169106725255161,0.25065652038736697,0.9368029739776952,regime_transition,14,0.6,,5
regime_transition_t60_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,development,100,False,0.2306592603645654,0.6907606436983647,0.726267645123383,0.3013348656204933,0.44616618374841827,-0.7654582548541262,0.3322386425834702,0.018883415435139574,0.4885057471264368,0.345,0.5114942528735632,6.892446633825944,-0.40559624677076356,0.5171626168136121,1.2873563218390804,regime_transition,14,0.6,,5
regime_transition_t60_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,holdout,100,False,0.21041953702994665,0.8410613302636696,1.0711402161122692,0.8507980473052166,0.2689931238325707,-0.24732019272543115,0.23977695167286245,0.02137546468401487,0.30576208178438663,0.11500000000000002,0.6942379182156133,7.802044609665428,-0.10510231927535385,0.24434147141773987,0.9368029739776952,regime_transition,14,0.6,,5
cross_sectional_top3_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,development,10,False,0.3100266293415961,0.8318603903891317,0.8686580272319155,0.416480097597751,0.44505792590238324,-0.7443972260134963,0.3333333333333333,0.018883415435139574,0.4885057471264368,0.0345,0.5114942528735632,6.892446633825944,-0.40293548727121553,0.5171626168136121,1.2873563218390804,cross_sectional_leadership,14,0.4,,3
cross_sectional_top3_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,holdout,10,False,0.2989585583312031,1.108508987537166,1.381551676292732,1.3193029908691352,0.2674386219529421,-0.2266034113469675,0.24535315985130113,0.02137546468401487,0.30576208178438663,0.0115,0.6942379182156133,7.802044609665428,-0.09895791942392862,0.25572006773133826,0.9368029739776952,cross_sectional_leadership,14,0.4,,3
cross_sectional_top3_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,development,25,False,0.29648058848525105,0.8083804899781151,0.845123891532337,0.39635020134100174,0.4451955415771327,-0.748026839603325,0.3333333333333333,0.018883415435139574,0.4885057471264368,0.08625,0.5114942528735632,6.892446633825944,-0.403378947187807,0.5171626168136121,1.2873563218390804,cross_sectional_leadership,14,0.4,,3
cross_sectional_top3_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,holdout,25,False,0.2837962210593734,1.064064195269486,1.3320877949280883,1.2334231676244476,0.26761077987665516,-0.23008828479033694,0.24349442379182157,0.02137546468401487,0.30576208178438663,0.028750000000000005,0.6942379182156133,7.802044609665428,-0.09998328175657689,0.2538200387098206,0.9368029739776952,cross_sectional_leadership,14,0.4,,3
cross_sectional_top3_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,development,50,False,0.2741893879607302,0.7692071789948058,0.8058676855484075,0.36366158032782986,0.4454668167546364,-0.7539685322644114,0.33278598795840175,0.018883415435139574,0.4885057471264368,0.1725,0.5114942528735632,6.892446633825944,-0.4041180470487925,0.5171626168136121,1.2873563218390804,cross_sectional_leadership,14,0.4,,3
cross_sectional_top3_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,holdout,50,False,0.2588904416699471,0.989830145107275,1.247171813735528,1.0976082323582388,0.2679752065764596,-0.23586780240679728,0.241635687732342,0.02137546468401487,0.30576208178438663,0.05750000000000001,0.6942379182156133,7.802044609665428,-0.10169106725255161,0.25065652038736697,0.9368029739776952,cross_sectional_leadership,14,0.4,,3
cross_sectional_top3_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,development,100,False,0.2306592603645654,0.6907606436983647,0.726267645123383,0.3013348656204933,0.44616618374841827,-0.7654582548541262,0.3322386425834702,0.018883415435139574,0.4885057471264368,0.345,0.5114942528735632,6.892446633825944,-0.40559624677076356,0.5171626168136121,1.2873563218390804,cross_sectional_leadership,14,0.4,,3
cross_sectional_top3_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,holdout,100,False,0.21041953702994665,0.8410613302636696,1.0711402161122692,0.8507980473052166,0.2689931238325707,-0.24732019272543115,0.23977695167286245,0.02137546468401487,0.30576208178438663,0.11500000000000002,0.6942379182156133,7.802044609665428,-0.10510231927535385,0.24434147141773987,0.9368029739776952,cross_sectional_leadership,14,0.4,,3
cross_sectional_top5_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,development,10,False,0.3100266293415961,0.8318603903891317,0.8686580272319155,0.416480097597751,0.44505792590238324,-0.7443972260134963,0.3333333333333333,0.018883415435139574,0.4885057471264368,0.0345,0.5114942528735632,6.892446633825944,-0.40293548727121553,0.5171626168136121,1.2873563218390804,cross_sectional_leadership,14,0.4,,5
cross_sectional_top5_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,holdout,10,False,0.2989585583312031,1.108508987537166,1.381551676292732,1.3193029908691352,0.2674386219529421,-0.2266034113469675,0.24535315985130113,0.02137546468401487,0.30576208178438663,0.0115,0.6942379182156133,7.802044609665428,-0.09895791942392862,0.25572006773133826,0.9368029739776952,cross_sectional_leadership,14,0.4,,5
cross_sectional_top5_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,development,25,False,0.29648058848525105,0.8083804899781151,0.845123891532337,0.39635020134100174,0.4451955415771327,-0.748026839603325,0.3333333333333333,0.018883415435139574,0.4885057471264368,0.08625,0.5114942528735632,6.892446633825944,-0.403378947187807,0.5171626168136121,1.2873563218390804,cross_sectional_leadership,14,0.4,,5
cross_sectional_top5_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,holdout,25,False,0.2837962210593734,1.064064195269486,1.3320877949280883,1.2334231676244476,0.26761077987665516,-0.23008828479033694,0.24349442379182157,0.02137546468401487,0.30576208178438663,0.028750000000000005,0.6942379182156133,7.802044609665428,-0.09998328175657689,0.2538200387098206,0.9368029739776952,cross_sectional_leadership,14,0.4,,5
cross_sectional_top5_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,development,50,False,0.2741893879607302,0.7692071789948058,0.8058676855484075,0.36366158032782986,0.4454668167546364,-0.7539685322644114,0.33278598795840175,0.018883415435139574,0.4885057471264368,0.1725,0.5114942528735632,6.892446633825944,-0.4041180470487925,0.5171626168136121,1.2873563218390804,cross_sectional_leadership,14,0.4,,5
cross_sectional_top5_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,holdout,50,False,0.2588904416699471,0.989830145107275,1.247171813735528,1.0976082323582388,0.2679752065764596,-0.23586780240679728,0.241635687732342,0.02137546468401487,0.30576208178438663,0.05750000000000001,0.6942379182156133,7.802044609665428,-0.10169106725255161,0.25065652038736697,0.9368029739776952,cross_sectional_leadership,14,0.4,,5
cross_sectional_top5_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,development,100,False,0.2306592603645654,0.6907606436983647,0.726267645123383,0.3013348656204933,0.44616618374841827,-0.7654582548541262,0.3322386425834702,0.018883415435139574,0.4885057471264368,0.345,0.5114942528735632,6.892446633825944,-0.40559624677076356,0.5171626168136121,1.2873563218390804,cross_sectional_leadership,14,0.4,,5
cross_sectional_top5_t40_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,holdout,100,False,0.21041953702994665,0.8410613302636696,1.0711402161122692,0.8507980473052166,0.2689931238325707,-0.24732019272543115,0.23977695167286245,0.02137546468401487,0.30576208178438663,0.11500000000000002,0.6942379182156133,7.802044609665428,-0.10510231927535385,0.24434147141773987,0.9368029739776952,cross_sectional_leadership,14,0.4,,5
cross_sectional_top3_t50_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,development,10,False,0.3100266293415961,0.8318603903891317,0.8686580272319155,0.416480097597751,0.44505792590238324,-0.7443972260134963,0.3333333333333333,0.018883415435139574,0.4885057471264368,0.0345,0.5114942528735632,6.892446633825944,-0.40293548727121553,0.5171626168136121,1.2873563218390804,cross_sectional_leadership,14,0.5,,3
cross_sectional_top3_t50_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,holdout,10,False,0.2989585583312031,1.108508987537166,1.381551676292732,1.3193029908691352,0.2674386219529421,-0.2266034113469675,0.24535315985130113,0.02137546468401487,0.30576208178438663,0.0115,0.6942379182156133,7.802044609665428,-0.09895791942392862,0.25572006773133826,0.9368029739776952,cross_sectional_leadership,14,0.5,,3
cross_sectional_top3_t50_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,development,25,False,0.29648058848525105,0.8083804899781151,0.845123891532337,0.39635020134100174,0.4451955415771327,-0.748026839603325,0.3333333333333333,0.018883415435139574,0.4885057471264368,0.08625,0.5114942528735632,6.892446633825944,-0.403378947187807,0.5171626168136121,1.2873563218390804,cross_sectional_leadership,14,0.5,,3
cross_sectional_top3_t50_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,holdout,25,False,0.2837962210593734,1.064064195269486,1.3320877949280883,1.2334231676244476,0.26761077987665516,-0.23008828479033694,0.24349442379182157,0.02137546468401487,0.30576208178438663,0.028750000000000005,0.6942379182156133,7.802044609665428,-0.09998328175657689,0.2538200387098206,0.9368029739776952,cross_sectional_leadership,14,0.5,,3
cross_sectional_top3_t50_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,development,50,False,0.2741893879607302,0.7692071789948058,0.8058676855484075,0.36366158032782986,0.4454668167546364,-0.7539685322644114,0.33278598795840175,0.018883415435139574,0.4885057471264368,0.1725,0.5114942528735632,6.892446633825944,-0.4041180470487925,0.5171626168136121,1.2873563218390804,cross_sectional_leadership,14,0.5,,3
cross_sectional_top3_t50_14d,Top-20 cross-sectional leadership sleeve overlay.,cross_sectional,holdout,50,False,0.2588904416699471,0.989830145107275,1.247171813735528,1.0976082323582388,0.2679752065764596,-0.23586780240679728,0.241635687732342,0.02137546468401487,0.30576208178438663,0.05750000000000001,0.6942379182156133,7.802044609665428,-0.10169106725255161,0.25065652038736697,0.9368029739776952,cross_sectional_leadership,14,0.5,,3
