feature,target,target_label,target_type,full_ic,mean_ic,newey_west_t,p_value,positive_fold_fraction,auc,fold_ic_std,holdout_ic,holdout_auc,holdout_sign_consistent
eth_btc_relative_strength_63d,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,-0.18501710873318936,-0.24931790137548857,-9.112731553171145,0.0,1.0,0.613970588235294,0.11384777456928974,0.08328886912385387,0.5581140350877193,False
eth_btc_relative_strength_63d,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,-0.13596762980811414,-0.15424757140705161,-4.534849472030664,5.764458208101786e-06,0.8666666666666667,,0.13934454514462394,-0.01761693200049365,,True
eth_btc_breakout_strength,btc_30d_upside,BTC 30d > +15%,binary,-0.1954364516947119,-0.1750963987706334,-5.577146990231398,2.444952684754753e-08,1.0,0.625162595750831,0.0822911960546474,-0.2059028667354299,0.7352941176470589,True
eth_btc_breakout_strength,eth_30d_upside,ETH 30d > +20%,binary,-0.2918769830149428,-0.26282236776880924,-6.78154584521511,1.1889600415315726e-11,1.0,0.6877003788982804,0.12828174013870253,0.04634040850079055,0.5373900293255132,False
eth_btc_breakout_strength,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,-0.2705091705725006,-0.2431231511539756,-6.18372900285396,6.26048102247978e-10,1.0,0.6682109279193351,0.11177028025369744,-0.08886678076789055,0.5746031746031747,True
eth_btc_breakout_strength,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,-0.18807328508835577,-0.1804857523714391,-8.476444560507792,0.0,1.0,0.6158422459893047,0.06910642348556968,0.07071750981032211,0.549342105263158,False
eth_btc_breakout_strength,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,-0.12895840000341988,-0.11231147916277964,-2.802291726091228,0.0050740967517024504,0.8,,0.14670916467730388,-0.06923415119722795,,True
btc_dominance_proxy_change_30d,btc_30d_upside,BTC 30d > +15%,binary,0.07604602829097241,0.08481755797214403,7.788828792632432,6.661338147750939e-15,0.8666666666666667,0.5487064604711663,0.0642782913250458,-0.0720654474962897,0.5823529411764705,False
btc_dominance_proxy_change_30d,eth_30d_upside,ETH 30d > +20%,binary,0.07137621237948436,0.08711567841073406,5.61331997172447,1.9848108934183983e-08,1.0,0.5459049839696881,0.06169547276798277,-0.17990843355390168,0.6451612903225806,False
btc_dominance_proxy_change_30d,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,0.10867547168805325,0.11430985447802004,4.638420966327266,3.510811382501089e-06,0.8666666666666667,0.5675841395285461,0.08535603633971099,-0.05861380755059712,0.5492063492063493,False
btc_dominance_proxy_change_30d,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.03244581554910476,0.038346574182447975,1.358365122542838,0.17434785552931675,0.6,0.5199866310160428,0.09467683789082894,-0.13829095250753093,0.5964912280701754,False
btc_dominance_proxy_change_30d,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,-0.11292040415493956,-0.09775979950872661,-2.6456806823079675,0.008152673483608375,0.8,,0.12101170760723667,-0.009348389485375789,,True
altcoin_leadership_proxy_30d,btc_30d_upside,BTC 30d > +15%,binary,-0.05528568822340725,-0.05495460990211214,-1.3127227354319024,0.18927639366916393,0.6,0.5354097412920942,0.1365476625078264,0.03603272374814485,0.5411764705882354,False
altcoin_leadership_proxy_30d,eth_30d_upside,ETH 30d > +20%,binary,-0.11204932387826988,-0.1284539780492414,-3.317044603861772,0.0009097509137090398,0.7333333333333333,0.5720635383270184,0.13994713997101363,0.05633496404213083,0.5454545454545454,False
altcoin_leadership_proxy_30d,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,-0.09048985848218949,-0.09366331507977142,-1.8985222566585054,0.057627318728157295,0.7333333333333333,0.5562746968251806,0.1581848134948562,-0.07941225539113159,0.5666666666666667,True
altcoin_leadership_proxy_30d,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,-0.015192020658443701,-0.03190529497387302,-2.6617799093494847,0.007772868394781751,0.8,0.5093582887700534,0.05243482128648349,0.17443517873109018,0.6217105263157895,False
altcoin_leadership_proxy_30d,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.06690829570534756,0.05185471790150513,2.8024024022125475,0.005072356130213285,0.9333333333333333,,0.056614644711421275,0.04078736270517093,,True
top20_equal_weight_minus_btc_return_30d,btc_30d_upside,BTC 30d > +15%,binary,-0.057880730731852896,-0.05975321903422739,-1.4437162695198524,0.14881880301707318,0.6,0.5370718311894782,0.13550760302734732,0.02059012785608277,0.5235294117647059,False
top20_equal_weight_minus_btc_return_30d,eth_30d_upside,ETH 30d > +20%,binary,-0.11624126016087452,-0.13506022646028495,-3.5511983486182026,0.0003834812981913238,0.7333333333333333,0.5747595453220635,0.13808521318793868,0.03997965190086704,0.532258064516129,False
top20_equal_weight_minus_btc_return_30d,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,-0.09443372640635272,-0.10034934195190076,-2.026759711074431,0.0426869925925315,0.7333333333333333,0.5587273470500068,0.1583685827203904,-0.08886609531864725,0.5746031746031746,True
top20_equal_weight_minus_btc_return_30d,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,-0.019641112422702212,-0.03759419123523291,-3.0131454392829786,0.0025855497309565934,0.8,0.5120989304812833,0.05323728451745644,0.16186327395767824,0.6129385964912281,False
