family,candidate,overlay_type,description,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,selection_score
transition,regime_transition_t40_14d,regime_transition,Early re-entry overlay for predicted risk-off to risk-on transitions.,0.6843095876357497,-1.0969374359000204,0.8,0.8308819735436735,0.30990822511657923,-0.748026839603325,7.092227695675971,0.5,0.7300752286607446
transition,regime_transition_t50_14d,regime_transition,Early re-entry overlay for predicted risk-off to risk-on transitions.,0.6883373334062284,-1.209928549246957,0.8,0.8102838316131932,0.2976565599934913,-0.748026839603325,6.992337164750958,0.49233716475095785,0.7058551960944892
transition,regime_transition_t60_14d,regime_transition,Early re-entry overlay for predicted risk-off to risk-on transitions.,0.6833399107209001,-1.2116029013955434,0.8,0.8083804899781151,0.29648058848525105,-0.748026839603325,6.892446633825944,0.4885057471264368,0.7004391853720142
cross_sectional,cross_sectional_top3_t40_7d,cross_sectional_leadership,Top-20 cross-sectional leadership sleeve overlay.,0.879757709912453,-1.1474745641209614,0.7333333333333333,0.640099247594979,0.20733007655267865,-0.740884048724868,11.38752052545156,0.49808429118773945,0.8862224022155459
cross_sectional,cross_sectional_top5_t40_7d,cross_sectional_leadership,Top-20 cross-sectional leadership sleeve overlay.,0.879757709912453,-1.1474745641209614,0.7333333333333333,0.640099247594979,0.20733007655267865,-0.740884048724868,11.38752052545156,0.49808429118773945,0.8862224022155459
cross_sectional,cross_sectional_top3_t50_7d,cross_sectional_leadership,Top-20 cross-sectional leadership sleeve overlay.,0.879757709912453,-1.1474745641209614,0.7333333333333333,0.6281168905695268,0.20002605127253803,-0.7408840487248671,11.087848932676518,0.49808429118773945,0.8862224022155459
cross_sectional,cross_sectional_top5_t50_7d,cross_sectional_leadership,Top-20 cross-sectional leadership sleeve overlay.,0.879757709912453,-1.1474745641209614,0.7333333333333333,0.6281168905695268,0.20002605127253803,-0.7408840487248671,11.087848932676518,0.49808429118773945,0.8862224022155459
cross_sectional,cross_sectional_top3_t60_7d,cross_sectional_leadership,Top-20 cross-sectional leadership sleeve overlay.,0.879757709912453,-1.1474745641209614,0.7333333333333333,0.6281168905695268,0.20002605127253803,-0.7408840487248671,11.087848932676518,0.49808429118773945,0.8862224022155459
cross_sectional,cross_sectional_top5_t60_7d,cross_sectional_leadership,Top-20 cross-sectional leadership sleeve overlay.,0.879757709912453,-1.1474745641209614,0.7333333333333333,0.6281168905695268,0.20002605127253803,-0.7408840487248671,11.087848932676518,0.49808429118773945,0.8862224022155459
cross_sectional,cross_sectional_top3_t40_14d,cross_sectional_leadership,Top-20 cross-sectional leadership sleeve overlay.,0.6833399107209001,-1.2116029013955434,0.8,0.8083804899781151,0.29648058848525105,-0.748026839603325,6.892446633825944,0.4885057471264368,0.7004391853720142
cross_sectional,cross_sectional_top5_t40_14d,cross_sectional_leadership,Top-20 cross-sectional leadership sleeve overlay.,0.6833399107209001,-1.2116029013955434,0.8,0.8083804899781151,0.29648058848525105,-0.748026839603325,6.892446633825944,0.4885057471264368,0.7004391853720142
cross_sectional,cross_sectional_top3_t50_14d,cross_sectional_leadership,Top-20 cross-sectional leadership sleeve overlay.,0.6833399107209001,-1.2116029013955434,0.8,0.8083804899781151,0.29648058848525105,-0.748026839603325,6.892446633825944,0.4885057471264368,0.7004391853720142
cross_sectional,cross_sectional_top5_t50_14d,cross_sectional_leadership,Top-20 cross-sectional leadership sleeve overlay.,0.6833399107209001,-1.2116029013955434,0.8,0.8083804899781151,0.29648058848525105,-0.748026839603325,6.892446633825944,0.4885057471264368,0.7004391853720142
cross_sectional,cross_sectional_top3_t60_14d,cross_sectional_leadership,Top-20 cross-sectional leadership sleeve overlay.,0.6833399107209001,-1.2116029013955434,0.8,0.8083804899781151,0.29648058848525105,-0.748026839603325,6.892446633825944,0.4885057471264368,0.7004391853720142
