feature,target,target_type,full_sample_ic,development_ic,holdout_diagnostic_ic,newey_west_t_stat,p_value,auc,sign_stability,cpcv_fold_stability,macro_tier1_redundancy,crypto_tier1_redundancy
funding_change,frozen_macro_drawdown_avoidance,binary,0.09359592638382952,0.1019657900164664,0.032582481226798535,2.189000822948512,0.028596780204468927,0.5588392423506557,True,1.0,0.19042504851121478,0.1100288604986739
open_interest_growth,btc_forward_30d_return,continuous,,,,,,,False,,,
open_interest_growth,eth_forward_30d_return,continuous,,,,,,,False,,,
open_interest_growth,btc_eth_50_50_forward_30d_return,continuous,,,,,,,False,,,
open_interest_growth,btc_upward_expansion_30d,binary,,,,,,,False,,,
open_interest_growth,eth_upward_expansion_30d,binary,,,,,,,False,,,
open_interest_growth,eth_outperforms_btc_30d,binary,,,,,,,False,,,
open_interest_growth,frozen_macro_positive_next_period,binary,,,,,,,False,,,
open_interest_growth,frozen_macro_drawdown_avoidance,binary,,,,,,,False,,,
long_short_ratio,btc_forward_30d_return,continuous,,,,,,,False,,,
long_short_ratio,eth_forward_30d_return,continuous,,,,,,,False,,,
long_short_ratio,btc_eth_50_50_forward_30d_return,continuous,,,,,,,False,,,
long_short_ratio,btc_upward_expansion_30d,binary,,,,,,,False,,,
long_short_ratio,eth_upward_expansion_30d,binary,,,,,,,False,,,
long_short_ratio,eth_outperforms_btc_30d,binary,,,,,,,False,,,
long_short_ratio,frozen_macro_positive_next_period,binary,,,,,,,False,,,
long_short_ratio,frozen_macro_drawdown_avoidance,binary,,,,,,,False,,,
taker_buy_sell_imbalance,btc_forward_30d_return,continuous,,,,,,,False,,,
taker_buy_sell_imbalance,eth_forward_30d_return,continuous,,,,,,,False,,,
taker_buy_sell_imbalance,btc_eth_50_50_forward_30d_return,continuous,,,,,,,False,,,
taker_buy_sell_imbalance,btc_upward_expansion_30d,binary,,,,,,,False,,,
taker_buy_sell_imbalance,eth_upward_expansion_30d,binary,,,,,,,False,,,
taker_buy_sell_imbalance,eth_outperforms_btc_30d,binary,,,,,,,False,,,
taker_buy_sell_imbalance,frozen_macro_positive_next_period,binary,,,,,,,False,,,
taker_buy_sell_imbalance,frozen_macro_drawdown_avoidance,binary,,,,,,,False,,,
leverage_crowding_score,btc_forward_30d_return,continuous,,,,,,,False,,,
leverage_crowding_score,eth_forward_30d_return,continuous,,,,,,,False,,,
leverage_crowding_score,btc_eth_50_50_forward_30d_return,continuous,,,,,,,False,,,
leverage_crowding_score,btc_upward_expansion_30d,binary,,,,,,,False,,,
leverage_crowding_score,eth_upward_expansion_30d,binary,,,,,,,False,,,
leverage_crowding_score,eth_outperforms_btc_30d,binary,,,,,,,False,,,
leverage_crowding_score,frozen_macro_positive_next_period,binary,,,,,,,False,,,
leverage_crowding_score,frozen_macro_drawdown_avoidance,binary,,,,,,,False,,,
credit_spread_level,btc_forward_30d_return,continuous,0.15556233876636635,0.07814484148970856,-0.07701354711614737,1.5154123201233918,0.12966801933952884,,False,0.6666666666666666,0.5511988638802553,0.46174736425989776
credit_spread_level,eth_forward_30d_return,continuous,0.15850330331761256,0.11863648770833875,-0.23874847322970497,2.1536720666706883,0.03126589822623662,,False,0.8,0.5511988638802553,0.46174736425989776
credit_spread_level,btc_eth_50_50_forward_30d_return,continuous,0.1595215950342999,0.09918943104201262,-0.18239709729106052,2.0354576335456143,0.04180484731193863,,False,0.7333333333333333,0.5511988638802553,0.46174736425989776
credit_spread_level,btc_upward_expansion_30d,binary,0.17697247389487644,0.0648794421842529,-0.054033134098813856,1.3003917275672217,0.19346674375110076,0.542269635126778,False,0.5333333333333333,0.5511988638802553,0.46174736425989776
credit_spread_level,eth_upward_expansion_30d,binary,0.08180874776782195,0.03058411363682996,-0.08393249065698326,0.9226472627244163,0.35619105711024557,0.5200943396226415,False,0.4,0.5511988638802553,0.46174736425989776
credit_spread_level,eth_outperforms_btc_30d,binary,0.06883027389909101,0.03890881661844204,-0.10557283315535762,1.542342785561095,0.12299031701019701,0.5241365777080063,False,0.5333333333333333,0.5511988638802553,0.46174736425989776
credit_spread_level,frozen_macro_positive_next_period,binary,0.13264010611533994,0.21244224495784256,-0.13945599665057012,4.9552772427286715,7.222722748209389e-07,0.625921375921376,False,1.0,0.5511988638802553,0.46174736425989776
credit_spread_level,frozen_macro_drawdown_avoidance,binary,-0.23163631408237187,-0.29307148934653693,-0.05985263971130288,-4.314385010400412,1.6004781193015072e-05,0.669208353569694,True,0.8666666666666667,0.5511988638802553,0.46174736425989776
credit_spread_change,btc_forward_30d_return,continuous,-0.01788331880978717,-0.014528959891915744,0.1793023700690923,0.2940541721103976,0.7687165088356688,,False,0.4666666666666667,0.6292178527401837,0.3070399883016282
credit_spread_change,eth_forward_30d_return,continuous,-0.02968163295789906,-0.017358554847892695,0.11690579356116773,1.0262458161170547,0.3047757303525521,,False,0.6,0.6292178527401837,0.3070399883016282
credit_spread_change,btc_eth_50_50_forward_30d_return,continuous,-0.023819247866420205,-0.015456675138067139,0.1367322382177983,0.7605623472548919,0.44691851655922293,,False,0.4666666666666667,0.6292178527401837,0.3070399883016282
credit_spread_change,btc_upward_expansion_30d,binary,0.0032249330478094393,-0.007498940776724692,0.03379986205815707,0.8458481106372443,0.3976374825368998,0.5048855905998764,False,0.4666666666666667,0.6292178527401837,0.3070399883016282
