asset,entry_time,direction,hold,gross_ret,cost_bps,net_ret,k,z
BTC,2024-02-12 17:00:00+00:00,-1.0,4,-0.01141460012617923,22.5,-0.013664600126179231,3,2.5
BTC,2024-02-12 18:00:00+00:00,-1.0,4,0.0007698599817157481,22.5,-0.0014801400182842517,3,2.5
BTC,2024-02-13 15:00:00+00:00,1.0,4,0.008081716271612915,22.5,0.005831716271612915,3,2.5
BTC,2024-02-13 16:00:00+00:00,1.0,4,0.006047353154757351,22.5,0.0037973531547573513,3,2.5
BTC,2024-02-13 17:00:00+00:00,1.0,4,0.01858142599914614,22.5,0.01633142599914614,3,2.5
BTC,2024-02-14 09:00:00+00:00,-1.0,4,-0.015847139777324992,22.5,-0.01809713977732499,3,2.5
BTC,2024-02-14 10:00:00+00:00,-1.0,4,-0.004849340683640735,22.5,-0.007099340683640735,3,2.5
BTC,2024-02-14 11:00:00+00:00,-1.0,4,-0.011894185584363948,22.5,-0.014144185584363948,3,2.5
BTC,2024-02-26 16:00:00+00:00,-1.0,4,-0.0316864430993149,22.5,-0.0339364430993149,3,2.5
BTC,2024-02-26 17:00:00+00:00,-1.0,4,-0.019643231584938414,22.5,-0.021893231584938413,3,2.5
BTC,2024-02-26 20:00:00+00:00,-1.0,4,0.0006162457793582599,22.5,-0.00163375422064174,3,2.5
BTC,2024-02-27 02:00:00+00:00,-1.0,4,-0.004918899069421556,22.5,-0.0071688990694215565,3,2.5
BTC,2024-02-27 03:00:00+00:00,-1.0,4,0.0005727752646202955,22.5,-0.0016772247353797043,3,2.5
BTC,2024-02-27 04:00:00+00:00,-1.0,4,-0.005689390148315043,22.5,-0.007939390148315044,3,2.5
BTC,2024-02-28 09:00:00+00:00,-1.0,4,0.0018006960673874195,22.5,-0.00044930393261258033,3,2.5
BTC,2024-02-28 10:00:00+00:00,-1.0,4,-0.020018744395223553,22.5,-0.022268744395223552,3,2.5
BTC,2024-02-28 14:00:00+00:00,-1.0,4,-0.015273003701745003,22.5,-0.017523003701745,3,2.5
BTC,2024-02-28 15:00:00+00:00,-1.0,4,-0.0016632854722256063,22.5,-0.0039132854722256066,3,2.5
BTC,2024-02-28 16:00:00+00:00,-1.0,4,0.0004180437519673008,22.5,-0.001831956248032699,3,2.5
BTC,2024-02-28 17:00:00+00:00,-1.0,4,0.033413261968099905,22.5,0.031163261968099907,3,2.5
BTC,2024-02-28 20:00:00+00:00,1.0,4,0.02396310492038256,22.5,0.021713104920382562,3,2.5
BTC,2024-02-29 00:00:00+00:00,-1.0,4,0.013306852035749772,22.5,0.011056852035749772,3,2.5
BTC,2024-02-29 07:00:00+00:00,-1.0,4,0.004494870484900271,22.5,0.002244870484900271,3,2.5
BTC,2024-02-29 18:00:00+00:00,1.0,4,0.006196089353440737,22.5,0.003946089353440737,3,2.5
BTC,2024-02-29 19:00:00+00:00,1.0,4,0.0062406980908293885,22.5,0.003990698090829388,3,2.5
BTC,2024-03-04 09:00:00+00:00,-1.0,4,0.0028028055609131686,22.5,0.0005528055609131687,3,2.5
BTC,2024-03-04 10:00:00+00:00,-1.0,4,0.0036812181374199504,22.5,0.0014312181374199506,3,2.5
BTC,2024-03-05 15:00:00+00:00,-1.0,4,0.068647026914614,22.5,0.066397026914614,3,2.5
BTC,2024-03-05 17:00:00+00:00,1.0,4,-0.05605904644265003,22.5,-0.05830904644265003,3,2.5
BTC,2024-03-05 18:00:00+00:00,1.0,4,-0.036022046912929206,22.5,-0.03827204691292921,3,2.5
BTC,2024-03-05 19:00:00+00:00,1.0,4,-0.009987258282116551,22.5,-0.012237258282116551,3,2.5
BTC,2024-03-05 20:00:00+00:00,1.0,4,0.03659989065916913,22.5,0.03434989065916913,3,2.5
BTC,2024-03-05 21:00:00+00:00,1.0,4,0.024817688055134512,22.5,0.022567688055134514,3,2.5
BTC,2024-03-06 06:00:00+00:00,-1.0,4,0.0037939979554566516,22.5,0.0015439979554566518,3,2.5
BTC,2024-03-06 07:00:00+00:00,-1.0,4,-0.014340242400279868,22.5,-0.016590242400279866,3,2.5
BTC,2024-03-11 08:00:00+00:00,-1.0,4,-0.004844961240310086,22.5,-0.007094961240310086,3,2.5
BTC,2024-03-11 09:00:00+00:00,-1.0,4,-0.01007127275989883,22.5,-0.01232127275989883,3,2.5
BTC,2024-03-15 03:00:00+00:00,1.0,4,-0.00571244052256159,22.5,-0.00796244052256159,3,2.5
BTC,2024-03-15 04:00:00+00:00,1.0,4,0.002932357932313945,22.5,0.000682357932313945,3,2.5
BTC,2024-03-15 05:00:00+00:00,1.0,4,-0.005493129141895037,22.5,-0.007743129141895037,3,2.5
BTC,2024-03-20 20:00:00+00:00,-1.0,4,-0.03109932607489929,22.5,-0.033349326074899294,3,2.5
BTC,2024-03-20 21:00:00+00:00,-1.0,4,-0.009068137766512496,22.5,-0.011318137766512497,3,2.5
BTC,2024-03-25 15:00:00+00:00,-1.0,4,-0.02146120695867748,22.5,-0.02371120695867748,3,2.5
BTC,2024-03-25 16:00:00+00:00,-1.0,4,-0.01710220923235628,22.5,-0.01935220923235628,3,2.5
BTC,2024-04-02 03:00:00+00:00,1.0,4,-0.0022953168372982224,22.5,-0.004545316837298223,3,2.5
BTC,2024-04-02 04:00:00+00:00,1.0,4,-0.0036500289304141065,22.5,-0.005900028930414107,3,2.5
BTC,2024-04-05 15:00:00+00:00,-1.0,4,0.007537422952744399,22.5,0.005287422952744399,3,2.5
BTC,2024-04-08 09:00:00+00:00,-1.0,4,-0.0028271338195189344,22.5,-0.005077133819518935,3,2.5
BTC,2024-04-08 10:00:00+00:00,-1.0,4,0.003787076601098671,22.5,0.0015370766010986713,3,2.5
BTC,2024-04-08 11:00:00+00:00,-1.0,4,0.008293008579117411,22.5,0.006043008579117411,3,2.5
BTC,2024-04-12 15:00:00+00:00,1.0,4,-0.03979579310693426,22.5,-0.042045793106934265,3,2.5
BTC,2024-04-12 19:00:00+00:00,1.0,4,0.008742944204885417,22.5,0.006492944204885416,3,2.5
BTC,2024-04-12 20:00:00+00:00,1.0,4,0.004116691448590615,22.5,0.001866691448590615,3,2.5
BTC,2024-04-13 05:00:00+00:00,-1.0,4,0.006029258330188414,22.5,0.003779258330188414,3,2.5
BTC,2024-04-13 20:00:00+00:00,1.0,4,-0.012889780796542127,22.5,-0.015139780796542128,3,2.5
BTC,2024-04-13 21:00:00+00:00,1.0,4,0.02997205583657836,22.5,0.02772205583657836,3,2.5
BTC,2024-04-13 22:00:00+00:00,1.0,4,0.01311256046938869,22.5,0.01086256046938869,3,2.5
BTC,2024-04-14 00:00:00+00:00,-1.0,4,0.008038157791852352,22.5,0.005788157791852351,3,2.5
BTC,2024-04-17 16:00:00+00:00,1.0,4,0.01195522388059711,22.5,0.00970522388059711,3,2.5
BTC,2024-04-17 17:00:00+00:00,1.0,4,0.010805153380348376,22.5,0.008555153380348375,3,2.5
BTC,2024-04-19 02:00:00+00:00,1.0,4,0.017300884955752105,22.5,0.015050884955752105,3,2.5
BTC,2024-04-19 03:00:00+00:00,1.0,4,0.05334532837234174,22.5,0.051095328372341736,3,2.5
BTC,2024-04-19 07:00:00+00:00,-1.0,4,-0.00223419085621801,22.5,-0.00448419085621801,3,2.5
BTC,2024-04-19 08:00:00+00:00,-1.0,4,-0.004892195105326236,22.5,-0.007142195105326236,3,2.5
BTC,2024-04-19 09:00:00+00:00,-1.0,4,-0.005197429601055958,22.5,-0.007447429601055959,3,2.5
BTC,2024-04-30 01:00:00+00:00,-1.0,4,0.01789936407709114,22.5,0.01564936407709114,3,2.5
BTC,2024-04-30 10:00:00+00:00,1.0,4,-0.013605750991410592,22.5,-0.01585575099141059,3,2.5
BTC,2024-05-01 08:00:00+00:00,1.0,4,0.007008931211923919,22.5,0.004758931211923919,3,2.5
BTC,2024-05-01 09:00:00+00:00,1.0,4,0.014189248289977696,22.5,0.011939248289977696,3,2.5
BTC,2024-05-01 10:00:00+00:00,1.0,4,0.0034318471917509363,22.5,0.0011818471917509365,3,2.5
BTC,2024-05-01 19:00:00+00:00,-1.0,4,0.017593371980938577,22.5,0.015343371980938577,3,2.5
BTC,2024-05-03 14:00:00+00:00,-1.0,4,-0.002228049094915807,22.5,-0.004478049094915807,3,2.5
BTC,2024-05-03 15:00:00+00:00,-1.0,4,-0.0034570850767536854,22.5,-0.005707085076753686,3,2.5
BTC,2024-05-10 15:00:00+00:00,1.0,4,-0.0058172480093285905,22.5,-0.00806724800932859,3,2.5
BTC,2024-05-10 16:00:00+00:00,1.0,4,-0.003406100777904153,22.5,-0.005656100777904153,3,2.5
BTC,2024-05-10 17:00:00+00:00,1.0,4,-0.008699454482626545,22.5,-0.010949454482626545,3,2.5
BTC,2024-05-13 09:00:00+00:00,-1.0,4,-0.001022719669671046,22.5,-0.003272719669671046,3,2.5
BTC,2024-05-15 14:00:00+00:00,-1.0,4,-0.01425981044087532,22.5,-0.01650981044087532,3,2.5
BTC,2024-05-15 15:00:00+00:00,-1.0,4,-0.019038640159156683,22.5,-0.021288640159156682,3,2.5
BTC,2024-05-20 18:00:00+00:00,-1.0,4,-0.02062140815636626,22.5,-0.02287140815636626,3,2.5
BTC,2024-05-20 19:00:00+00:00,-1.0,4,-0.013264722532274176,22.5,-0.015514722532274176,3,2.5
