target,model,fold,auc
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,6,0.5625
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,7,0.5241758241758242
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,8,0.4735135135135135
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,9,0.5546129374337222
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,10,0.49153439153439155
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,11,0.63107822410148
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,12,0.4821428571428571
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,13,0.5627705627705628
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,14,0.5211956521739131
target_top10_basket_1w,elastic_net_C1_l1_0.5,0,0.54296875
target_top10_basket_1w,elastic_net_C1_l1_0.5,1,0.5975928833071689
target_top10_basket_1w,elastic_net_C1_l1_0.5,2,0.5641025641025641
target_top10_basket_1w,elastic_net_C1_l1_0.5,3,0.5313186813186813
target_top10_basket_1w,elastic_net_C1_l1_0.5,4,0.5389189189189189
target_top10_basket_1w,elastic_net_C1_l1_0.5,5,0.5259026687598117
target_top10_basket_1w,elastic_net_C1_l1_0.5,6,0.5699786324786325
target_top10_basket_1w,elastic_net_C1_l1_0.5,7,0.5252747252747253
target_top10_basket_1w,elastic_net_C1_l1_0.5,8,0.4697297297297298
target_top10_basket_1w,elastic_net_C1_l1_0.5,9,0.5652173913043478
target_top10_basket_1w,elastic_net_C1_l1_0.5,10,0.48571428571428577
target_top10_basket_1w,elastic_net_C1_l1_0.5,11,0.6131078224101479
target_top10_basket_1w,elastic_net_C1_l1_0.5,12,0.4918831168831169
target_top10_basket_1w,elastic_net_C1_l1_0.5,13,0.5422077922077922
target_top10_basket_1w,elastic_net_C1_l1_0.5,14,0.5228260869565218
target_top10_basket_1w,gb_depth2,0,0.5851004464285714
target_top10_basket_1w,gb_depth2,1,0.5235478806907379
target_top10_basket_1w,gb_depth2,2,0.6060363247863247
target_top10_basket_1w,gb_depth2,3,0.5876373626373627
target_top10_basket_1w,gb_depth2,4,0.5513513513513514
target_top10_basket_1w,gb_depth2,5,0.5651491365777079
target_top10_basket_1w,gb_depth2,6,0.5277777777777778
target_top10_basket_1w,gb_depth2,7,0.5263736263736263
target_top10_basket_1w,gb_depth2,8,0.5362162162162162
target_top10_basket_1w,gb_depth2,9,0.44989395546129374
target_top10_basket_1w,gb_depth2,10,0.5042328042328043
target_top10_basket_1w,gb_depth2,11,0.5882663847780126
target_top10_basket_1w,gb_depth2,12,0.4477813852813853
target_top10_basket_1w,gb_depth2,13,0.5684523809523809
target_top10_basket_1w,gb_depth2,14,0.5304347826086957
target_top10_basket_1w,gb_depth3,0,0.5959821428571428
target_top10_basket_1w,gb_depth3,1,0.586080586080586
target_top10_basket_1w,gb_depth3,2,0.6217948717948718
target_top10_basket_1w,gb_depth3,3,0.6615384615384615
target_top10_basket_1w,gb_depth3,4,0.5994594594594594
target_top10_basket_1w,gb_depth3,5,0.5504971219256933
target_top10_basket_1w,gb_depth3,6,0.5032051282051282
target_top10_basket_1w,gb_depth3,7,0.539010989010989
target_top10_basket_1w,gb_depth3,8,0.5259459459459459
target_top10_basket_1w,gb_depth3,9,0.45864262990455984
target_top10_basket_1w,gb_depth3,10,0.5698412698412698
target_top10_basket_1w,gb_depth3,11,0.6379492600422833
target_top10_basket_1w,gb_depth3,12,0.474025974025974
target_top10_basket_1w,gb_depth3,13,0.6136363636363635
target_top10_basket_1w,gb_depth3,14,0.55
target_csm_spread_1w,logistic_C0.25,0,0.4991913746630728
target_csm_spread_1w,logistic_C0.25,1,0.4615792262851086
