feature,horizon,method,full_sample_ic,mean_ic,n_ic_observations,newey_west_t,p_value,ci_low,ci_high,ic_information_ratio,rolling_ic_stability,elastic_net_abs_coef,random_forest_importance,gradient_boosting_importance,feature_tier,tier_reason
turnover_30d,4w,cross_sectional,0.09995027396923682,0.09995027396923682,360,4.219609699662481,2.447256219051397e-05,0.05352357791832622,0.14637697002014743,2.655264459898441,0.8835820895522388,0.0102996290628619,0.0029398659232796965,0.002280180622657559,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
volume_acceleration,1w,cross_sectional,0.026778601827855977,0.026778601827855977,363,1.8584895295558832,0.06309952890442982,-0.0014626439515270928,0.05501984760723905,0.6964205997735987,0.6982248520710059,0.07004876081773141,0.0010567660018385083,0.0011633025302036346,Tier 3,"unstable, insignificant, redundant, or no holdout support"
volume_acceleration,2w,cross_sectional,0.03962583579520788,0.03962583579520788,362,2.5838237909341144,0.009771170151622544,0.009567037501331543,0.06968463408908421,1.04971744190198,0.7863501483679525,0.07004876081773141,0.0010567660018385083,0.0011633025302036346,Tier 3,"unstable, insignificant, redundant, or no holdout support"
volume_acceleration,4w,cross_sectional,0.052201316198994215,0.052201316198994215,360,3.503859086328849,0.000458567942436261,0.023000775529640912,0.08140185686834751,1.4151163155277833,0.8567164179104477,0.07004876081773141,0.0010567660018385083,0.0011633025302036346,Tier 3,"unstable, insignificant, redundant, or no holdout support"
volume_concentration_7_30,1w,cross_sectional,0.026778601827855977,0.026778601827855977,363,1.8584895295558832,0.06309952890442982,-0.0014626439515270928,0.05501984760723905,0.6964205997735987,0.6982248520710059,0.0162889091812241,0.0014581250111804925,0.0008113937797996648,Tier 3,"unstable, insignificant, redundant, or no holdout support"
volume_concentration_7_30,2w,cross_sectional,0.03962583579520788,0.03962583579520788,362,2.5838237909341144,0.009771170151622544,0.009567037501331543,0.06968463408908421,1.04971744190198,0.7863501483679525,0.0162889091812241,0.0014581250111804925,0.0008113937797996648,Tier 3,"unstable, insignificant, redundant, or no holdout support"
volume_concentration_7_30,4w,cross_sectional,0.052201316198994215,0.052201316198994215,360,3.503859086328849,0.000458567942436261,0.023000775529640912,0.08140185686834751,1.4151163155277833,0.8567164179104477,0.0162889091812241,0.0014581250111804925,0.0008113937797996648,Tier 3,"unstable, insignificant, redundant, or no holdout support"
relative_strength_rank,1w,cross_sectional,0.001748364997731736,0.001748364997731736,363,0.10655439329841285,0.9151425013895134,-0.03041169231644421,0.03390842231190768,0.03972291631068282,0.5325443786982249,0.027970235448593995,0.0,0.0,Tier 3,"unstable, insignificant, redundant, or no holdout support"
relative_strength_rank,2w,cross_sectional,0.009405327993366576,0.009405327993366576,362,0.45382627108342494,0.6499538733624426,-0.03121471549373637,0.05002537148046952,0.21914968257034934,0.5608308605341247,0.027970235448593995,0.0,0.0,Tier 3,"unstable, insignificant, redundant, or no holdout support"
relative_strength_rank,4w,cross_sectional,0.0022986080397071123,0.0022986080397071123,360,0.08537117422687367,0.9319663091143242,-0.05047414340275509,0.05507135948216932,0.05391123156225495,0.5044776119402985,0.027970235448593995,0.0,0.0,Tier 3,"unstable, insignificant, redundant, or no holdout support"
percentile_momentum_63d,1w,cross_sectional,0.001748364997731736,0.001748364997731736,363,0.10655439329841285,0.9151425013895134,-0.03041169231644421,0.03390842231190768,0.03972291631068282,0.5325443786982249,0.018565548937694257,0.0,0.0,Tier 3,"unstable, insignificant, redundant, or no holdout support"
percentile_momentum_63d,2w,cross_sectional,0.009405327993366576,0.009405327993366576,362,0.45382627108342494,0.6499538733624426,-0.03121471549373637,0.05002537148046952,0.21914968257034934,0.5608308605341247,0.018565548937694257,0.0,0.0,Tier 3,"unstable, insignificant, redundant, or no holdout support"
