feature,horizon,bucket_type,method,mean_top_minus_bottom,positive_spread_fraction,mean_monotonicity,n_periods
trend_persistence_63d,1w,quintile,cross_sectional,0.003722085696654139,0.5399449035812672,0.022758620689655163,363
trend_persistence_63d,1w,decile,cross_sectional,-0.01176410512416905,0.5592105263157895,0.016071428571428577,152
trend_persistence_63d,2w,quintile,cross_sectional,0.0048694983990999795,0.5303867403314917,0.02344827586206896,362
trend_persistence_63d,2w,decile,cross_sectional,-0.019871264499391507,0.5197368421052632,0.0056476418318523675,152
trend_persistence_63d,4w,quintile,cross_sectional,-22.72009240602879,0.5222222222222223,-0.003103448275862067,360
trend_persistence_63d,4w,decile,cross_sectional,-0.061776763962911006,0.5394736842105263,0.028295169742538172,152
realized_volatility_30d,1w,quintile,cross_sectional,-0.009532059169882406,0.4380165289256198,-0.0980716253443526,363
realized_volatility_30d,1w,decile,cross_sectional,-0.0074022932656205905,0.4214876033057851,-0.1113448534936138,363
realized_volatility_30d,2w,quintile,cross_sectional,-0.019130168669358783,0.3701657458563536,-0.15414364640883976,362
realized_volatility_30d,2w,decile,cross_sectional,-0.02071648042010793,0.3756906077348066,-0.16055583458898373,362
realized_volatility_30d,4w,quintile,cross_sectional,39.72545066053036,0.33611111111111114,-0.21722222222222218,360
realized_volatility_30d,4w,decile,cross_sectional,79.48875052259888,0.3527777777777778,-0.20717171717171712,360
downside_volatility_30d,1w,quintile,cross_sectional,-0.015108145466704252,0.45454545454545453,-0.12975206611570247,363
downside_volatility_30d,1w,decile,cross_sectional,-0.01123269784773989,0.41046831955922863,-0.12807412972702228,363
downside_volatility_30d,2w,quintile,cross_sectional,-0.029573769734311254,0.3839779005524862,-0.18232044198895023,362
downside_volatility_30d,2w,decile,cross_sectional,-0.028625655429305553,0.39502762430939226,-0.16527708019420725,362
downside_volatility_30d,4w,quintile,cross_sectional,39.71094464138993,0.34444444444444444,-0.25166666666666665,360
downside_volatility_30d,4w,decile,cross_sectional,79.47395410676407,0.31666666666666665,-0.22515151515151513,360
upside_volatility_30d,1w,quintile,cross_sectional,-0.006835451616559545,0.4573002754820937,-0.090633608815427,363
