candidate,universe_size,rebalance_days,momentum_signal,top_k,threshold_set,risk_on_votes,neutral_policy,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure
u30_r7_momentum_21d_k5_strict_v3_reduced_momentum,30,7,momentum_21d,5,strict,3,reduced_momentum,1.18603842041319,-0.4932702170440522,0.8,1.3413775238562138,0.8539744300050223,-0.7166991380212098,23.751852109805228,0.42441334978014156
u10_r7_momentum_21d_k3_strict_v3_reduced_momentum,10,7,momentum_21d,3,strict,3,reduced_momentum,1.1850483948644142,-0.7040877821147653,0.8,1.1784466195124055,0.5154483343699223,-0.7506012726774538,17.974087004997227,0.32506363510433905
u20_r7_momentum_63d_k3_strict_v4_reduced_momentum,20,7,momentum_63d,3,strict,4,reduced_momentum,1.184662858708294,-0.6647337216159002,0.8,0.9593990887096729,0.2739722579564565,-0.35185937781034005,9.559958116180004,0.150199900049975
u10_r7_momentum_126d_k5_balanced_v3_btc_eth,10,7,momentum_126d,5,balanced,3,btc_eth,1.1838163791462408,-0.612591351927074,0.8,1.187659112438095,0.7435930723862572,-0.8281777437936306,20.58159291214674,0.6182113516338464
u10_r7_momentum_126d_k3_balanced_v3_btc_eth,10,7,momentum_126d,3,balanced,3,btc_eth,1.1825102163276453,-0.668348528101357,0.8,1.0391920227816824,0.46141684648437487,-0.7736826019602143,17.511945074609773,0.4310107805872891
u20_r7_volatility_adjusted_momentum_k10_balanced_v4_reduced_momentum,20,7,volatility_adjusted_momentum,10,balanced,4,reduced_momentum,1.181510804903016,-1.0632055816047083,0.8,1.1334391758605094,0.43092915740464743,-0.609360553803695,14.481874020470233,0.2970316098256289
u20_r14_momentum_126d_k5_balanced_v3_btc_eth,20,14,momentum_126d,5,balanced,3,btc_eth,1.1810799365593125,-0.7224040033961552,0.8,1.0567406023437265,0.6314466113076935,-0.8242407121174988,14.45574778824687,0.6035700315419386
u10_r14_momentum_21d_k5_balanced_v4_reduced_momentum,10,14,momentum_21d,5,balanced,4,reduced_momentum,1.1807599688183998,-0.9009098640888181,0.6666666666666666,0.9699314199700201,0.35285289432534506,-0.5904716472488276,9.01652019249682,0.2864750909150799
u10_r7_momentum_63d_k5_strict_v3_reduced_momentum,10,7,momentum_63d,5,strict,3,reduced_momentum,1.1802267704394562,-0.7917032012155661,0.7333333333333333,1.154708709398334,0.6327083156613797,-0.7857744356663297,18.286294921949615,0.43441498583849897
u30_r7_momentum_63d_k5_strict_v4_reduced_momentum,30,7,momentum_63d,5,strict,4,reduced_momentum,1.1800819044160031,-0.6410258316062349,0.8,1.0323531453672972,0.31107868830665364,-0.29269293111956096,10.274698139671116,0.15645965956839933
u20_r14_momentum_126d_k5_strict_v3_btc_eth,20,14,momentum_126d,5,strict,3,btc_eth,1.179021986498395,-0.6397427842720624,0.8,1.1574797221632867,0.6382336000298725,-0.6899947481969528,11.207905152220517,0.4310337150898961
u20_r14_momentum_126d_k3_strict_v4_btc_eth,20,14,momentum_126d,3,strict,4,btc_eth,1.178442107860522,-0.9079689576071682,0.6,0.8380776016013733,0.18843391113668462,-0.2791138271331519,5.286989835051297,0.16692309140049
u10_r14_momentum_21d_k3_balanced_v3_btc_eth,10,14,momentum_21d,3,balanced,3,btc_eth,1.178401850199172,-0.8882016983429902,0.7333333333333333,0.9055744403141666,0.3656149545005243,-0.7784828733068048,11.850594731828291,0.4202672918697259
u30_r14_momentum_21d_k5_strict_v4_btc_eth,30,14,momentum_21d,5,strict,4,btc_eth,1.1781663468307169,-0.8116379038267679,0.6666666666666666,0.8469570709169039,0.20917289147289853,-0.29623527904804936,5.482752421113678,0.16644433626298483
u20_r7_volatility_adjusted_momentum_k3_balanced_v3_btc_eth,20,7,volatility_adjusted_momentum,3,balanced,3,btc_eth,1.1780636221348033,-0.14783959487986523,0.8666666666666667,1.227638413516836,0.5957895828444915,-0.49025430529486613,21.987133301401016,0.43516221541797334
u20_r14_momentum_21d_k3_strict_v3_reduced_momentum,20,14,momentum_21d,3,strict,3,reduced_momentum,1.1775505373794657,-0.5940364838210677,0.8,1.2137433934614712,0.5519247207803935,-0.7204534192659322,10.909713751724357,0.31611473657592626
u20_r14_momentum_126d_k10_strict_v4_btc_eth,20,14,momentum_126d,10,strict,4,btc_eth,1.177102768688804,-0.9106129318337012,0.6666666666666666,0.8782537082399087,0.21034478375317578,-0.29668243854267096,5.442530361317553,0.18173559881547538
u20_r14_volatility_adjusted_momentum_k5_strict_v3_reduced_momentum,20,14,volatility_adjusted_momentum,5,strict,3,reduced_momentum,1.1768810662762417,-0.7279611892793049,0.8,1.1615751643487269,0.6350061316696063,-0.6014217488455742,11.703047779218295,0.4290032503761316
u20_r14_volatility_adjusted_momentum_k3_balanced_v3_btc_eth,20,14,volatility_adjusted_momentum,3,balanced,3,btc_eth,1.1760763133412282,-0.46581037407395903,0.8,1.094584423308249,0.49160410629375506,-0.63791462141283,12.947178582882792,0.4283836752669075
u10_r14_volatility_adjusted_momentum_k5_balanced_v3_btc_eth,10,14,volatility_adjusted_momentum,5,balanced,3,btc_eth,1.1749706493076424,-1.0210853914671973,0.7333333333333333,1.0210871826896848,0.5703076420697761,-0.8573901020972143,12.433359601519033,0.5988460818825815
u20_r7_momentum_126d_k10_balanced_v4_reduced_momentum,20,7,momentum_126d,10,balanced,4,reduced_momentum,1.1710385384169506,-0.8162388255171602,0.8,1.1884899758943153,0.4640117585284891,-0.5655472470182875,13.382833880678707,0.29853414066776135
u20_r14_momentum_21d_k10_balanced_v3_btc_eth,20,14,momentum_21d,10,balanced,3,btc_eth,1.1693125149365782,-1.0290522795818324,0.7333333333333333,1.1043747078815902,0.6447530198127502,-0.7766067125784751,15.055072404441647,0.602589130349194
u30_r14_momentum_21d_k10_balanced_v3_btc_eth,30,14,momentum_21d,10,balanced,3,btc_eth,1.1685851644439353,-0.9484438556762042,0.8,1.2029631636223195,0.7472915999780283,-0.749590316458684,14.974658371822759,0.5907865042983006
u10_r7_momentum_126d_k3_strict_v3_reduced_momentum,10,7,momentum_126d,3,strict,3,reduced_momentum,1.1673822136971468,-0.6783700887443445,0.8666666666666667,0.8994749098025958,0.34599773244299326,-0.7469064874356344,13.28544061302682,0.32506841817186644
u20_r14_momentum_126d_k3_strict_v3_reduced_momentum,20,14,momentum_126d,3,strict,3,reduced_momentum,1.1670685676498516,-0.3889086302728599,0.8,0.8795392770546023,0.3519662223594955,-0.7128067044587827,8.082363058236965,0.31660944419565107
