candidate,target,model,feature_set,refit_date,split,parameters,cpcv_brier,train_rows,max_train_label_end
drawdown_5__gradient_boosting__derivatives_only,drawdown_5,gradient_boosting,derivatives_only,2023-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.2553781634261135,2908,2022-12-31
drawdown_5__gradient_boosting__derivatives_only,drawdown_5,gradient_boosting,derivatives_only,2024-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.24229658545156202,3638,2023-12-31
drawdown_5__gradient_boosting__derivatives_only,drawdown_5,gradient_boosting,derivatives_only,2025-01-01,holdout,"{""n_estimators"": 75, ""max_depth"": 2}",0.22990818897609605,4370,2024-12-31
drawdown_5__boosted_tree__derivatives_only,drawdown_5,boosted_tree,derivatives_only,2021-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.24757613986730576,1448,2020-12-31
drawdown_5__boosted_tree__derivatives_only,drawdown_5,boosted_tree,derivatives_only,2022-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.24663922935724258,2178,2021-12-31
drawdown_5__boosted_tree__derivatives_only,drawdown_5,boosted_tree,derivatives_only,2023-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.25584767013788223,2908,2022-12-31
drawdown_5__boosted_tree__derivatives_only,drawdown_5,boosted_tree,derivatives_only,2024-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.24470312520861626,3638,2023-12-31
drawdown_5__boosted_tree__derivatives_only,drawdown_5,boosted_tree,derivatives_only,2025-01-01,holdout,"{""n_estimators"": 75, ""max_depth"": 2}",0.22925126552581787,4370,2024-12-31
drawdown_5__logistic__price_derivatives,drawdown_5,logistic,price_derivatives,2021-01-01,development,"{""C"": 0.1}",0.26336368884960726,1448,2020-12-31
drawdown_5__logistic__price_derivatives,drawdown_5,logistic,price_derivatives,2022-01-01,development,"{""C"": 0.1}",0.25376120134626207,2178,2021-12-31
drawdown_5__logistic__price_derivatives,drawdown_5,logistic,price_derivatives,2023-01-01,development,"{""C"": 0.1}",0.26201249017297684,2908,2022-12-31
drawdown_5__logistic__price_derivatives,drawdown_5,logistic,price_derivatives,2024-01-01,development,"{""C"": 0.1}",0.2659504813106852,3638,2023-12-31
drawdown_5__logistic__price_derivatives,drawdown_5,logistic,price_derivatives,2025-01-01,holdout,"{""C"": 0.1}",0.25628304836777865,4370,2024-12-31
drawdown_5__elastic_net__price_derivatives,drawdown_5,elastic_net,price_derivatives,2021-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.26469082524015236,1448,2020-12-31
drawdown_5__elastic_net__price_derivatives,drawdown_5,elastic_net,price_derivatives,2022-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.25315657529326996,2178,2021-12-31
drawdown_5__elastic_net__price_derivatives,drawdown_5,elastic_net,price_derivatives,2023-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.25983947589024875,2908,2022-12-31
drawdown_5__elastic_net__price_derivatives,drawdown_5,elastic_net,price_derivatives,2024-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2642399831244836,3638,2023-12-31
drawdown_5__elastic_net__price_derivatives,drawdown_5,elastic_net,price_derivatives,2025-01-01,holdout,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2551765711168372,4370,2024-12-31
