strategy,category,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month
btc_eth_relative_value,strategy,holdout,10,0.0014746466785791057,0.168222314037247,0.1461074633388743,0.004375463964634185,0.33015411223184976,-0.3370263566328777,0.18029739776951673,0.05018587360594796,0.3420074349442379,0.027,0.6579925650557621,18.317843866171003,-0.15267937819835264
btc_eth_relative_value,strategy,development,25,0.4272248808249375,0.9090958938486439,0.9536184871681292,0.8010522918231737,0.5658023024487804,-0.5333295780885727,0.24229979466119098,0.05475701574264202,0.487337440109514,0.2,0.5126625598904859,19.98631074606434,-0.14830025953575188
btc_eth_relative_value,strategy,holdout,25,-0.025828701152033062,0.08488032606335351,0.07401330339387552,-0.07466795442063033,0.3306128080652366,-0.34591413883566546,0.18029739776951673,0.05018587360594796,0.3420074349442379,0.0675,0.6579925650557621,18.317843866171003,-0.15524286303671475
btc_eth_relative_value,strategy,development,50,0.35713948560379016,0.819785309303976,0.8629816102653259,0.6291075749131543,0.5664931632105323,-0.567692235549845,0.2402464065708419,0.05475701574264202,0.487337440109514,0.4,0.5126625598904859,19.98631074606434,-0.1505985361017147
btc_eth_relative_value,strategy,holdout,50,-0.06981603165105232,-0.053448256396532126,-0.04681709840606472,-0.19366508716346112,0.33176174325641544,-0.3604988006543729,0.18029739776951673,0.05018587360594796,0.3420074349442379,0.135,0.6579925650557621,18.317843866171003,-0.15950670798183852
btc_eth_relative_value,strategy,development,100,0.22633754295313913,0.6406130458116117,0.6760475020485144,0.3509132852916946,0.56894130032749,-0.6449956511763224,0.23956194387405885,0.05475701574264202,0.487337440109514,0.8,0.5126625598904859,19.98631074606434,-0.15519508923364056
btc_eth_relative_value,strategy,holdout,100,-0.1523563379785069,-0.325864475023174,-0.28656554325708733,-0.39183406722206404,0.3354808959743462,-0.38882871787705486,0.17843866171003717,0.05018587360594796,0.3420074349442379,0.27,0.6579925650557621,18.317843866171003,-0.16800203617653497
derivatives_risk_gate,strategy,development,10,0.3481726619875145,0.8564119234637289,0.7670111394931538,0.6995855662194602,0.4888033819378661,-0.4976841701709618,0.20396988364134155,0.040383299110198494,0.4010951403148528,0.059,0.5989048596851472,14.739904175222451,-0.13841460499672986
derivatives_risk_gate,strategy,holdout,10,-0.0741985218939144,-0.14664913412866856,-0.1211384562409028,-0.23644976596949094,0.2723562771110151,-0.31380247550546625,0.1691449814126394,0.04275092936802974,0.32899628252788105,0.023,0.671003717472119,15.604089219330856,-0.14086321443507888
derivatives_risk_gate,strategy,development,25,0.31859957440869535,0.8109126200997004,0.7281312879757028,0.6401641713845385,0.4889641355062399,-0.49768417017096167,0.20396988364134155,0.040383299110198494,0.4010951403148528,0.1475,0.5989048596851472,14.739904175222451,-0.1436463373888789
derivatives_risk_gate,strategy,holdout,25,-0.09556335695061668,-0.23283379261629583,-0.19338710149472157,-0.2959519665665668,0.2720693818969334,-0.32290157777722406,0.1691449814126394,0.04275092936802974,0.32899628252788105,0.057499999999999996,0.671003717472119,15.604089219330856,-0.1434625344038668
derivatives_risk_gate,strategy,development,50,0.27065110548682925,0.7349297940108118,0.6632633808414801,0.5438210047827252,0.48937657821340513,-0.4976841701709618,0.2026009582477755,0.040383299110198494,0.4010951403148528,0.295,0.5989048596851472,14.739904175222451,-0.15231292865586787
derivatives_risk_gate,strategy,holdout,50,-0.1301491232376919,-0.3764987225331308,-0.3150694884223174,-0.38525188662491,0.27186591338607907,-0.3378286460266139,0.16728624535315986,0.04275092936802974,0.32899628252788105,0.11499999999999999,0.671003717472119,15.604089219330856,-0.14778598364310658
derivatives_risk_gate,strategy,development,100,0.17959036941521767,0.5827057495909552,0.530650001285768,0.3235839924814413,0.4907415228779135,-0.5550038740730285,0.2005475701574264,0.040383299110198494,0.4010951403148528,0.59,0.5989048596851472,14.739904175222451,-0.16944870849947946
derivatives_risk_gate,strategy,holdout,100,-0.19563981251823293,-0.6619600135176862,-0.5611252483785582,-0.5333571642066589,0.27249019805332475,-0.366808258419547,0.16728624535315986,0.04275092936802974,0.32899628252788105,0.22999999999999998,0.671003717472119,15.604089219330856,-0.1564000669638107
btc_buy_hold,benchmark,development,10,0.340882324743891,0.782380115309851,1.1251797419536826,0.4448461984715832,0.6210243749795178,-0.7662925431645936,0.4976043805612594,0.0,1.0,0.0,0.0,0.0,-0.3729069866897433
btc_buy_hold,benchmark,holdout,10,-0.21821159706853388,-0.33192186171076005,-0.46807366395507555,-0.42653704055876956,0.44404818879221286,-0.5115888570490235,0.49070631970260226,0.0,1.0,0.0,0.0,0.0,-0.17650783621446742
btc_buy_hold,benchmark,development,25,0.340882324743891,0.782380115309851,1.1251797419536826,0.4448461984715832,0.6210243749795178,-0.7662925431645936,0.4976043805612594,0.0,1.0,0.0,0.0,0.0,-0.3729069866897433
btc_buy_hold,benchmark,holdout,25,-0.21821159706853388,-0.33192186171076005,-0.46807366395507555,-0.42653704055876956,0.44404818879221286,-0.5115888570490235,0.49070631970260226,0.0,1.0,0.0,0.0,0.0,-0.17650783621446742
btc_buy_hold,benchmark,development,50,0.340882324743891,0.782380115309851,1.1251797419536826,0.4448461984715832,0.6210243749795178,-0.7662925431645936,0.4976043805612594,0.0,1.0,0.0,0.0,0.0,-0.3729069866897433
btc_buy_hold,benchmark,holdout,50,-0.21821159706853388,-0.33192186171076005,-0.46807366395507555,-0.42653704055876956,0.44404818879221286,-0.5115888570490235,0.49070631970260226,0.0,1.0,0.0,0.0,0.0,-0.17650783621446742
btc_buy_hold,benchmark,development,100,0.340882324743891,0.782380115309851,1.1251797419536826,0.4448461984715832,0.6210243749795178,-0.7662925431645936,0.4976043805612594,0.0,1.0,0.0,0.0,0.0,-0.3729069866897433
