target,model,feature_set,split,observations,positive_rate,auc,brier,precision,recall
eth_outperforms_btc,elastic_net,price_only,holdout,531,0.4312617702448211,0.5627837704965442,0.2462152739576212,0.48497854077253216,0.49344978165938863
eth_outperforms_btc,gradient_boosting,derivatives_only,development,1461,0.4620123203285421,0.4646432946941852,0.27132276616561696,0.42857142857142855,0.5155555555555555
eth_outperforms_btc,gradient_boosting,derivatives_only,holdout,531,0.4312617702448211,0.5069550883484195,0.24602325004366488,0.5,0.10480349344978165
eth_outperforms_btc,gradient_boosting,price_derivatives,development,1461,0.4620123203285421,0.4949052869663557,0.26665547345920226,0.47049924357034795,0.46074074074074073
eth_outperforms_btc,gradient_boosting,price_derivatives,holdout,531,0.4312617702448211,0.4851210272130484,0.2507565107102789,0.42857142857142855,0.13100436681222707
eth_outperforms_btc,logistic,derivatives_only,development,1461,0.4620123203285421,0.4669154650834041,0.2806288088013863,0.448871181938911,0.5007407407407407
eth_outperforms_btc,logistic,derivatives_only,holdout,531,0.4312617702448211,0.49399924809855694,0.2494246967248701,0.4639175257731959,0.1965065502183406
eth_outperforms_btc,logistic,price_derivatives,development,1461,0.4620123203285421,0.4684591461690698,0.29645181650523567,0.45,0.4666666666666667
eth_outperforms_btc,logistic,price_derivatives,holdout,531,0.4312617702448211,0.5207351282570346,0.25134052435194226,0.5194805194805194,0.34934497816593885
eth_outperforms_btc,logistic,price_only,development,1461,0.4620123203285421,0.46441805673357833,0.2701340885407784,0.4578313253012048,0.3377777777777778
eth_outperforms_btc,logistic,price_only,holdout,531,0.4312617702448211,0.5628271494259522,0.24649096833040304,0.4811715481171548,0.5021834061135371
eth_outperforms_btc,random_forest,derivatives_only,development,1461,0.4620123203285421,0.48744887381019697,0.2612567232058681,0.45721476510067116,0.8074074074074075
eth_outperforms_btc,random_forest,derivatives_only,holdout,531,0.4312617702448211,0.4669886347204951,0.25186801440129486,0.38857142857142857,0.29694323144104806
eth_outperforms_btc,random_forest,price_derivatives,development,1461,0.4620123203285421,0.5063971350485346,0.2596410050109232,0.46087786259541985,0.7155555555555555
eth_outperforms_btc,random_forest,price_derivatives,holdout,531,0.4312617702448211,0.4851499464993204,0.2516134540664858,0.43258426966292135,0.33624454148471616
risk_adjusted_sign,boosted_tree,derivatives_only,development,2922,0.5225872689938398,0.46518673436095326,0.2629657216680152,0.5146520146520146,0.7360838244924689
risk_adjusted_sign,boosted_tree,derivatives_only,holdout,1062,0.480225988700565,0.49139492753623193,0.2533383626411098,0.4845679012345679,0.9235294117647059
risk_adjusted_sign,boosted_tree,price_derivatives,development,2922,0.5225872689938398,0.4730574861571756,0.2615183800209844,0.5125164690382081,0.7642436149312377
risk_adjusted_sign,boosted_tree,price_derivatives,holdout,1062,0.480225988700565,0.5083386615515773,0.2534634682899286,0.48637015781922527,0.6647058823529411
risk_adjusted_sign,elastic_net,derivatives_only,development,2922,0.5225872689938398,0.46220644879621997,0.2673225753056467,0.5069090909090909,0.4564505566470203
risk_adjusted_sign,elastic_net,derivatives_only,holdout,1062,0.480225988700565,0.47487922705314006,0.25206872374223616,0.4222873900293255,0.2823529411764706
risk_adjusted_sign,elastic_net,price_derivatives,development,2922,0.5225872689938398,0.4846319416571017,0.26918570647831225,0.5115241635687733,0.45055664702030124
risk_adjusted_sign,elastic_net,price_derivatives,holdout,1062,0.480225988700565,0.5196433645922136,0.2509962659333363,0.49356223175965663,0.45098039215686275
risk_adjusted_sign,elastic_net,price_only,development,2922,0.5225872689938398,0.5198968155049023,0.2514276877486177,0.5509039010466222,0.3791748526522593
risk_adjusted_sign,elastic_net,price_only,holdout,1062,0.480225988700565,0.5392796248934356,0.24876907930537465,0.5178571428571429,0.4549019607843137
risk_adjusted_sign,gradient_boosting,derivatives_only,development,2922,0.5225872689938398,0.47100928801290043,0.26162356312883356,0.5211769950958538,0.7655533726260642
risk_adjusted_sign,gradient_boosting,derivatives_only,holdout,1062,0.480225988700565,0.49618499573742536,0.25439366921265644,0.4813753581661891,0.9882352941176471
risk_adjusted_sign,gradient_boosting,price_derivatives,development,2922,0.5225872689938398,0.4812864261688648,0.2617089674802763,0.5101032779524023,0.7439423706614277
risk_adjusted_sign,gradient_boosting,price_derivatives,holdout,1062,0.480225988700565,0.5048753196930946,0.25361933485337906,0.48342541436464087,0.6862745098039216
risk_adjusted_sign,logistic,derivatives_only,development,2922,0.5225872689938398,0.4642433802076365,0.2700635292539028,0.5089020771513353,0.4492468893254748
risk_adjusted_sign,logistic,derivatives_only,holdout,1062,0.480225988700565,0.4728829212844558,0.2524230085109691,0.40412979351032446,0.26862745098039215
risk_adjusted_sign,logistic,price_derivatives,development,2922,0.5225872689938398,0.48968554079144105,0.2702808400154741,0.516566265060241,0.4492468893254748
risk_adjusted_sign,logistic,price_derivatives,holdout,1062,0.480225988700565,0.5192490764421711,0.2512728297574371,0.4892703862660944,0.4470588235294118
risk_adjusted_sign,logistic,price_only,development,2922,0.5225872689938398,0.5198057427476275,0.2517688916884514,0.546875,0.389652914210871
risk_adjusted_sign,logistic,price_only,holdout,1062,0.480225988700565,0.5403914464336459,0.24873057448081168,0.5241228070175439,0.46862745098039216
risk_adjusted_sign,random_forest,derivatives_only,development,2922,0.5225872689938398,0.46171047782683505,0.25874466285558695,0.49936868686868685,0.5180091683038638
risk_adjusted_sign,random_forest,derivatives_only,holdout,1062,0.480225988700565,0.49878516624040914,0.2508803602129688,0.44976076555023925,0.1843137254901961
risk_adjusted_sign,random_forest,price_derivatives,development,2922,0.5225872689938398,0.47593590167897787,0.25719919874071134,0.5098265895953757,0.5776031434184676
risk_adjusted_sign,random_forest,price_derivatives,holdout,1062,0.480225988700565,0.5077969593634555,0.25062534841578005,0.4985835694050991,0.34509803921568627
volatility_expansion,boosted_tree,derivatives_only,development,2922,0.48494182067077346,0.5392983163625366,0.2520711382758746,0.5218080888183981,0.4643613267466479
volatility_expansion,boosted_tree,derivatives_only,holdout,1062,0.4971751412429379,0.5934981840880718,0.24535312000952927,0.5849056603773585,0.4696969696969697
volatility_expansion,boosted_tree,price_derivatives,development,2922,0.48494182067077346,0.7266999908561674,0.21113792631467732,0.6297640653357531,0.7346506704304869
volatility_expansion,boosted_tree,price_derivatives,holdout,1062,0.4971751412429379,0.7323888463284531,0.21064915158493142,0.6614035087719298,0.7140151515151515
volatility_expansion,elastic_net,derivatives_only,development,2922,0.48494182067077346,0.5358159229292151,0.25663371548597674,0.5139935414424112,0.6739590684544813
volatility_expansion,elastic_net,derivatives_only,holdout,1062,0.4971751412429379,0.529937719895585,0.24914385763218821,0.5188284518828452,0.4696969696969697
volatility_expansion,elastic_net,price_derivatives,development,2922,0.48494182067077346,0.7202540578687369,0.2190847074520152,0.61345496009122,0.7593507410021172
volatility_expansion,elastic_net,price_derivatives,holdout,1062,0.4971751412429379,0.7248325956191124,0.21147850973199142,0.6523972602739726,0.7215909090909091
volatility_expansion,elastic_net,price_only,development,2922,0.48494182067077346,0.7231650790003681,0.21348125926161612,0.6248415716096325,0.6958362738179252
volatility_expansion,elastic_net,price_only,holdout,1062,0.4971751412429379,0.7333695097037792,0.20877878228848018,0.634493670886076,0.759469696969697
volatility_expansion,gradient_boosting,derivatives_only,development,2922,0.48494182067077346,0.5389820335414532,0.2528504007619968,0.5145631067961165,0.4488355681016232
volatility_expansion,gradient_boosting,derivatives_only,holdout,1062,0.4971751412429379,0.5786481386902735,0.24703563409823234,0.576271186440678,0.38636363636363635
volatility_expansion,gradient_boosting,price_derivatives,development,2922,0.48494182067077346,0.7258310923128504,0.2112941878308653,0.627190332326284,0.7325335215243473
volatility_expansion,gradient_boosting,price_derivatives,holdout,1062,0.4971751412429379,0.7305534275337646,0.21057830748310252,0.6631016042780749,0.7045454545454546
volatility_expansion,logistic,derivatives_only,development,2922,0.48494182067077346,0.5331492062450032,0.25747604538323887,0.5146290491118077,0.6951305575158786
volatility_expansion,logistic,derivatives_only,holdout,1062,0.4971751412429379,0.5226244183407105,0.24977956549114813,0.5145228215767634,0.4696969696969697
