candidate,overlay_type,fold,test_groups,fold_sharpe
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,1,"0,2",-0.1995033174971581
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,2,"0,3",1.1160907548179722
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,3,"0,4",0.8491722487916956
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,4,"0,5",0.7198714899893549
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,5,"1,2",-0.09970814172109606
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,6,"1,3",1.4468026206569229
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,7,"1,4",1.4104399423727811
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,8,"1,5",1.2047465028811748
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,9,"2,3",-0.2396417995410892
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,10,"2,4",-1.1540931632184364
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,11,"2,5",-1.2736211823442574
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,12,"3,4",0.8793484426944903
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,13,"3,5",0.737899967890729
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,14,"4,5",0.1518674147154542
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,0,"0,1",1.3767044951843024
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,1,"0,2",-0.2063201922887818
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,2,"0,3",1.108000447025472
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,3,"0,4",0.8349964101216891
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,4,"0,5",0.7146076594745265
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,5,"1,2",-0.13066899504236382
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,6,"1,3",1.4422186614619592
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,7,"1,4",1.4052380718148711
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,8,"1,5",1.2035630159365536
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,9,"2,3",-0.24805581140337515
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,10,"2,4",-1.1457120488647963
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,11,"2,5",-1.2527469153241346
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,12,"3,4",0.8831287040352565
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,13,"3,5",0.7480604137934486
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,14,"4,5",0.1764429020002268
expansion_sizing_t60_7d,expansion_probability_sizing,0,"0,1",0.9517750434955777
expansion_sizing_t60_7d,expansion_probability_sizing,1,"0,2",-0.15409255233833424
expansion_sizing_t60_7d,expansion_probability_sizing,2,"0,3",0.8127354952175743
expansion_sizing_t60_7d,expansion_probability_sizing,3,"0,4",0.5409722041078471
expansion_sizing_t60_7d,expansion_probability_sizing,4,"0,5",0.43882016283881337
expansion_sizing_t60_7d,expansion_probability_sizing,5,"1,2",0.0024318337194861707
expansion_sizing_t60_7d,expansion_probability_sizing,6,"1,3",1.154504891822223
expansion_sizing_t60_7d,expansion_probability_sizing,7,"1,4",1.175594348683977
expansion_sizing_t60_7d,expansion_probability_sizing,8,"1,5",0.9759254585692148
expansion_sizing_t60_7d,expansion_probability_sizing,9,"2,3",0.016188111562813055
expansion_sizing_t60_7d,expansion_probability_sizing,10,"2,4",-0.8435042791402043
expansion_sizing_t60_7d,expansion_probability_sizing,11,"2,5",-0.9477290446289917
expansion_sizing_t60_7d,expansion_probability_sizing,12,"3,4",0.7685332771933104
expansion_sizing_t60_7d,expansion_probability_sizing,13,"3,5",0.6583175446755276
expansion_sizing_t60_7d,expansion_probability_sizing,14,"4,5",0.25449552432491207
expansion_filter_t60_7d,expansion_threshold_filter,0,"0,1",1.374763111341982
expansion_filter_t60_7d,expansion_threshold_filter,1,"0,2",-0.2380318454448345
expansion_filter_t60_7d,expansion_threshold_filter,2,"0,3",1.520966988114496
expansion_filter_t60_7d,expansion_threshold_filter,3,"0,4",0.9480228009686817
expansion_filter_t60_7d,expansion_threshold_filter,4,"0,5",0.9757959931452584
expansion_filter_t60_7d,expansion_threshold_filter,5,"1,2",-0.34614389501619997
expansion_filter_t60_7d,expansion_threshold_filter,6,"1,3",1.5384433062777412
expansion_filter_t60_7d,expansion_threshold_filter,7,"1,4",1.0581617071418408
expansion_filter_t60_7d,expansion_threshold_filter,8,"1,5",1.0808576893343254
expansion_filter_t60_7d,expansion_threshold_filter,9,"2,3",0.44504284077427503
expansion_filter_t60_7d,expansion_threshold_filter,10,"2,4",-1.3297080711373244
expansion_filter_t60_7d,expansion_threshold_filter,11,"2,5",-1.2329603544869239
expansion_filter_t60_7d,expansion_threshold_filter,12,"3,4",1.228562161106734
expansion_filter_t60_7d,expansion_threshold_filter,13,"3,5",1.2485477776892704
expansion_filter_t60_7d,expansion_threshold_filter,14,"4,5",0.39491258199297063
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,0,"0,1",0.9682882397546313
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,1,"0,2",-0.1439925961308362
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,2,"0,3",0.8091657793327793
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,3,"0,4",0.5415883769799889
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,4,"0,5",0.41396375123898627
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,5,"1,2",0.02250954095216024
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,6,"1,3",1.1774760514758669
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,7,"1,4",1.2372002712937855
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,8,"1,5",0.9849735698807458
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,9,"2,3",0.012944206285395186
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,10,"2,4",-0.8482716127110088
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,11,"2,5",-0.9986707205853786
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,12,"3,4",0.7670788989072636
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,13,"3,5",0.6278475984815413
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,14,"4,5",0.15456778565527157
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,0,"0,1",0.9547493428875972
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,1,"0,2",-0.12832990116603762
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,2,"0,3",0.8265239837250602
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,3,"0,4",0.5500282654254992
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,4,"0,5",0.4395080545389367
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,5,"1,2",0.014758036160717825
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,6,"1,3",1.1792100823334475
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,7,"1,4",1.2177650267375404
