config,model,feature,importance,method
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,cross_sectional_dispersion,-0.31611545756305093,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,vix_change_5d,-0.2745365240643396,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,tvl_growth_30d,0.2606641746458786,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,equity_realized_vol_21d,-0.22650080532698116,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,volatility_expansion_probability,0.0834900171662687,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_change_7d,0.06670856555724645,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,vix_change_21d,0.05660326873344946,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,equity_momentum_21d,-0.053302175783452595,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,vix_level,0.0,coefficient
eth_leads_btc_30d_gt_5__random_forest,random_forest,volatility_4h_7d,0.20861099706129949,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,volatility_expansion_probability,0.1146346298650808,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,tvl_growth_30d,0.11281045354535371,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,dow_vol_level,0.10880781771753345,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,vix_level,0.08468094402573033,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,equity_realized_vol_21d,0.07651400015803739,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,vix_change_5d,0.06924089602661591,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,stablecoin_supply_change_7d,0.06815037937497778,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,cross_sectional_dispersion,0.0622655432645431,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,equity_momentum_21d,0.04998504562354354,model_importance
eth_leads_btc_30d_gt_5__random_forest,random_forest,vix_change_21d,0.04429929333728452,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,dow_vol_level,0.22153577171793903,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,volatility_4h_7d,0.17530849804629425,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,cross_sectional_dispersion,0.0970920950717645,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,vix_change_21d,0.09224032290611486,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,vix_level,0.0874658340718053,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,vix_change_5d,0.08431242838427001,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,tvl_growth_30d,0.07756977807476403,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,equity_realized_vol_21d,0.07522488248276209,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,stablecoin_supply_change_7d,0.05207929474497312,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,volatility_expansion_probability,0.028867117317565527,model_importance
eth_leads_btc_30d_gt_5__gradient_boosting,gradient_boosting,equity_momentum_21d,0.008303977181747253,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,volatility_4h_7d,0.11618011444807053,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,dow_vol_level,0.1077037826180458,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,vix_level,0.10531944781541824,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,tvl_growth_30d,0.09556898474693298,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,volatility_expansion_probability,0.08677060902118683,model_importance
eth_leads_btc_30d_gt_5__xgboost,xgboost,vix_change_21d,0.0861990675330162,model_importance
