name,family,benchmark_group,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,expansion_threshold,leadership_threshold,rebalance_days
expansion_sizing_t50_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,development,100,False,0.014127250196061869,0.28396723367817106,0.2598084320719458,0.018349678626888067,0.4776488265502807,-0.7698908783808884,0.33278598795840175,0.02983032293377121,0.46551724137931033,0.545,0.5344827586206897,10.888067870826491,-0.4371185082202741,0.3834956561868905,1.2720306513409962,0.5,0.4,7
expansion_sizing_t50_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,holdout,100,False,0.12176596871219791,0.5685664276010932,0.7075495387360953,0.608091416801761,0.2598335050167295,-0.20024286702256455,0.2174721189591078,0.03066914498141264,0.27648698884758366,0.165,0.7235130111524164,11.194237918215613,-0.0672351349098701,0.22367043183797386,0.8587360594795539,0.5,0.4,7
expansion_filter_t50_7d,Macro gate plus expansion threshold filter.,expansion_threshold_filter,development,10,False,0.045176043696707024,0.32063024999773665,0.20583548529948226,0.08721116835543036,0.3123817375288189,-0.518007550507653,0.22714833059660647,0.023809523809523808,0.19827586206896552,0.0435,0.8017241379310345,8.69047619047619,-0.38062021751761155,0.37453866418039716,0.8735632183908046,0.5,0.4,7
expansion_filter_t50_7d,Macro gate plus expansion threshold filter.,expansion_threshold_filter,holdout,10,False,0.3121540645437064,1.6024178735077024,2.67461372783885,4.4377148703177385,0.1790688702603786,-0.07034117190169009,0.13011152416356878,0.016728624535315983,0.1171003717472119,0.009000000000000001,0.8828996282527881,6.105947955390334,-0.014842677715224073,0.2265497221583963,0.4944237918215613,0.5,0.4,7
expansion_filter_t50_7d,Macro gate plus expansion threshold filter.,expansion_threshold_filter,development,25,False,0.031699752021240535,0.27909024376820385,0.1793207658526879,0.06119554047074109,0.31216899285536415,-0.5180075505076529,0.22660098522167488,0.023809523809523808,0.19827586206896552,0.10875000000000001,0.8017241379310345,8.69047619047619,-0.3821192099329416,0.3730958211543367,0.8735632183908046,0.5,0.4,7
expansion_filter_t50_7d,Macro gate plus expansion threshold filter.,expansion_threshold_filter,holdout,25,False,0.3001996344578306,1.551272332187006,2.623032421974069,4.267765610692317,0.17906864616695173,-0.07034117190169031,0.12825278810408922,0.016728624535315983,0.1171003717472119,0.022500000000000003,0.8828996282527881,6.105947955390334,-0.016327736359813994,0.22378541549511533,0.4944237918215613,0.5,0.4,7
expansion_filter_t50_7d,Macro gate plus expansion threshold filter.,expansion_threshold_filter,development,50,False,0.00959907859636644,0.20967896829267338,0.134829540574529,0.018530769651830828,0.3118916998170527,-0.5180075505076529,0.2260536398467433,0.023809523809523808,0.19827586206896552,0.21750000000000003,0.8017241379310345,8.69047619047619,-0.3846118007628261,0.3706910827775687,0.8735632183908046,0.5,0.4,7
expansion_filter_t50_7d,Macro gate plus expansion threshold filter.,expansion_threshold_filter,holdout,50,False,0.28049597876053345,1.4652959477935883,2.5230967610446267,3.9172418103059257,0.17915791473237694,-0.07160547965728659,0.12825278810408922,0.016728624535315983,0.1171003717472119,0.045000000000000005,0.8828996282527881,6.105947955390334,-0.018800344919206236,0.21918516770902174,0.4944237918215613,0.5,0.4,7
expansion_filter_t50_7d,Macro gate plus expansion threshold filter.,expansion_threshold_filter,development,100,False,-0.03328300881986157,0.0704197556093093,0.045400344142317195,-0.06425197622552774,0.31162773421221257,-0.5180075505076529,0.22441160372194854,0.023809523809523808,0.19827586206896552,0.43500000000000005,0.8017241379310345,8.69047619047619,-0.38957554198229427,0.3658816060240344,0.8735632183908046,0.5,0.4,7
expansion_filter_t50_7d,Macro gate plus expansion threshold filter.,expansion_threshold_filter,holdout,100,False,0.2419027568014116,1.2911859223511946,2.254330229838507,2.6853964757627353,0.17967174415370507,-0.09008083498460084,0.12825278810408922,0.016728624535315983,0.1171003717472119,0.09000000000000001,0.8828996282527881,6.105947955390334,-0.02373622760702676,0.2100106595844895,0.4944237918215613,0.5,0.4,7
expansion_sizing_eth_tilt_e50_l40_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,development,10,False,0.12118129211617368,0.4948500855203664,0.4562213023655528,0.1666025033906703,0.502576225551471,-0.7273677744926359,0.3333333333333333,0.032238642583470166,0.46551724137931033,0.058899999999999994,0.5344827586206897,11.767104542966612,-0.4352033772128473,0.4431568401158341,1.2720306513409962,0.5,0.4,7
expansion_sizing_eth_tilt_e50_l40_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,holdout,10,False,0.30767613688023476,1.061362568805799,1.3762768252139703,1.7122029837841297,0.29129231342332007,-0.17969606395629656,0.22676579925650558,0.0328996282527881,0.27648698884758366,0.0177,0.7235130111524164,12.008364312267657,-0.061623693246880884,0.30796169330434564,0.8587360594795539,0.5,0.4,7
expansion_sizing_eth_tilt_e50_l40_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,development,25,False,0.10156828336339552,0.4597373059414035,0.4245042622643202,0.13806430586734544,0.5025679412878606,-0.735659247517487,0.33278598795840175,0.032238642583470166,0.46551724137931033,0.14725,0.5344827586206897,11.767104542966612,-0.43603584637947324,0.4431568401158341,1.2720306513409962,0.5,0.4,7
