target,model,fold,test_groups,fold_start,fold_end,positive_rate,model_config
target_d_future_drawdown_gt_25,logistic_regression,5,1-2,2020-06-05,2022-04-01,0.3645833333333333,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,logistic_regression,6,1-3,2020-06-05,2023-03-03,0.40625,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,logistic_regression,7,1-4,2020-06-05,2024-02-02,0.0208333333333333,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,logistic_regression,8,1-5,2020-06-05,2024-12-27,0.1263157894736842,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,logistic_regression,9,2-3,2021-05-07,2023-03-03,0.7291666666666666,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,logistic_regression,10,2-4,2021-05-07,2024-02-02,0.34375,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,logistic_regression,11,2-5,2021-05-07,2024-12-27,0.4526315789473684,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,logistic_regression,12,3-4,2022-04-08,2024-02-02,0.3854166666666667,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,logistic_regression,13,3-5,2022-04-08,2024-12-27,0.4947368421052631,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,logistic_regression,14,4-5,2023-03-10,2024-12-27,0.1052631578947368,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,elastic_net_logistic,0,0-1,2019-07-05,2021-04-30,0.4375,target_d_future_drawdown_gt_25__elastic_net_logistic
target_d_future_drawdown_gt_25,elastic_net_logistic,1,0-2,2019-07-05,2022-04-01,0.7604166666666666,target_d_future_drawdown_gt_25__elastic_net_logistic
