feature,importance,abs_importance,target,model,model_config
BTC_rv_63d,0.0043139603814761,0.0043139603814761,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
trend_4h_14d_btc_eth_avg,0.0040975898745297,0.0040975898745297,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
ETH_rv_percentile,-1.8710350176245976,1.8710350176245976,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
ETH_below_200dma,1.5527624933434734,1.5527624933434734,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
stablecoin_supply_change_7d,-1.468504599954661,1.468504599954661,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
yield_curve_slope_change_21d,-1.3560711691232905,1.3560711691232905,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
ETH_below_100dma,-1.2209316999255695,1.2209316999255695,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
eth_btc_relative_weakness_63d,-1.19658606731084,1.19658606731084,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
BTC_rv_63d,1.0835332461550702,1.0835332461550702,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
BTC_below_200dma,1.027917208098126,1.027917208098126,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
BTC_below_100dma,-0.9255281887103016,0.9255281887103016,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
volume_shock_4h_btc_eth_avg,0.8686629016413432,0.8686629016413432,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
BTC_rv_acceleration,-0.8583738601035722,0.8583738601035722,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
usd_trend_21d,0.8092957873598099,0.8092957873598099,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
funding_level,0.7082768831524573,0.7082768831524573,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
funding_sum_7d,0.7081145170597958,0.7081145170597958,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
ETH_drawdown_from_90d_high,0.707693189932504,0.707693189932504,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
ETH_downside_semivariance_21d,-0.6221617130425168,0.6221617130425168,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
credit_spread_level,-0.6134736969113687,0.6134736969113687,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
rates_10y_change_21d,0.5849462896183706,0.5849462896183706,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
ETH_failed_breakout,0.5819913192197115,0.5819913192197115,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
BTC_failed_breakout,0.5794368902536794,0.5794368902536794,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
BTC_momentum_63d,-0.5758011794146788,0.5758011794146788,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
stablecoin_supply_change_30d,0.5691845646729584,0.5691845646729584,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
BTC_momentum_126d,-0.5526381546037773,0.5526381546037773,target_b_60d_loss_gt_30,logistic_regression,target_b_60d_loss_gt_30__logistic_regression
