fee_scenario,capital_eur,leverage,volume_multiple,duration_months,total_cost_eur,breakeven_airdrop_eur,breakeven_as_multiple_of_capital
typical_pair (Pacifica+StandX),500.0,2,100,3,302.05,302.05,0.604
typical_pair (Pacifica+StandX),500.0,2,100,6,591.1,591.1,1.182
typical_pair (Pacifica+StandX),500.0,2,100,12,1169.2,1169.2,2.338
typical_pair (Pacifica+StandX),500.0,2,250,1,214.35,214.35,0.429
typical_pair (Pacifica+StandX),500.0,2,250,3,617.05,617.05,1.234
typical_pair (Pacifica+StandX),500.0,2,250,6,1221.1,1221.1,2.442
typical_pair (Pacifica+StandX),500.0,2,250,12,2429.2,2429.2,4.858
typical_pair (Pacifica+StandX),500.0,3,10,1,46.85,46.85,0.094
typical_pair (Pacifica+StandX),500.0,3,10,3,114.55,114.55,0.229
typical_pair (Pacifica+StandX),500.0,3,10,6,216.1,216.1,0.432
typical_pair (Pacifica+StandX),500.0,3,10,12,419.2,419.2,0.838
typical_pair (Pacifica+StandX),500.0,3,25,1,57.35,57.35,0.115
typical_pair (Pacifica+StandX),500.0,3,25,3,146.05,146.05,0.292
typical_pair (Pacifica+StandX),500.0,3,25,6,279.1,279.1,0.558
typical_pair (Pacifica+StandX),500.0,3,25,12,545.2,545.2,1.09
typical_pair (Pacifica+StandX),500.0,3,50,1,74.85,74.85,0.15
typical_pair (Pacifica+StandX),500.0,3,50,3,198.55,198.55,0.397
typical_pair (Pacifica+StandX),500.0,3,50,6,384.1,384.1,0.768
typical_pair (Pacifica+StandX),500.0,3,50,12,755.2,755.2,1.51
typical_pair (Pacifica+StandX),500.0,3,100,1,109.85,109.85,0.22
typical_pair (Pacifica+StandX),500.0,3,100,3,303.55,303.55,0.607
typical_pair (Pacifica+StandX),500.0,3,100,6,594.1,594.1,1.188
typical_pair (Pacifica+StandX),500.0,3,100,12,1175.2,1175.2,2.35
typical_pair (Pacifica+StandX),500.0,3,250,1,214.85,214.85,0.43
typical_pair (Pacifica+StandX),500.0,3,250,3,618.55,618.55,1.237
typical_pair (Pacifica+StandX),500.0,3,250,6,1224.1,1224.1,2.448
typical_pair (Pacifica+StandX),500.0,3,250,12,2435.2,2435.2,4.87
typical_pair (Pacifica+StandX),1000.0,1,10,1,55.68,55.68,0.056
