date,forward_btc_7d,forward_eth_7d,forward_btc_eth_50_50_7d,target_btc_weight,target_eth_weight,target_exposure,target_cash_weight,macro_regime,selected_forward_return_7d
2022-08-05,0.04681024106463427,0.12751538740564605,0.08716281423514016,0.5,0.5,1.0,0.0,risk_on,0.11303097007859186
2022-08-12,-0.1462603181159563,-0.1783554956390302,-0.16230790687749325,0.5,0.5,1.0,0.0,risk_on,-0.024386786027217555
2022-08-19,-0.028478875551432026,-0.06266586285977083,-0.045572369205601426,0.5,0.5,1.0,0.0,risk_on,-0.07583975271570564
2022-08-26,-0.014287302289159864,0.04453712421594225,0.015124910963391192,0.25,0.25,0.5,0.5,neutral,-0.07578950681635144
2022-09-02,0.0705823918171038,0.09069730536071363,0.08063984858890871,0.25,0.25,0.5,0.5,neutral,-0.0020899231869341284
2022-09-09,-0.07288398795699091,-0.1654784283826961,-0.11918120816984351,0.5,0.5,1.0,0.0,risk_on,-0.07588038383144313
2022-09-16,-0.02592446713426544,-0.07437757165771675,-0.05015101939599109,0.25,0.25,0.5,0.5,neutral,-0.034163145476337364
2022-09-23,0.006879244122963701,0.0011075532115276676,0.0039933986672456845,0.25,0.25,0.5,0.5,neutral,0.00437490776012206
2022-09-30,0.005533756791697986,0.0017911975435003225,0.003662477167599154,0.25,0.25,0.5,0.5,neutral,0.008110202195559912
2022-10-07,-0.018082865977576135,-0.026166328600405575,-0.022124597288990855,0.5,0.5,1.0,0.0,risk_on,-0.03082524155171995
2022-10-14,-0.0006549536343930518,0.002684625888125236,0.0010148361268660921,0.25,0.25,0.5,0.5,neutral,-0.00702755541439537
2022-10-21,0.07448562097266964,0.19592998653587235,0.135207803754271,0.5,0.5,1.0,0.0,risk_on,0.11533778758798108
2022-10-28,0.027034009588264185,0.05813781434756593,0.04258591196791506,0.5,0.5,1.0,0.0,risk_on,0.0036378072652103466
2022-11-04,-0.19283666185624337,-0.21613832853025938,-0.20448749519325138,0.5,0.5,1.0,0.0,risk_on,-0.1391397243863186
2022-11-11,-0.021666859008418693,-0.059490568379250486,-0.04057871369383459,0.5,0.5,1.0,0.0,risk_on,-0.06379372953495765
2022-11-18,-0.010676957806526222,-0.01095185472298732,-0.01081440626475677,0.5,0.5,1.0,0.0,risk_on,-0.0011753445079037972
2022-11-25,0.034535477849721774,0.08028850162594847,0.05741198973783512,0.5,0.5,1.0,0.0,risk_on,0.041591160645108705
2022-12-02,0.0020956265642606553,-0.02507737787417319,-0.011490875654956267,0.5,0.5,1.0,0.0,risk_on,0.008976961794103788
2022-12-09,-0.02898317196541933,-0.07621724329031743,-0.05260020762786838,0.5,0.5,1.0,0.0,risk_on,-0.0014983400338761665
