date,feature,value,threshold,rule,favorable
2019-02-09,equity_realized_vol_21d,0.1248384216673697,0.1406289261638587,>=,False
2019-02-09,equity_momentum_21d,0.0139176473671795,0.0157027249562728,>=,False
2019-02-09,dow_vol_level,15.84,17.84,>=,False
2019-02-09,vix_level,15.72,19.54,>=,False
2019-02-09,vix_change_5d,-0.4199999999999999,-0.1600000000000001,<=,True
2019-02-09,vix_change_21d,-2.08,-0.1799999999999997,<=,True
2019-02-10,equity_realized_vol_21d,0.1199821908034688,0.1406289261638587,>=,False
2019-02-10,equity_momentum_21d,0.0139176473671795,0.0157027249562728,>=,False
2019-02-10,dow_vol_level,15.84,17.84,>=,False
2019-02-10,vix_level,15.72,19.54,>=,False
2019-02-10,vix_change_5d,-0.0099999999999997,-0.1600000000000001,<=,False
2019-02-10,vix_change_21d,-2.08,-0.1799999999999997,<=,True
2019-02-11,equity_realized_vol_21d,0.114101317419213,0.1406289261638587,>=,False
2019-02-11,equity_momentum_21d,0.0139176473671795,0.0157027249562728,>=,False
2019-02-11,dow_vol_level,15.84,17.84,>=,False
2019-02-11,vix_level,15.72,19.54,>=,False
2019-02-11,vix_change_5d,0.1500000000000003,-0.1600000000000001,<=,False
2019-02-11,vix_change_21d,-2.08,-0.1799999999999997,<=,True
2019-02-12,equity_realized_vol_21d,0.107023235368774,0.1406289261638587,>=,False
2019-02-12,equity_momentum_21d,0.0146365573199636,0.0157027249562728,>=,False
2019-02-12,dow_vol_level,16.02,17.84,>=,False
2019-02-12,vix_level,15.97,19.54,>=,False
2019-02-12,vix_change_5d,0.5899999999999999,-0.1600000000000001,<=,False
2019-02-12,vix_change_21d,-1.83,-0.1799999999999997,<=,True
2019-02-13,equity_realized_vol_21d,0.0971856551884073,0.1406289261638587,>=,False
2019-02-13,equity_momentum_21d,0.0424740780128374,0.0157027249562728,>=,True
2019-02-13,dow_vol_level,15.29,17.84,>=,False
2019-02-13,vix_level,15.43,19.54,>=,False
2019-02-13,vix_change_5d,-0.9400000000000012,-0.1600000000000001,<=,True
2019-02-13,vix_change_21d,-5.370000000000001,-0.1799999999999997,<=,True
2019-02-14,equity_realized_vol_21d,0.0971469077778598,0.1406289261638587,>=,False
2019-02-14,equity_momentum_21d,0.0433281540152348,0.0157027249562728,>=,True
2019-02-14,dow_vol_level,15.56,17.84,>=,False
2019-02-14,vix_level,15.65,19.54,>=,False
2019-02-14,vix_change_5d,-0.0700000000000002,-0.1600000000000001,<=,False
2019-02-14,vix_change_21d,-3.869999999999999,-0.1799999999999997,<=,True
2019-02-15,equity_realized_vol_21d,0.0989785819074006,0.1406289261638587,>=,False
2019-02-15,equity_momentum_21d,0.0391321295977413,0.0157027249562728,>=,True
2019-02-15,dow_vol_level,15.82,17.84,>=,False
2019-02-15,vix_level,16.22,19.54,>=,False
2019-02-15,vix_change_5d,0.4999999999999982,-0.1600000000000001,<=,False
2019-02-15,vix_change_21d,-2.6700000000000017,-0.1799999999999997,<=,True
2019-02-16,equity_realized_vol_21d,0.1010328132657901,0.1406289261638587,>=,False
2019-02-16,equity_momentum_21d,0.0415947402392709,0.0157027249562728,>=,True
2019-02-16,dow_vol_level,14.9,17.84,>=,False
2019-02-16,vix_level,14.91,19.54,>=,False
2019-02-16,vix_change_5d,-0.8100000000000005,-0.1600000000000001,<=,True
2019-02-16,vix_change_21d,-2.5100000000000016,-0.1799999999999997,<=,True
2019-02-17,equity_realized_vol_21d,0.1030128366583505,0.1406289261638587,>=,False
2019-02-17,equity_momentum_21d,0.0415947402392709,0.0157027249562728,>=,True
2019-02-17,dow_vol_level,14.9,17.84,>=,False
2019-02-17,vix_level,14.91,19.54,>=,False
2019-02-17,vix_change_5d,-1.0600000000000005,-0.1600000000000001,<=,True
2019-02-17,vix_change_21d,-2.5100000000000016,-0.1799999999999997,<=,True
2019-02-18,equity_realized_vol_21d,0.1049228533561683,0.1406289261638587,>=,False
2019-02-18,equity_momentum_21d,0.0415947402392709,0.0157027249562728,>=,True
2019-02-18,dow_vol_level,14.9,17.84,>=,False
2019-02-18,vix_level,14.91,19.54,>=,False
2019-02-18,vix_change_5d,-0.5199999999999996,-0.1600000000000001,<=,True
2019-02-18,vix_change_21d,-2.5100000000000016,-0.1799999999999997,<=,True
2019-02-19,equity_realized_vol_21d,0.1001445256077436,0.1406289261638587,>=,False
2019-02-19,equity_momentum_21d,0.0498326304442384,0.0157027249562728,>=,True
2019-02-19,dow_vol_level,14.9,17.84,>=,False
2019-02-19,vix_level,14.91,19.54,>=,False
2019-02-19,vix_change_5d,-0.7400000000000002,-0.1600000000000001,<=,True
2019-02-19,vix_change_21d,-3.960000000000001,-0.1799999999999997,<=,True
2019-02-20,equity_realized_vol_21d,0.0986132307715349,0.1406289261638587,>=,False
2019-02-20,equity_momentum_21d,0.052939393939394,0.0157027249562728,>=,True
2019-02-20,dow_vol_level,15.12,17.84,>=,False
2019-02-20,vix_level,14.88,19.54,>=,False
2019-02-20,vix_change_5d,-1.339999999999998,-0.1600000000000001,<=,True
2019-02-20,vix_change_21d,-4.249999999999998,-0.1799999999999997,<=,True
2019-02-21,equity_realized_vol_21d,0.0897473848621786,0.1406289261638587,>=,False
2019-02-21,equity_momentum_21d,0.0386602264038342,0.0157027249562728,>=,True
2019-02-21,dow_vol_level,14.5,17.84,>=,False
2019-02-21,vix_level,14.02,19.54,>=,False
2019-02-21,vix_change_5d,-0.8900000000000006,-0.1600000000000001,<=,True
2019-02-21,vix_change_21d,-3.640000000000001,-0.1799999999999997,<=,True
2019-02-22,equity_realized_vol_21d,0.0909294584015544,0.1406289261638587,>=,False
2019-02-22,equity_momentum_21d,0.0261750674901077,0.0157027249562728,>=,True
2019-02-22,dow_vol_level,14.53,17.84,>=,False
2019-02-22,vix_level,14.46,19.54,>=,False
2019-02-22,vix_change_5d,-0.4499999999999993,-0.1600000000000001,<=,True
2019-02-22,vix_change_21d,-2.1099999999999994,-0.1799999999999997,<=,True
2019-02-23,equity_realized_vol_21d,0.091369718916061,0.1406289261638587,>=,False
2019-02-23,equity_momentum_21d,0.0318267301674097,0.0157027249562728,>=,True
2019-02-23,dow_vol_level,14.11,17.84,>=,False
2019-02-23,vix_level,13.51,19.54,>=,False
2019-02-23,vix_change_5d,-1.4000000000000004,-0.1600000000000001,<=,True
2019-02-23,vix_change_21d,-2.630000000000001,-0.1799999999999997,<=,True
2019-02-24,equity_realized_vol_21d,0.0916090939350456,0.1406289261638587,>=,False
2019-02-24,equity_momentum_21d,0.0318267301674097,0.0157027249562728,>=,True
2019-02-24,dow_vol_level,14.11,17.84,>=,False
2019-02-24,vix_level,13.51,19.54,>=,False
2019-02-24,vix_change_5d,-1.4000000000000004,-0.1600000000000001,<=,True
2019-02-24,vix_change_21d,-2.630000000000001,-0.1799999999999997,<=,True
2019-02-25,equity_realized_vol_21d,0.0916491575280428,0.1406289261638587,>=,False
2019-02-25,equity_momentum_21d,0.0318267301674097,0.0157027249562728,>=,True
2019-02-25,dow_vol_level,14.11,17.84,>=,False
2019-02-25,vix_level,13.51,19.54,>=,False
2019-02-25,vix_change_5d,-1.370000000000001,-0.1600000000000001,<=,True
2019-02-25,vix_change_21d,-2.630000000000001,-0.1799999999999997,<=,True
2019-02-26,equity_realized_vol_21d,0.0913417683844582,0.1406289261638587,>=,False
2019-02-26,equity_momentum_21d,0.0261443665202376,0.0157027249562728,>=,True
2019-02-26,dow_vol_level,15.02,17.84,>=,False
2019-02-26,vix_level,14.85,19.54,>=,False
2019-02-26,vix_change_5d,0.8300000000000001,-0.1600000000000001,<=,False
2019-02-26,vix_change_21d,-0.8800000000000008,-0.1799999999999997,<=,True
2019-02-27,equity_realized_vol_21d,0.0923820573812903,0.1406289261638587,>=,False
2019-02-27,equity_momentum_21d,0.020528180589546,0.0157027249562728,>=,True
2019-02-27,dow_vol_level,15.19,17.84,>=,False
2019-02-27,vix_level,15.17,19.54,>=,False
2019-02-27,vix_change_5d,0.7099999999999991,-0.1600000000000001,<=,False
2019-02-27,vix_change_21d,-0.4000000000000003,-0.1799999999999997,<=,True
2019-02-28,equity_realized_vol_21d,0.0913146336465301,0.1406289261638587,>=,False
2019-02-28,equity_momentum_21d,0.0222469532619957,0.0157027249562728,>=,True
2019-02-28,dow_vol_level,14.8,17.84,>=,False
2019-02-28,vix_level,14.7,19.54,>=,False
2019-02-28,vix_change_5d,1.1899999999999995,-0.1600000000000001,<=,False
2019-02-28,vix_change_21d,-0.6800000000000015,-0.1799999999999997,<=,True
2019-03-01,equity_realized_vol_21d,0.0822748510226546,0.1406289261638587,>=,False
2019-03-01,equity_momentum_21d,0.0289868997246909,0.0157027249562728,>=,True
2019-03-01,dow_vol_level,14.77,17.84,>=,False
2019-03-01,vix_level,14.78,19.54,>=,False
2019-03-01,vix_change_5d,1.2699999999999996,-0.1600000000000001,<=,False
2019-03-01,vix_change_21d,-1.5900000000000016,-0.1799999999999997,<=,True
2019-03-02,equity_realized_vol_21d,0.0823118506388965,0.1406289261638587,>=,False
2019-03-02,equity_momentum_21d,0.0353819223894706,0.0157027249562728,>=,True
2019-03-02,dow_vol_level,14.03,17.84,>=,False
2019-03-02,vix_level,13.57,19.54,>=,False
2019-03-02,vix_change_5d,0.0600000000000005,-0.1600000000000001,<=,False
2019-03-02,vix_change_21d,-2.1500000000000004,-0.1799999999999997,<=,True
2019-03-03,equity_realized_vol_21d,0.0820665537670494,0.1406289261638587,>=,False
2019-03-03,equity_momentum_21d,0.0353819223894706,0.0157027249562728,>=,True
2019-03-03,dow_vol_level,14.03,17.84,>=,False
2019-03-03,vix_level,13.57,19.54,>=,False
2019-03-03,vix_change_5d,-1.2799999999999994,-0.1600000000000001,<=,True
2019-03-03,vix_change_21d,-2.1500000000000004,-0.1799999999999997,<=,True
2019-03-04,equity_realized_vol_21d,0.0815364126363186,0.1406289261638587,>=,False
2019-03-04,equity_momentum_21d,0.0353819223894706,0.0157027249562728,>=,True
2019-03-04,dow_vol_level,14.03,17.84,>=,False
2019-03-04,vix_level,13.57,19.54,>=,False
2019-03-04,vix_change_5d,-1.5999999999999996,-0.1600000000000001,<=,True
2019-03-04,vix_change_21d,-2.1500000000000004,-0.1799999999999997,<=,True
2019-03-05,equity_realized_vol_21d,0.0856621123344505,0.1406289261638587,>=,False
2019-03-05,equity_momentum_21d,0.030633257066942,0.0157027249562728,>=,True
2019-03-05,dow_vol_level,15.51,17.84,>=,False
2019-03-05,vix_level,14.63,19.54,>=,False
2019-03-05,vix_change_5d,-0.0699999999999985,-0.1600000000000001,<=,False
2019-03-05,vix_change_21d,-1.34,-0.1799999999999997,<=,True
2019-03-06,equity_realized_vol_21d,0.081553204096467,0.1406289261638587,>=,False
2019-03-06,equity_momentum_21d,0.0163659084864449,0.0157027249562728,>=,True
2019-03-06,dow_vol_level,15.81,17.84,>=,False
2019-03-06,vix_level,14.74,19.54,>=,False
2019-03-06,vix_change_5d,-0.0399999999999991,-0.1600000000000001,<=,False
2019-03-06,vix_change_21d,-0.6899999999999995,-0.1799999999999997,<=,True
2019-03-07,equity_realized_vol_21d,0.0887899754476822,0.1406289261638587,>=,False
2019-03-07,equity_momentum_21d,0.0066908097623343,0.0157027249562728,>=,False
2019-03-07,dow_vol_level,15.96,17.84,>=,False
2019-03-07,vix_level,15.74,19.54,>=,False
2019-03-07,vix_change_5d,2.17,-0.1600000000000001,<=,False
2019-03-07,vix_change_21d,0.0899999999999998,-0.1799999999999997,<=,False
2019-03-08,equity_realized_vol_21d,0.0950949334675618,0.1406289261638587,>=,False
2019-03-08,equity_momentum_21d,0.0011654459833996,0.0157027249562728,>=,False
2019-03-08,dow_vol_level,16.8,17.84,>=,False
2019-03-08,vix_level,16.59,19.54,>=,False
2019-03-08,vix_change_5d,3.02,-0.1600000000000001,<=,False
2019-03-08,vix_change_21d,0.370000000000001,-0.1799999999999997,<=,False
2019-03-09,equity_realized_vol_21d,0.0919432128653334,0.1406289261638587,>=,False
2019-03-09,equity_momentum_21d,-0.0117199884709611,0.0157027249562728,>=,False
2019-03-09,dow_vol_level,16.18,17.84,>=,False
2019-03-09,vix_level,16.05,19.54,>=,False
2019-03-09,vix_change_5d,2.4800000000000004,-0.1600000000000001,<=,False
