name,candidate,model,target,feature_set,category,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Average Holdings,Best Month,Worst Month
logistic__top_quintile,logistic__top_quintile,logistic,top_quintile,all_features,model,holdout,25,-0.4969657462513134,-0.5921780943146433,-0.8878006904893894,-0.6389846202469912,0.720150318801869,-0.7777428916195475,0.4897196261682243,0.10616822429906543,1.0,0.14200000000000002,5.246728971962617,0.4122676396251126,-0.3149632981064938
random_forest__top_quintile,random_forest__top_quintile,random_forest,top_quintile,all_features,model,development,25,0.6378281057707593,1.003186386221219,1.3919134917390388,0.7074843454010056,0.895810197249872,-0.9015437725469886,0.5351787773933102,0.12698961937716263,1.0,0.5505,5.354094579008073,0.801273642802967,-0.3531631468353742
random_forest__top_quintile,random_forest__top_quintile,random_forest,top_quintile,all_features,model,holdout,25,-0.4462846230222025,-0.5943356015401676,-0.8526802909931783,-0.6559139916031878,0.6435981068497382,-0.6804011329768889,0.47289719626168225,0.1241121495327103,1.0,0.16600000000000004,5.34018691588785,0.3269756188351236,-0.2997270826265006
gradient_boosting__top_quintile,gradient_boosting__top_quintile,gradient_boosting,top_quintile,all_features,model,development,25,0.5712486300856416,0.9585848949287294,1.3111222810060423,0.6279804296821441,0.8873886536711663,-0.9096599242348722,0.5311418685121108,0.13391003460207612,1.0,0.5805,5.397347174163783,0.8577061547688412,-0.40809854078346297
gradient_boosting__top_quintile,gradient_boosting__top_quintile,gradient_boosting,top_quintile,all_features,model,holdout,25,-0.40047857013526444,-0.3867189423841593,-0.578099085734609,-0.5673020418133502,0.695699478962638,-0.7059353582708012,0.4803738317757009,0.1308411214953271,1.0,0.17500000000000002,5.377570093457944,0.4240858627465054,-0.297365812528261
boosted_tree__top_quintile,boosted_tree__top_quintile,boosted_tree,top_quintile,all_features,model,development,25,0.8434609087160088,1.1345836497249815,1.5398806117436414,0.9131586680456365,0.9094715350754774,-0.9236739881374652,0.5334486735870819,0.12698961937716263,1.0,0.5505,5.362168396770473,0.9086883930727094,-0.41648680863149734
boosted_tree__top_quintile,boosted_tree__top_quintile,boosted_tree,top_quintile,all_features,model,holdout,25,-0.4541782419322642,-0.6670393340467419,-0.9808873689969182,-0.6407269450009271,0.6188978934339063,-0.7088483565048245,0.4616822429906542,0.12261682242990653,1.0,0.164,5.345794392523365,0.33348127950751305,-0.2642453177903905
pure_momentum_top3,pure_momentum_top3,baseline,benchmark,N/A,baseline,development,10,0.08662391851095141,0.4661011618966108,0.6312745345499413,0.09932262885436674,0.6725626510806607,-0.8721468562613763,0.5115340253748558,0.05005767012687429,1.0,0.0868,3.0397923875432524,0.49412978698815024,-0.670217754130684
pure_momentum_top3,pure_momentum_top3,baseline,benchmark,N/A,baseline,holdout,10,-0.3806676015697643,-0.5921208748088063,-0.8877721264210899,-0.5843682362999262,0.551828255086033,-0.6514173391422787,0.45794392523364486,0.04560747663551402,1.0,0.0244,3.0373831775700935,0.18972346471771107,-0.23422670384128197
pure_momentum_top5,pure_momentum_top5,baseline,benchmark,N/A,baseline,development,10,0.38291854623553223,0.8377247700660873,1.1403065166861062,0.4002328883222225,1.0034680403878578,-0.9567393320442205,0.5271049596309112,0.07243367935409459,1.0,0.1256,5.1164936562860435,0.9650196282869838,-0.7164324856619735
pure_momentum_top5,pure_momentum_top5,baseline,benchmark,N/A,baseline,holdout,10,-0.5576234082382758,-0.6126333261103469,-0.8774969774896014,-0.686222999057762,0.801295017489781,-0.8125979586868066,0.45981308411214955,0.07177570093457945,1.0,0.038400000000000004,5.114018691588785,0.22341882911491173,-0.31966495344726154
pure_momentum_top10,pure_momentum_top10,baseline,benchmark,N/A,baseline,development,10,0.5653811836769582,0.9568776324987752,1.291623354553743,0.6258795403723093,0.8973639588643783,-0.90333865737269,0.5351787773933102,0.055247981545559405,1.0,0.09580000000000001,10.050173010380623,0.5970623846468246,-0.4847754653694484
pure_momentum_top10,pure_momentum_top10,baseline,benchmark,N/A,baseline,holdout,10,-0.579150365891667,-0.7837447729752182,-1.1394569186099717,-0.722936996132031,0.7456010919545148,-0.801107660820136,0.48411214953271026,0.057570093457943936,1.0,0.0308,10.03177570093458,0.19094829491871823,-0.3155239693166192
