refit_date,split,candidate,feature,importance
2020-04-01,development,random_forest__risk_adjusted_rank,distance_ma_20,0.0575755242881763
2020-04-01,development,random_forest__risk_adjusted_rank,distance_ma_100,0.056289876370673
2020-04-01,development,random_forest__risk_adjusted_rank,breakout_strength_20,0.0288884979468505
2020-04-01,development,random_forest__risk_adjusted_rank,reversal_7,0.0194113182803028
2020-04-01,development,random_forest__risk_adjusted_rank,asset_age_days,0.0712968586866688
2020-04-01,development,random_forest__risk_adjusted_rank,recent_listing_flag,0.0
2020-04-01,development,random_forest__risk_adjusted_rank,log_dollar_volume_30,0.032700055244387
2020-04-01,development,random_forest__risk_adjusted_rank,volume_growth_7_30,0.0480234101378487
2020-04-01,development,random_forest__risk_adjusted_rank,amihud_illiquidity_30,0.0365473440841123
2020-04-01,development,random_forest__risk_adjusted_rank,market_btc_trend_30,0.0134694539934765
2020-04-01,development,random_forest__risk_adjusted_rank,market_eth_trend_30,0.0098202912535983
2020-04-01,development,random_forest__risk_adjusted_rank,market_breadth_30,0.0092615681137389
2020-04-01,development,random_forest__risk_adjusted_rank,market_dispersion_7,0.026735973138918
2020-04-01,development,random_forest__risk_adjusted_rank,market_average_correlation_30,0.006560005227334
2020-04-01,development,random_forest__risk_adjusted_rank,market_realized_volatility_30,0.0180592504361114
2020-04-01,development,random_forest__risk_adjusted_rank,market_drawdown,0.0256819057648542
2020-04-01,development,random_forest__risk_adjusted_rank,market_volatility_expansion_probability,0.0
2020-04-01,development,random_forest__risk_adjusted_rank,funding_rate,0.0
2020-04-01,development,random_forest__risk_adjusted_rank,funding_rate_abs,0.0
2020-04-01,development,random_forest__risk_adjusted_rank,funding_rate_change_7,0.001711117444989
2020-04-01,development,random_forest__risk_adjusted_rank,funding_coverage_flag,0.0008278150909154
2020-04-01,development,gradient_boosting__risk_adjusted_rank,momentum_7,0.0219361323330499
2020-04-01,development,gradient_boosting__risk_adjusted_rank,momentum_14,0.0016110077090738
2020-04-01,development,gradient_boosting__risk_adjusted_rank,momentum_30,0.0411051560450202
2020-04-01,development,gradient_boosting__risk_adjusted_rank,momentum_90,0.029906523726671
2020-04-01,development,gradient_boosting__risk_adjusted_rank,momentum_30_ex_7,0.0985988956341039
2020-04-01,development,gradient_boosting__risk_adjusted_rank,momentum_90_ex_7,0.1004945860331575
2020-04-01,development,gradient_boosting__risk_adjusted_rank,realized_volatility_30,0.0970754774359886
2020-04-01,development,gradient_boosting__risk_adjusted_rank,downside_volatility_30,0.0487228728789269
2020-04-01,development,gradient_boosting__risk_adjusted_rank,max_drawdown_90,0.0030965637432005
2020-04-01,development,gradient_boosting__risk_adjusted_rank,volatility_adjusted_momentum,0.0944380500140428
