date,chosen_action,q_cash,q_btc,q_eth,q_btc_eth_50_50
2025-01-24,eth,0.14463767971682556,0.1720032726163771,0.18256663610439702,0.17781663323776895
2025-02-07,eth,0.09025913245554668,0.11762472535509824,0.12818808884311816,0.12343808597649007
2025-02-21,eth,0.044932083103707735,0.07229767600325929,0.08286103949127921,0.07811103662465113
2025-03-07,eth,0.09570571525903439,0.12307130815858597,0.1336346716466059,0.1288846687799778
2025-03-21,eth,0.08619070920100258,0.11355630210055415,0.12411966558857405,0.11936966272194598
2025-04-04,eth,0.06860723451893908,0.09597282741849063,0.10653619090651055,0.10178618803988247
2025-04-18,eth,0.12437708092012567,0.15174267381967724,0.16230603730769716,0.15755603444106908
2025-05-02,eth,0.17800829792576123,0.20537389082531282,0.21593725431333272,0.21118725144670464
2025-05-16,eth,0.0564275575500393,0.08379315044959086,0.09435651393761078,0.0896065110709827
2025-05-30,eth,0.08993607745986433,0.1173016703594159,0.1278650338474358,0.12311503098080773
2025-06-13,eth,0.11375570624119608,0.14112129914074764,0.15168466262876756,0.14693465976213949
2025-06-27,eth,0.12139081647484481,0.14875640937439638,0.1593197728624163,0.15456976999578823
2025-07-11,eth,0.14190984922329583,0.1692754421228474,0.1798388056108673,0.1750888027442392
2025-07-25,eth,0.015909166352447088,0.04327475925199867,0.053838122740018576,0.0490881198733905
2025-08-08,eth,0.01167873700329379,0.03904432990284537,0.04960769339086528,0.0448576905242372
2025-08-22,eth,0.0329372760195097,0.06030286891906126,0.07086623240708118,0.0661162295404531
2025-09-05,eth,0.07286074549923531,0.10022633839878686,0.11078970188680679,0.10603969902017871
2025-09-19,eth,0.11996650736238748,0.14733210026193905,0.15789546374995897,0.1531454608833309
2025-10-03,eth,0.12421429369035857,0.15157988658991012,0.16214325007793004,0.15739324721130196
2025-10-17,eth,0.0983442245030555,0.12570981740260706,0.13627318089062698,0.1315231780239989
2025-10-31,eth,0.08725081863975406,0.11461641153930564,0.12517977502732555,0.12042977216069747
2025-11-14,eth,0.08182880588992031,0.10919439878947189,0.1197577622774918,0.11500775941086372
2025-11-28,eth,0.07092526447229203,0.0982908573718436,0.10885422085986352,0.10410421799323544
2025-12-12,eth,0.008251435688972575,0.035617028588524155,0.04618039207654406,0.041430389209915985
2025-12-26,eth,0.023294156007680186,0.05065974890723176,0.06122311239525168,0.056473109528623604
2026-01-09,eth,0.03879544635520203,0.06616103925475361,0.07672440274277353,0.07197439987614546
2026-01-23,eth,0.04460597615157402,0.07197156905112559,0.0825349325391455,0.07778492967251743
2026-02-06,eth,0.06469648575305048,0.09206207865260206,0.10262544214062197,0.09787543927399389
2026-02-20,eth,0.09992559477505883,0.12729118767461037,0.1378545511626303,0.1331045482960022
2026-03-06,eth,0.10306019088095406,0.13042578378050562,0.14098914726852554,0.13623914440189747
2026-03-20,eth,0.0850979844462243,0.11246357734577585,0.12302694083379576,0.11827693796716768
2026-04-03,eth,0.06995679017688167,0.09732238307643325,0.10788574656445316,0.10313574369782508
2026-04-17,eth,0.07167115725694662,0.09903675015649818,0.10960011364451809,0.10485011077789001
2026-05-01,eth,0.08499775362954225,0.11236334652909381,0.12292671001711372,0.11817670715048566
2026-05-15,eth,0.1113140907937909,0.13867968369334246,0.1492430471813624,0.1444930443147343
2026-05-29,eth,0.07736224612471515,0.1047278390242667,0.11529120251228663,0.11054119964565855
2026-06-12,eth,0.01616772739329618,0.04353332029284776,0.05409668378086767,0.04934668091423959
