strategy,family,group,split,start,end,cost_bps,basis,dataset,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Allocation Changes,drawdown_start,drawdown_trough,drawdown_recovery,drawdown_depth
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,10,net_after_costs,top10,0.21200039682524863,0.6525514726848459,0.6056263279988383,0.2882167020167797,0.48526132554274615,-0.7355590267385205,0.3243647234678625,0.030642750373692077,0.47085201793721976,0.0615,0.5291479820627802,11.184603886397607,-0.4320897947253527,0.44949275810729517,1.234678624813154,118,2021-11-08,2022-11-21,,-0.7355590267385205
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,10,net_after_costs,top10,0.2699382168428921,1.027743623907195,1.3040997384988156,1.4956833759602872,0.2660276052575855,-0.1804781822018856,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.015,0.7105018587360594,10.176579925650557,-0.057686720710772965,0.246415793598165,0.8847583643122676,30,2025-01-23,2025-04-08,2025-05-08,-0.1804781822018856
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,25,net_after_costs,top10,0.23235568362328096,0.7062960712457975,0.6399063842073445,0.3136194982510252,0.4386116039180428,-0.7408840487248672,0.29226255958929226,0.03006967363403007,0.4132746607994133,0.20500000000000002,0.5867253392005867,10.975430876420974,-0.4329294666098096,0.44949275810729517,1.114044737807114,158,2021-11-08,2022-11-21,,-0.7408840487248672
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,25,net_after_costs,top10,0.1918769115264498,0.6180598853907883,0.5747037963256828,0.2589837260725055,0.48519746043817996,-0.7408840487248671,0.32336821126058796,0.030642750373692077,0.47085201793721976,0.15375,0.5291479820627802,11.184603886397607,-0.4329294666098096,0.44949275810729517,1.234678624813154,118,2021-11-08,2022-11-21,,-0.7408840487248671
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,25,net_after_costs,top10,0.2506806098543801,0.9700672636549106,1.2341802107524358,1.3610143521675673,0.26610866572870884,-0.1841866027754544,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.037500000000000006,0.7105018587360594,10.176579925650557,-0.05983982286898448,0.2445206579453003,0.8847583643122676,30,2025-01-23,2025-04-08,2025-05-08,-0.1841866027754544
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,50,net_after_costs,top10,0.19903737251156506,0.6438191576687157,0.5850608027190699,0.26554904320769107,0.4385564985072499,-0.7495314993693803,0.2911624495782912,0.03006967363403007,0.4132746607994133,0.41000000000000003,0.5867253392005867,10.975430876420974,-0.43432753933400514,0.44949275810729517,1.114044737807114,158,2021-11-08,2022-11-21,,-0.7495314993693803
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,50,net_after_costs,top10,0.15904202455012384,0.5604846991514749,0.5225295474356764,0.21218858004491367,0.48515075877359637,-0.7495314993693799,0.3223716990533134,0.030642750373692077,0.47085201793721976,0.3075,0.5291479820627802,11.184603886397607,-0.43432753933400514,0.44949275810729517,1.234678624813154,118,2021-11-08,2022-11-21,,-0.7495314993693799
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,50,net_after_costs,top10,0.21919863958320418,0.8737059236516569,1.1147308422363915,1.151636015111534,0.2663388779734986,-0.19033673548493113,0.22862453531598512,0.027881040892193308,0.2894981412639405,0.07500000000000001,0.7105018587360594,10.176579925650557,-0.06342103525723375,0.24136530232033437,0.8847583643122676,30,2025-01-23,2025-04-08,2025-05-08,-0.19033673548493113
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,100,net_after_costs,top10,0.13495047571820407,0.5185302838459651,0.47382464742861663,0.17444592765768757,0.4386897509433561,-0.7735948756741127,0.2893289328932893,0.03006967363403007,0.4132746607994133,0.8200000000000001,0.5867253392005867,10.975430876420974,-0.4371185082202741,0.44949275810729517,1.114044737807114,158,2021-02-21,2022-11-21,,-0.7735948756741127
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,100,net_after_costs,top10,0.09593473457893364,0.44509546592914223,0.4170873010901901,0.12401159521039473,0.4852814152834506,-0.7735948756741122,0.32037867463876435,0.030642750373692077,0.47085201793721976,0.615,0.5291479820627802,11.184603886397607,-0.4371185082202741,0.44949275810729517,1.234678624813154,118,2021-02-21,2022-11-21,,-0.7735948756741122
