candidate,family,portfolio,mechanism,rebalance_days,development_score,cpcv_median_sharpe,cpcv_worst_fold_sharpe,cpcv_best_fold_sharpe,positive_fold_percentage,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,development_cash,drawdown_improvement_vs_frozen,exposure_score,turnover_score,simplicity_score,train_cpcv_sharpe_gap
dual_momentum_macro_trend_vol_40_r7,Family D: BTC/ETH dual-momentum macro trend with drawdown control,dual_momentum,vol_target,7,0.5333601430189786,0.6886090939131279,-0.6608293407633663,2.3708332134628103,0.7333333333333333,1.0640085643796453,0.23461780586977166,-0.3198838276408663,6.383885858974698,0.17085191433089933,0.8291480856691007,0.4210002210840008,0.4580550917491562,1.0,0.7020000000000001,0.37539947046651745
btc_macro_trend_tipp_85_m2_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5330102044321545,0.9969332086747031,-0.5818029919148436,1.8282394291641617,0.7333333333333333,0.8963624214178451,0.07320752125998808,-0.15328281760742934,2.062959466045023,0.05073212048780457,0.9492678795121954,0.5876012311174378,0.13742842934996366,1.0,0.6120000000000001,-0.10057078725685809
dual_momentum_macro_trend_vol_30_r7,Family D: BTC/ETH dual-momentum macro trend with drawdown control,dual_momentum,vol_target,7,0.532213207646684,0.7728585014381708,-0.6565025324989016,2.3801788325491198,0.7333333333333333,1.0924340140156743,0.18464219460593934,-0.24572677012277977,4.901056899133045,0.12894361817434752,0.8710563818256525,0.49515727860208736,0.34569867762164763,1.0,0.7020000000000001,0.3195755125775035
frozen_vol_30_r7,Family F: Frozen macro allocation plus volatility-managed exposure overlay,frozen,vol_target,7,0.5309397089965373,0.3119849271029323,-0.3582523901207668,2.186630462733075,0.6666666666666666,0.7019029179930223,0.136550939448574,-0.45237272524446137,6.5814183820958725,0.21665948875204952,0.7833405112479505,0.28851132348040576,0.5793490225297134,1.0,0.88,0.38991799089009
eth_macro_trend_static_80_m1_r14,Family B: ETH-only macro trend with drawdown control,eth,portfolio_insurance,14,0.530467846175849,0.7227090064641274,-0.4787833964763808,1.562986048878858,0.7333333333333333,0.7573751104799801,0.10608867753163853,-0.20100100697770207,2.5633146163224887,0.10214018269455516,0.8978598173054448,0.5398830417471651,0.2801213254361685,1.0,0.7020000000000001,0.03466610401585268
balanced_macro_trend_vol_40_r14,Family C: 50/50 BTC/ETH macro trend with drawdown control,balanced,vol_target,14,0.5302458413790979,0.5052213575839508,-0.45106609336629055,2.256925393395294,0.6666666666666666,1.0756810255186995,0.22543193838257158,-0.27220233811128247,3.892269360654386,0.18398844264988723,0.8160115573501128,0.46868171061358466,0.4954661538975598,1.0,0.792,0.5704596679347487
eth_macro_trend_dd_10_reduce_50_r14,Family B: ETH-only macro trend with drawdown control,eth,drawdown_brake,14,0.5297449365576803,0.5277861841274604,-0.560173259782187,1.7999786288216673,0.6,0.8955452296988625,0.22674540596820658,-0.27288192601554395,3.2735426008968607,0.16741405082212257,0.8325859491778774,0.4680021227093232,0.459136106630745,1.0,0.792,0.36775904557140215
balanced_macro_trend_static_70_m2_r14,Family C: 50/50 BTC/ETH macro trend with drawdown control,balanced,portfolio_insurance,14,0.5297266669750307,0.46345979221688965,-0.483547031429114,1.923185197882285,0.6666666666666666,0.9683969477745497,0.24034261498821374,-0.2856828778444003,4.87526137411038,0.21982176184382157,0.7801782381561784,0.45520117088046685,0.598562286579064,1.0,0.6864,0.5049371555576601
balanced_macro_trend_static_75_m2_r14,Family C: 50/50 BTC/ETH macro trend with drawdown control,balanced,portfolio_insurance,14,0.5291111591799109,0.46345979221688965,-0.4509487152549827,1.8521457331488795,0.6666666666666666,0.9612599060232455,0.2284833450112549,-0.2856828778444005,4.775780145123106,0.20856511230124472,0.7914348876987553,0.45520117088046663,0.5679110633657269,1.0,0.6864,0.49780011380635586
balanced_macro_trend_static_85_m2_r14,Family C: 50/50 BTC/ETH macro trend with drawdown control,balanced,portfolio_insurance,14,0.5284152774828119,0.4729640105400387,-0.36099201716902146,1.65448935928781,0.7333333333333333,0.8689116728619755,0.18224001908210674,-0.2856828778444004,4.508768811849139,0.182115395428269,0.817884604571731,0.45520117088046674,0.4958899728328191,1.0,0.6864,0.39594766232193673
