candidate,family,portfolio,mechanism,rebalance_days,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Allocation Changes,worst_drawdown_start,worst_drawdown_trough,worst_drawdown_recovery
btc_macro_trend_dd_15_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,,
btc_macro_trend_dd_15_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,50,-0.04396181084386119,-0.5919433136565868,-0.10327384427906154,-0.16315542601970864,0.07150478319261964,-0.2694474337528361,0.008470353761833582,0.0014947683109118087,0.012207274539113104,0.015,0.9877927254608869,0.5455904334828101,-0.16598042758811027,0.0,0.02092675635276532,5,2019-07-09,2019-09-26,
btc_macro_trend_dd_15_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,50,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,,
btc_macro_trend_dd_15_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,100,-0.04657219618513353,-0.6293817685307354,-0.11153692386575306,-0.1677321201614113,0.07158569365288013,-0.277658185804343,0.007972097658196313,0.0014947683109118087,0.012207274539113104,0.03,0.9877927254608869,0.5455904334828101,-0.17221431557298184,0.0,0.02092675635276532,5,2019-07-09,2019-09-26,
btc_macro_trend_dd_15_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,,
btc_macro_trend_dd_20_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,0,0.1614943211229094,0.8150550234408848,0.6000241752140258,0.450266517972228,0.2110344288032343,-0.3586638461376118,0.1654210264075735,0.01096163428001993,0.17090184354758345,0.0,0.8290981564524166,4.000996512207275,-0.1597231551545656,0.46851243433267964,0.31390134529147984,44,2019-07-09,2020-05-11,2020-11-24
btc_macro_trend_dd_20_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,0,0.04704537692328903,0.4988692186506912,0.3956292402673897,0.5861889094612149,0.10262291843733744,-0.08025634085525424,0.11895910780669144,0.010223048327137546,0.1366171003717472,0.0,0.8633828996282528,3.7314126394052045,-0.04468061415301794,0.06045495842844306,0.2342007434944238,11,2025-01-24,2025-05-04,2025-05-18
btc_macro_trend_dd_20_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,10,0.15684483069069355,0.7959023594837251,0.5929064874473957,0.43421588649040904,0.21108578558785135,-0.3612139388966321,0.1654210264075735,0.01096163428001993,0.17090184354758345,0.022,0.8290981564524166,4.000996512207275,-0.16097648039716805,0.46851243433267964,0.31390134529147984,44,2019-07-09,2020-05-11,2020-11-24
btc_macro_trend_dd_20_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,10,0.04314281301227885,0.46237034820777784,0.36822296583153175,0.5240281258067441,0.10265364697598164,-0.08232919358261592,0.1171003717472119,0.010223048327137546,0.1366171003717472,0.0055000000000000005,0.8633828996282528,3.7314126394052045,-0.04540228530763091,0.05886037516129039,0.2342007434944238,11,2025-01-23,2025-05-04,2025-05-20
btc_macro_trend_dd_20_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,25,0.14990056760075943,0.7671197018188739,0.572669579947856,0.41066089918718574,0.21118240041341857,-0.36502274235861054,0.16492277030393623,0.01096163428001993,0.17090184354758345,0.05500000000000001,0.8290981564524166,4.000996512207275,-0.16285471442742183,0.46851243433267964,0.31390134529147984,44,2019-07-09,2020-05-11,2020-11-24
