model,model_type,feature_set,split,regime,days,frequency,average_btc_return,average_eth_return,average_btc_eth_50_50_return,annualized_volatility,max_drawdown,average_vix,average_equity_momentum,average_equity_volatility,average_duration_days
gmm_macro_crypto,gmm,macro_crypto,development,risk_on,524,0.2868089764641489,0.004602754343678922,0.007955856040032905,0.006279305191855914,0.8128724263208769,-0.5020630071100651,23.927175572519083,0.024238017567221846,0.17051173534258066,58.22222222222222
gmm_macro_crypto,gmm,macro_crypto,development,neutral,1135,0.6212370005473454,0.0017777065114418177,0.001884056914745351,0.0018308817130935843,0.5735886304534837,-0.4391974697658898,18.367541850220263,0.010877076381203348,0.14104570196940705,33.38235294117647
gmm_macro_crypto,gmm,macro_crypto,development,risk_off,168,0.09195402298850575,-0.0046416868387877215,-0.007356526638532396,-0.005999106738660059,1.1002878844878392,-0.7678944476618405,32.430238095238096,-0.05875376515291119,0.3349063567492829,5.793103448275862
gmm_macro_crypto,gmm,macro_crypto,holdout,risk_on,0,0.0,,,,,,,,,0.0
gmm_macro_crypto,gmm,macro_crypto,holdout,neutral,460,0.8550185873605948,-0.0010791806893408436,-0.0009647805374729861,-0.0010219806134069147,0.5611830764695303,-0.615590471350532,17.928630434782608,0.007589150552987376,0.11549987995491295,25.555555555555557
gmm_macro_crypto,gmm,macro_crypto,holdout,risk_off,78,0.1449814126394052,0.0035791708298638846,0.002429834698058639,0.003004502763961262,0.5635510155171181,-0.14109420391371708,25.483461538461533,-0.018093943876166165,0.2618515692906351,4.588235294117647
gmm_macro_crypto,gmm,macro_crypto,full,risk_on,886,0.32454212454212455,0.0037435740149435164,0.005055255163692874,0.004399414589318196,0.7736281565059296,-0.5599714829931921,20.39429378531073,0.019993458920639064,0.14870422781560538,80.54545454545455
gmm_macro_crypto,gmm,macro_crypto,full,neutral,1598,0.5853479853479854,0.0009314390023740927,0.0010227847812921246,0.0009771118918331088,0.5701019208197367,-0.6155904713505322,18.234627426424545,0.009928123216926068,0.1336642038015222,29.59259259259259
gmm_macro_crypto,gmm,macro_crypto,full,risk_off,246,0.09010989010989011,-0.0020350734316542858,-0.004253534019613287,-0.0031443037256337876,0.965118864797639,-0.7808587828563021,30.227601626016266,-0.04586162669930911,0.3117426436526384,5.3478260869565215
kmeans_macro_crypto,kmeans,macro_crypto,development,risk_on,339,0.18555008210180624,0.0020495501876979976,0.006814341132345574,0.004431945660021786,0.8035842269988372,-0.42132736013025485,25.55321533923304,0.03130989094695528,0.18820590806896817,22.6
kmeans_macro_crypto,kmeans,macro_crypto,development,neutral,1453,0.7952928297755884,0.0020538677489102546,0.001916854047032575,0.0019853608979714145,0.6364381471254882,-0.7625369100009564,19.396496902959395,0.0069402470136552446,0.1486070343976558,90.8125
kmeans_macro_crypto,kmeans,macro_crypto,development,risk_off,35,0.019157088122605363,-0.0008380164325239787,-0.0006821110361059559,-0.0007600637343149673,1.8868958423380602,-0.5180075505076529,56.789428571428566,-0.1577903311330841,0.7420418620998491,11.666666666666666
kmeans_macro_crypto,kmeans,macro_crypto,holdout,risk_on,3,0.0055762081784386614,-0.006041804698274977,-0.006578878927232042,-0.00631034181275351,0.11044376573198211,-0.006155561936051157,24.72,0.09902440125419672,0.42298189850943885,1.5
kmeans_macro_crypto,kmeans,macro_crypto,holdout,neutral,529,0.983271375464684,-0.00044922078937831885,-0.00037318978130794977,-0.0004112052853431342,0.551671743319959,-0.592112053484964,18.685746691871454,0.004486544007023074,0.1321566208231615,105.8
kmeans_macro_crypto,kmeans,macro_crypto,holdout,risk_off,6,0.011152416356877323,0.006419236551425085,-0.006186318282566365,0.00011645913442936047,1.3149075505573304,-0.13601488029374975,45.99333333333334,-0.09846222524076094,0.3957615121581224,3.0
kmeans_macro_crypto,kmeans,macro_crypto,full,risk_on,409,0.1498168498168498,0.0018724674356570426,0.005124771947565948,0.003498619691611495,0.7711880466727299,-0.4322324904649655,23.985305623471877,0.030904096134905447,0.1814960764675127,14.10344827586207
kmeans_macro_crypto,kmeans,macro_crypto,full,neutral,2280,0.8351648351648352,0.00154806754977757,0.001329805638647574,0.0014389365942125722,0.6314585318149787,-0.7625369100009567,18.670790166812992,0.006989647875800715,0.14020556695503808,71.25
kmeans_macro_crypto,kmeans,macro_crypto,full,risk_off,41,0.015018315018315019,0.0002240205895173478,-0.0014876047794904058,-0.0006317920949865291,1.800688249939254,-0.5180075505076529,55.209512195121945,-0.1491081692951832,0.6913666889376453,8.2
markov_fallback_macro_crypto,markov_fallback,macro_crypto,development,risk_on,325,0.17788724685276408,0.002753009159643388,0.0063321995943326406,0.004542604376988014,0.8212994653746366,-0.38148872525877,26.13443076923077,0.028368477924086914,0.19737184620673806,54.166666666666664
markov_fallback_macro_crypto,markov_fallback,macro_crypto,development,neutral,1471,0.8051450465243569,0.001958594191424382,0.0022570714992213763,0.0021078328453228794,0.636539611297981,-0.7625369100009567,19.39631543167913,0.007565375185815119,0.1484839913805957,183.875
markov_fallback_macro_crypto,markov_fallback,macro_crypto,development,risk_off,31,0.016967706622879036,-0.004067201768112468,-0.009894850179773557,-0.006981025973943013,1.9358845408282224,-0.5180075505076529,58.30999999999999,-0.16686618940197814,0.7462415371168593,15.5
markov_fallback_macro_crypto,markov_fallback,macro_crypto,holdout,risk_on,0,0.0,,,,,,,,,0.0
markov_fallback_macro_crypto,markov_fallback,macro_crypto,holdout,neutral,533,0.9907063197026023,-0.0003899083038700014,-0.0003524489599794851,-0.00037117863192474333,0.5506501273124959,-0.592112053484964,18.761050656660412,0.004879420013782892,0.1345542576179188,266.5
markov_fallback_macro_crypto,markov_fallback,macro_crypto,holdout,risk_off,5,0.00929368029739777,-0.0018853332809388723,-0.013283329023986833,-0.007584331152462853,1.4138202289935857,-0.13601488029374975,47.048,-0.10420984706260998,0.3673895747157538,5.0
markov_fallback_macro_crypto,markov_fallback,macro_crypto,full,risk_on,382,0.13992673992673993,0.0024726136776464596,0.0044805368976663295,0.0034765752876563948,0.7895309690220974,-0.3814887252587701,24.666335078534033,0.02795031801975296,0.1887377783525726,38.2
markov_fallback_macro_crypto,markov_fallback,macro_crypto,full,neutral,2312,0.8468864468864469,0.0015119331899662782,0.0016127113721869425,0.00156232228107661,0.6317393544150011,-0.7625369100009565,18.6754329004329,0.007537060997589726,0.14067080804576867,177.84615384615384
markov_fallback_macro_crypto,markov_fallback,macro_crypto,full,risk_off,36,0.013186813186813187,-0.003764164478227247,-0.010365472241469846,-0.007064818359848546,1.8549208009458853,-0.5180075505076529,56.74583333333333,-0.1581639196326214,0.6936232090055946,12.0
