candidate,fold,test_groups,fold_sharpe,n_test_weeks
gmm_macro_crypto_confirmation_filter,13,"3,5",0.7405075481140946,87
gmm_macro_crypto_confirmation_filter,14,"4,5",0.2330800930245731,86
gmm_macro_crypto_exposure_scaling,0,"0,1",2.2998080969257098,88
gmm_macro_crypto_exposure_scaling,1,"0,2",1.7525200125499216,88
gmm_macro_crypto_exposure_scaling,2,"0,3",2.0184056003425788,88
gmm_macro_crypto_exposure_scaling,3,"0,4",1.9164203215120217,87
gmm_macro_crypto_exposure_scaling,4,"0,5",1.81068977577253,87
gmm_macro_crypto_exposure_scaling,5,"1,2",1.4199824913096173,88
gmm_macro_crypto_exposure_scaling,6,"1,3",1.675531519320688,88
gmm_macro_crypto_exposure_scaling,7,"1,4",1.5032197386084705,87
gmm_macro_crypto_exposure_scaling,8,"1,5",1.4419729810518507,87
gmm_macro_crypto_exposure_scaling,9,"2,3",0.7317516930886175,88
gmm_macro_crypto_exposure_scaling,10,"2,4",0.1946415361477129,87
gmm_macro_crypto_exposure_scaling,11,"2,5",0.005821440491932085,87
gmm_macro_crypto_exposure_scaling,12,"3,4",0.9028133628988693,87
gmm_macro_crypto_exposure_scaling,13,"3,5",0.7686095924976403,87
gmm_macro_crypto_exposure_scaling,14,"4,5",0.22976158674389774,86
kmeans_macro_crypto_direct,0,"0,1",2.4238937311791595,88
kmeans_macro_crypto_direct,1,"0,2",1.0331925274247087,88
kmeans_macro_crypto_direct,2,"0,3",2.0494490196030717,88
kmeans_macro_crypto_direct,3,"0,4",2.724090907732578,87
kmeans_macro_crypto_direct,4,"0,5",1.9998363067656157,87
kmeans_macro_crypto_direct,5,"1,2",0.9638989457950397,88
kmeans_macro_crypto_direct,6,"1,3",1.6459583435817204,88
kmeans_macro_crypto_direct,7,"1,4",1.9960012773568758,87
kmeans_macro_crypto_direct,8,"1,5",1.5587583992870113,87
kmeans_macro_crypto_direct,9,"2,3",-0.21915113127718766,88
kmeans_macro_crypto_direct,10,"2,4",0.1773302994680741,87
kmeans_macro_crypto_direct,11,"2,5",-0.5326325822911189,87
kmeans_macro_crypto_direct,12,"3,4",1.5268148142635898,87
kmeans_macro_crypto_direct,13,"3,5",0.7162500466641358,87
kmeans_macro_crypto_direct,14,"4,5",1.4801409621111354,86
kmeans_macro_crypto_confirmation_filter,0,"0,1",2.357033552970879,88
kmeans_macro_crypto_confirmation_filter,1,"0,2",0.17391811705012297,88
kmeans_macro_crypto_confirmation_filter,2,"0,3",1.8086247172499486,88
kmeans_macro_crypto_confirmation_filter,3,"0,4",2.0497257690776003,87
kmeans_macro_crypto_confirmation_filter,4,"0,5",1.8505937881286652,87
kmeans_macro_crypto_confirmation_filter,5,"1,2",0.23844066413381756,88
kmeans_macro_crypto_confirmation_filter,6,"1,3",1.617050481558081,88
kmeans_macro_crypto_confirmation_filter,7,"1,4",1.550447668067502,87
kmeans_macro_crypto_confirmation_filter,8,"1,5",1.4542238499819322,87
kmeans_macro_crypto_confirmation_filter,9,"2,3",-0.32407006936599747,88
kmeans_macro_crypto_confirmation_filter,10,"2,4",-1.1474745641209614,87
kmeans_macro_crypto_confirmation_filter,11,"2,5",-1.1458483342471588,87
kmeans_macro_crypto_confirmation_filter,12,"3,4",0.879757709912453,87
kmeans_macro_crypto_confirmation_filter,13,"3,5",0.7992797279857359,87
kmeans_macro_crypto_confirmation_filter,14,"4,5",0.4498421707858982,86
kmeans_macro_crypto_exposure_scaling,0,"0,1",1.931808715773288,88
kmeans_macro_crypto_exposure_scaling,1,"0,2",0.7666706603947557,88
kmeans_macro_crypto_exposure_scaling,2,"0,3",1.9880892391973886,88
kmeans_macro_crypto_exposure_scaling,3,"0,4",1.9059394690641476,87
kmeans_macro_crypto_exposure_scaling,4,"0,5",1.8414667275713668,87
kmeans_macro_crypto_exposure_scaling,5,"1,2",0.19502403334005183,88
kmeans_macro_crypto_exposure_scaling,6,"1,3",1.2402796900825355,88
kmeans_macro_crypto_exposure_scaling,7,"1,4",1.0204432018403822,87
kmeans_macro_crypto_exposure_scaling,8,"1,5",0.9869596623132126,87
kmeans_macro_crypto_exposure_scaling,9,"2,3",-0.2919979110223459,88
kmeans_macro_crypto_exposure_scaling,10,"2,4",-1.081827389715895,87
kmeans_macro_crypto_exposure_scaling,11,"2,5",-1.0634431981763324,87
kmeans_macro_crypto_exposure_scaling,12,"3,4",0.9236491303245418,87
kmeans_macro_crypto_exposure_scaling,13,"3,5",0.8544551306482774,87
kmeans_macro_crypto_exposure_scaling,14,"4,5",0.5168574207714861,86
markov_fallback_macro_crypto_direct,0,"0,1",2.1820176315194733,88
markov_fallback_macro_crypto_direct,1,"0,2",0.7175701104852651,88
markov_fallback_macro_crypto_direct,2,"0,3",1.6224547821454691,88
markov_fallback_macro_crypto_direct,3,"0,4",2.148773790065968,87
markov_fallback_macro_crypto_direct,4,"0,5",1.5388527436145834,87
markov_fallback_macro_crypto_direct,5,"1,2",0.9966465384005154,88
markov_fallback_macro_crypto_direct,6,"1,3",1.6819431344949674,88
markov_fallback_macro_crypto_direct,7,"1,4",2.0358709274942304,87
markov_fallback_macro_crypto_direct,8,"1,5",1.6014146313870796,87
markov_fallback_macro_crypto_direct,9,"2,3",-0.21915113127718766,88
markov_fallback_macro_crypto_direct,10,"2,4",0.1773302994680741,87
markov_fallback_macro_crypto_direct,11,"2,5",-0.5233189411657191,87
markov_fallback_macro_crypto_direct,12,"3,4",1.5268148142635898,87
markov_fallback_macro_crypto_direct,13,"3,5",0.7259374629179486,87
markov_fallback_macro_crypto_direct,14,"4,5",1.4924747774289382,86
markov_fallback_macro_crypto_confirmation_filter,0,"0,1",1.776330791337654,88
markov_fallback_macro_crypto_confirmation_filter,1,"0,2",-0.1811786734260003,88
markov_fallback_macro_crypto_confirmation_filter,2,"0,3",1.2648848037856402,88
markov_fallback_macro_crypto_confirmation_filter,3,"0,4",1.1019109874224156,87
markov_fallback_macro_crypto_confirmation_filter,4,"0,5",1.009769980347898,87
markov_fallback_macro_crypto_confirmation_filter,5,"1,2",0.23844066413381756,88
markov_fallback_macro_crypto_confirmation_filter,6,"1,3",1.617050481558081,88
markov_fallback_macro_crypto_confirmation_filter,7,"1,4",1.550447668067502,87
markov_fallback_macro_crypto_confirmation_filter,8,"1,5",1.4542238499819322,87
markov_fallback_macro_crypto_confirmation_filter,9,"2,3",-0.32407006936599747,88
markov_fallback_macro_crypto_confirmation_filter,10,"2,4",-1.1474745641209614,87
markov_fallback_macro_crypto_confirmation_filter,11,"2,5",-1.1458483342471588,87
markov_fallback_macro_crypto_confirmation_filter,12,"3,4",0.879757709912453,87
markov_fallback_macro_crypto_confirmation_filter,13,"3,5",0.7992797279857359,87
markov_fallback_macro_crypto_confirmation_filter,14,"4,5",0.4498421707858982,86
markov_fallback_macro_crypto_exposure_scaling,0,"0,1",1.5953186664652004,88
markov_fallback_macro_crypto_exposure_scaling,1,"0,2",0.41823098394448355,88
markov_fallback_macro_crypto_exposure_scaling,2,"0,3",1.491303048574742,88
markov_fallback_macro_crypto_exposure_scaling,3,"0,4",1.3072165934469073,87
markov_fallback_macro_crypto_exposure_scaling,4,"0,5",1.2675042213467522,87
markov_fallback_macro_crypto_exposure_scaling,5,"1,2",0.2295272385467816,88
markov_fallback_macro_crypto_exposure_scaling,6,"1,3",1.2799355487452828,88
markov_fallback_macro_crypto_exposure_scaling,7,"1,4",1.0655272712316746,87
markov_fallback_macro_crypto_exposure_scaling,8,"1,5",1.0310382764906822,87
markov_fallback_macro_crypto_exposure_scaling,9,"2,3",-0.2919979110223459,88
markov_fallback_macro_crypto_exposure_scaling,10,"2,4",-1.081827389715895,87
markov_fallback_macro_crypto_exposure_scaling,11,"2,5",-1.0634431981763324,87
markov_fallback_macro_crypto_exposure_scaling,12,"3,4",0.9236491303245418,87
markov_fallback_macro_crypto_exposure_scaling,13,"3,5",0.8544551306482774,87
markov_fallback_macro_crypto_exposure_scaling,14,"4,5",0.5168574207714861,86
