candidate,family,model_name,overlay,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings
markov_fallback_macro_direct,Fallback Markov direct BTC/ETH/cash allocation,markov_fallback_macro,direct,development,100,0.7665221694619055,1.236819482062903,1.673318902015863,1.0074391413449362,0.6128145727186847,-0.7608620094297653,0.5194307608100711,0.009304871373836891,0.8773946360153256,0.16999999999999998,0.12260536398467436,3.396278051450465,-0.38435967899662893,0.47217023277652737,1.9770114942528736
markov_fallback_macro_direct,Fallback Markov direct BTC/ETH/cash allocation,markov_fallback_macro,direct,holdout,100,-0.3351616913152339,-0.5158093253357456,-0.7250397558091004,-0.5284769985842508,0.5245080225840403,-0.6342029874774233,0.49814126394052044,0.00929368029739777,0.9219330855018587,0.05,0.0780669144981413,3.392193308550186,-0.2510281674199146,0.2709681421331145,2.0
markov_fallback_macro_confirmation_filter,Current strategy + Fallback Markov confirmation filter,markov_fallback_macro,confirmation_filter,development,10,0.1961480312767736,0.6235852199253353,0.579445245219093,0.2666652493498677,0.49795396177965645,-0.7355590267385207,0.33607006020799124,0.030925013683634373,0.4904214559386973,0.05650000000000001,0.5095785440613028,11.287629994526545,-0.4320897947253527,0.41153642156296155,1.2720306513409962
markov_fallback_macro_confirmation_filter,Current strategy + Fallback Markov confirmation filter,markov_fallback_macro,confirmation_filter,holdout,10,0.2699382168428921,1.027743623907195,1.3040997384988156,1.4956833759602872,0.2660276052575855,-0.1804781822018856,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.015,0.7105018587360594,10.176579925650557,-0.057686720710772965,0.246415793598165,0.8847583643122676
markov_fallback_macro_confirmation_filter,Current strategy + Fallback Markov confirmation filter,markov_fallback_macro,confirmation_filter,development,25,0.1761241684363748,0.5897026774679395,0.5489592245916111,0.23772163638763907,0.4978530656124259,-0.7408840487248674,0.33497536945812806,0.030925013683634373,0.4904214559386973,0.14125000000000001,0.5095785440613028,11.287629994526545,-0.4329294666098096,0.41050143799587135,1.2720306513409962
markov_fallback_macro_confirmation_filter,Current strategy + Fallback Markov confirmation filter,markov_fallback_macro,confirmation_filter,holdout,25,0.2506806098543801,0.9700672636549106,1.2341802107524358,1.3610143521675673,0.26610866572870884,-0.1841866027754544,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.037500000000000006,0.7105018587360594,10.176579925650557,-0.05983982286898448,0.2445206579453003,0.8847583643122676
markov_fallback_macro_confirmation_filter,Current strategy + Fallback Markov confirmation filter,markov_fallback_macro,confirmation_filter,development,50,0.14345770408049852,0.5331378287384776,0.49728243184321336,0.19139649794731375,0.49774410384434403,-0.7495314993693799,0.3344280240831965,0.030925013683634373,0.4904214559386973,0.28250000000000003,0.5095785440613028,11.287629994526545,-0.43432753933400514,0.4087764653840549,1.2720306513409962
markov_fallback_macro_confirmation_filter,Current strategy + Fallback Markov confirmation filter,markov_fallback_macro,confirmation_filter,holdout,50,0.21919863958320418,0.8737059236516569,1.1147308422363915,1.151636015111534,0.2663388779734986,-0.19033673548493113,0.22862453531598512,0.027881040892193308,0.2894981412639405,0.07500000000000001,0.7105018587360594,10.176579925650557,-0.06342103525723375,0.24136530232033437,0.8847583643122676
markov_fallback_macro_confirmation_filter,Current strategy + Fallback Markov confirmation filter,markov_fallback_macro,confirmation_filter,development,100,0.08069526766902801,0.41974640078871905,0.39319486411475,0.10431205041102422,0.4977483080873036,-0.7735948756741123,0.33278598795840175,0.030925013683634373,0.4904214559386973,0.5650000000000001,0.5095785440613028,11.287629994526545,-0.4371185082202741,0.40532652016042325,1.2720306513409962
markov_fallback_macro_confirmation_filter,Current strategy + Fallback Markov confirmation filter,markov_fallback_macro,confirmation_filter,holdout,100,0.15847516496273428,0.6805756374853622,0.8712961436852513,0.7825043815075569,0.26715466399550514,-0.20252303847477415,0.22676579925650558,0.027881040892193308,0.2894981412639405,0.15000000000000002,0.7105018587360594,10.176579925650557,-0.07055615970418216,0.23506660530718304,0.8847583643122676
