name,method,universe,dynamic_budget,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Omega
maximum_diversification__btc_eth__static,maximum_diversification,btc_eth,False,development,10,False,0.21890552973062616,0.6671789423138746,0.6176110466283259,0.2970416338748335,0.4761874055548096,-0.7369523486491052,0.32536123567513703,0.03116952148090674,0.47085201793721976,0.06255722961217983,0.5291479820627802,11.376875340530958,-0.42769043606569634,0.437721609341998,1.234678624813154,1.1514083317044117
maximum_diversification__btc_eth__static,maximum_diversification,btc_eth,False,holdout,10,False,0.24414033829219295,1.0002686439770874,1.2493585442613997,1.4671784465316113,0.2485407979102952,-0.16640125737216027,0.22862453531598512,0.028044943429737065,0.2894981412639405,0.015088179565198543,0.7105018587360594,10.236404351854029,-0.05207407900731409,0.21160586455128705,0.8847583643122676,1.2777789037033709
maximum_diversification__btc_eth__static,maximum_diversification,btc_eth,False,development,25,False,0.19831918830350137,0.6314202487522018,0.5856265966804154,0.26715641336861085,0.4761280576043628,-0.7423336232241939,0.3243647234678625,0.03116952148090674,0.47085201793721976,0.15639307403044955,0.5291479820627802,11.376875340530958,-0.4285768272302225,0.4376590805279539,1.234678624813154,1.1425676312290092
maximum_diversification__btc_eth__static,maximum_diversification,btc_eth,False,holdout,25,False,0.22516104440509155,0.9381332816220284,1.1753256553239373,1.3230635984338057,0.24863520454965618,-0.17018157303369918,0.22862453531598512,0.028044943429737065,0.2894981412639405,0.037720448912996356,0.7105018587360594,10.236404351854029,-0.05333404414734788,0.20967551481244695,0.8847583643122676,1.257541166684656
maximum_diversification__btc_eth__static,maximum_diversification,btc_eth,False,development,50,False,0.16474265443300506,0.5717295843291386,0.5318831358227973,0.21929741639076378,0.4760899482550173,-0.751229344806561,0.32286995515695066,0.03116952148090674,0.47085201793721976,0.3127861480608991,0.5291479820627802,11.376875340530958,-0.4300524903537941,0.4375548691192348,1.234678624813154,1.127995217355138
maximum_diversification__btc_eth__static,maximum_diversification,btc_eth,False,holdout,50,False,0.19413803789501904,0.8343380042555841,1.0492357819596705,1.1002386862503286,0.24889427118518834,-0.17645083773290293,0.22862453531598512,0.028044943429737065,0.2894981412639405,0.07544089782599271,0.7105018587360594,10.236404351854029,-0.05695090029776917,0.206461981781896,0.8847583643122676,1.2248545129021418
maximum_diversification__btc_eth__static,maximum_diversification,btc_eth,False,development,100,False,0.10025873765327642,0.4521030026818083,0.42279505479695817,0.12892840420259788,0.4762417640212036,-0.7776311067631769,0.3208769307424016,0.03116952148090674,0.47085201793721976,0.6255722961217982,0.5291479820627802,11.376875340530958,-0.432997610781365,0.4373464586065725,1.234678624813154,1.09949889182169
maximum_diversification__btc_eth__static,maximum_diversification,btc_eth,False,holdout,100,False,0.13431419632396957,0.6264404233654498,0.7896384885091836,0.7111356387260968,0.24979219395096655,-0.1888728239869616,0.22676579925650558,0.028044943429737065,0.2894981412639405,0.15088179565198542,0.7105018587360594,10.236404351854029,-0.06415685326211307,0.20004884745498575,0.8847583643122676,1.1630436423856867
maximum_diversification__btc_eth__dynamic,maximum_diversification,btc_eth,True,development,10,False,0.17425970100858867,0.7551716598503155,0.4778775268708367,0.5965786969347431,0.2571549888857285,-0.2920984304400164,0.14648729446935724,0.015537414637119348,0.15738664673642253,0.031183591176698534,0.8426133532635774,5.671156342548562,-0.18389219067416307,0.3562376437693584,0.5301444942700548,1.2684842496217417
maximum_diversification__btc_eth__dynamic,maximum_diversification,btc_eth,True,holdout,10,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
