candidate,method,universe,dynamic_budget,fold,test_groups,fold_sharpe
erc__btc_eth__static,erc,btc_eth,False,1,"0,2",0.17554108125572854
erc__btc_eth__static,erc,btc_eth,False,2,"0,3",-0.2734818665362406
erc__btc_eth__static,erc,btc_eth,False,3,"0,4",0.5669454250715532
erc__btc_eth__static,erc,btc_eth,False,4,"0,5",0.44907408041216534
erc__btc_eth__static,erc,btc_eth,False,5,"1,2",1.7595599374451594
erc__btc_eth__static,erc,btc_eth,False,6,"1,3",0.9987436193984542
erc__btc_eth__static,erc,btc_eth,False,7,"1,4",2.215005778035163
erc__btc_eth__static,erc,btc_eth,False,8,"1,5",2.1280354494535128
erc__btc_eth__static,erc,btc_eth,False,9,"2,3",-0.6240105575262537
erc__btc_eth__static,erc,btc_eth,False,10,"2,4",0.22978320830218468
erc__btc_eth__static,erc,btc_eth,False,11,"2,5",0.05287055877496578
erc__btc_eth__static,erc,btc_eth,False,12,"3,4",-0.35501401512281877
erc__btc_eth__static,erc,btc_eth,False,13,"3,5",-0.4637882683659086
erc__btc_eth__static,erc,btc_eth,False,14,"4,5",0.796400940428891
erc__btc_eth__dynamic,erc,btc_eth,True,0,"0,1",1.4959676743796473
erc__btc_eth__dynamic,erc,btc_eth,True,1,"0,2",-0.416177135508743
erc__btc_eth__dynamic,erc,btc_eth,True,2,"0,3",-0.28905637784652
erc__btc_eth__dynamic,erc,btc_eth,True,3,"0,4",-0.1644907344258124
erc__btc_eth__dynamic,erc,btc_eth,True,4,"0,5",-0.1644907344258124
erc__btc_eth__dynamic,erc,btc_eth,True,5,"1,2",1.5019461221729198
erc__btc_eth__dynamic,erc,btc_eth,True,6,"1,3",1.6612791119398855
erc__btc_eth__dynamic,erc,btc_eth,True,7,"1,4",1.7300823647615238
erc__btc_eth__dynamic,erc,btc_eth,True,8,"1,5",1.7300823647615238
erc__btc_eth__dynamic,erc,btc_eth,True,9,"2,3",-0.6868005419953447
erc__btc_eth__dynamic,erc,btc_eth,True,10,"2,4",-0.511142572409913
erc__btc_eth__dynamic,erc,btc_eth,True,11,"2,5",-0.511142572409913
erc__btc_eth__dynamic,erc,btc_eth,True,12,"3,4",-0.735980072193987
erc__btc_eth__dynamic,erc,btc_eth,True,13,"3,5",-0.735980072193987
erc__btc_eth__dynamic,erc,btc_eth,True,14,"4,5",
erc__btc_eth_cash__static,erc,btc_eth_cash,False,0,"0,1",1.8282725897506462
erc__btc_eth_cash__static,erc,btc_eth_cash,False,1,"0,2",0.17554108125572854
erc__btc_eth_cash__static,erc,btc_eth_cash,False,2,"0,3",-0.2734818665362406
erc__btc_eth_cash__static,erc,btc_eth_cash,False,3,"0,4",0.5669454250715532
erc__btc_eth_cash__static,erc,btc_eth_cash,False,4,"0,5",0.44907408041216534
erc__btc_eth_cash__static,erc,btc_eth_cash,False,5,"1,2",1.7595599374451594
erc__btc_eth_cash__static,erc,btc_eth_cash,False,6,"1,3",0.9987436193984542
erc__btc_eth_cash__static,erc,btc_eth_cash,False,7,"1,4",2.215005778035163
erc__btc_eth_cash__static,erc,btc_eth_cash,False,8,"1,5",2.1280354494535128
erc__btc_eth_cash__static,erc,btc_eth_cash,False,9,"2,3",-0.6240105575262537
erc__btc_eth_cash__static,erc,btc_eth_cash,False,10,"2,4",0.22978320830218468
erc__btc_eth_cash__static,erc,btc_eth_cash,False,11,"2,5",0.05287055877496578
